,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,KRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2017-09-10,JAX,@,HOU,"W, 29-7",,2,0,0,,0,0.0,0.0,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,19,29.7,0,0.0,11,42.3
1,2.0,2.0,2.0,2.0,2017-09-17,JAX,,TEN,"L, 16-37",,3,2,13,6.5,0,66.7,4.3,1,14,0,14.0,0.0,1,1,0,0,0.0,0,1,0,0,0,0,0,44,65.7,0,0.0,14,50.0
2,3.0,3.0,3.0,3.0,2017-09-24,JAX,,BAL,"W, 44-7",*,4,1,13,13.0,0,25.0,3.3,1,12,0,12.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,37,50.7,0,0.0,15,48.4
3,4.0,4.0,4.0,4.0,2017-10-01,JAX,@,NYJ,"L, 20-23 (OT)",,6,1,10,10.0,0,16.7,1.7,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,46,59.0,0,0.0,10,27.0
4,5.0,5.0,5.0,5.0,2017-10-08,JAX,@,PIT,"W, 30-9",,1,1,4,4.0,0,100.0,4.0,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,27,50.0,0,0.0,6,23.1
5,6.0,6.0,6.0,6.0,2017-10-15,JAX,,LAR,"L, 17-27",,2,1,7,7.0,0,50.0,3.5,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,41,59.4,0,0.0,7,19.4
6,7.0,7.0,7.0,7.0,2017-10-22,JAX,@,IND,"W, 27-0",*,3,2,64,32.0,0,66.7,21.3,0,0,0,,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,41,60.3,0,0.0,0,0.0
7,8.0,8.0,8.0,9.0,2017-11-05,JAX,,CIN,"W, 23-7",,5,3,47,15.7,0,60.0,9.4,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,49,61.3,0,0.0,0,0.0
8,9.0,9.0,9.0,10.0,2017-11-12,JAX,,LAC,"W, 20-17 (OT)",,8,3,61,20.3,0,37.5,7.6,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,69,82.1,0,0.0,14,38.9
9,10.0,10.0,10.0,11.0,2017-11-19,JAX,@,CLE,"W, 19-7",,6,3,24,8.0,0,50.0,4.0,0,0,0,,0.0,0,0,0,0,0.0,0,0,0,0,1,0,0,45,57.7,0,0.0,0,0.0
10,11.0,11.0,11.0,12.0,2017-11-26,JAX,@,ARI,"L, 24-27",*,7,2,30,15.0,0,28.6,4.3,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,57,90.5,0,0.0,1,2.9
11,12.0,12.0,12.0,13.0,2017-12-03,JAX,,IND,"W, 30-10",*,3,3,49,16.3,1,100.0,16.3,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,48,73.8,0,0.0,0,0.0
12,13.0,13.0,13.0,14.0,2017-12-10,JAX,,SEA,"W, 30-24",,3,3,99,33.0,1,100.0,33.0,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,40,60.6,0,0.0,1,3.1
13,14.0,14.0,14.0,15.0,2017-12-17,JAX,,HOU,"W, 45-7",,9,7,186,26.6,1,77.8,20.7,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,51,72.9,0,0.0,0,0.0
14,15.0,15.0,15.0,16.0,2017-12-24,JAX,@,SFO,"L, 33-44",*,13,6,108,18.0,0,46.2,8.3,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,75,86.2,0,0.0,0,0.0
15,16.0,16.0,16.0,17.0,2017-12-31,JAX,@,TEN,"L, 10-15",*,8,4,33,8.3,0,50.0,4.1,0,0,0,,0.0,0,0,0,0,,0,1,1,0,0,0,0,60,100.0,0,0.0,0,0.0
16,,,,,,,,,10-6,,83,42,748,17.8,3,50.6,9.0,2,26,0,13.0,0.0,1,1,0,0,0.0,0,2,1,0,1,0,0,749,66.5,0,0.0,79,16.3
