,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Cmp%,Yds.1,TD.1,Int,Y/A,AY/A,Rate,Sk,Yds.2,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,18.0,1.0,1.0,2023-09-10,ATL,,CAR,"W, 24-10",*,1,0,0,,0,0.0,0.0,0,0,,0,0,0,,,,0,0,47,90.4,0,0.0,0,0.0
1,2.0,19.0,2.0,2.0,2023-09-17,ATL,,GNB,"W, 25-24",*,8,6,67,11.2,1,75.0,8.4,0,0,,0,0,0,,,,0,0,67,81.7,0,0.0,0,0.0
2,3.0,20.0,3.0,3.0,2023-09-24,ATL,@,DET,"L, 6-20",*,6,2,31,15.5,0,33.3,5.2,0,0,,0,0,0,,,,0,0,62,92.5,0,0.0,0,0.0
3,4.0,21.0,4.0,4.0,2023-10-01,ATL,@,JAX,"L, 7-23",*,7,3,28,9.3,1,42.9,4.0,0,0,,0,0,0,,,,0,0,50,86.2,0,0.0,0,0.0
4,5.0,22.0,5.0,5.0,2023-10-08,ATL,,HOU,"W, 21-19",*,9,6,78,13.0,0,66.7,8.7,1,1,100.0,22,0,0,22.0,22.00,118.7,0,0,66,85.7,0,0.0,0,0.0
5,6.0,23.0,6.0,6.0,2023-10-15,ATL,,WAS,"L, 16-24",*,12,9,125,13.9,0,75.0,10.4,0,0,,0,0,0,,,,0,0,68,81.9,0,0.0,0,0.0
6,7.0,24.0,7.0,7.0,2023-10-22,ATL,@,TAM,"W, 16-13",*,7,6,54,9.0,0,85.7,7.7,0,0,,0,0,0,,,,0,0,55,84.6,0,0.0,0,0.0
7,8.0,25.0,8.0,8.0,2023-10-29,ATL,@,TEN,"L, 23-28",*,7,5,55,11.0,0,71.4,7.9,0,0,,0,0,0,,,,0,0,37,54.4,0,0.0,0,0.0
8,8.0,,9.0,9.0,2023-11-05,ATL,,MIN,"L, 28-31",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,9.0,26.0,10.0,10.0,2023-11-12,ATL,@,ARI,"L, 23-25",*,4,3,36,12.0,0,75.0,9.0,0,0,,0,0,0,,,,0,0,55,77.5,0,0.0,0,0.0
10,10.0,27.0,11.0,12.0,2023-11-26,ATL,,NOR,"W, 24-15",*,7,5,91,18.2,0,71.4,13.0,0,0,,0,0,0,,,,0,0,52,83.9,0,0.0,0,0.0
11,11.0,28.0,12.0,13.0,2023-12-03,ATL,@,NYJ,"W, 13-8",*,5,1,8,8.0,0,20.0,1.6,0,0,,0,0,0,,,,0,0,58,85.3,0,0.0,0,0.0
12,12.0,29.0,13.0,14.0,2023-12-10,ATL,,TAM,"L, 25-29",*,11,10,172,17.2,0,90.9,15.6,0,0,,0,0,0,,,,0,0,55,76.4,0,0.0,0,0.0
13,13.0,30.0,14.0,15.0,2023-12-17,ATL,@,CAR,"L, 7-9",*,3,2,24,12.0,0,66.7,8.0,0,0,,0,0,0,,,,0,0,44,84.6,0,0.0,0,0.0
14,14.0,31.0,15.0,16.0,2023-12-24,ATL,,IND,"W, 29-10",*,4,3,39,13.0,0,75.0,9.8,0,0,,0,0,0,,,,0,0,49,76.6,0,0.0,0,0.0
15,15.0,32.0,16.0,17.0,2023-12-31,ATL,@,CHI,"L, 17-37",*,10,4,56,14.0,0,40.0,5.6,0,0,,0,0,0,,,,0,0,49,83.1,0,0.0,0,0.0
16,16.0,33.0,17.0,18.0,2024-01-07,ATL,@,NOR,"L, 17-48",*,9,4,41,10.3,0,44.4,4.6,0,0,,0,0,0,,,,0,0,46,75.4,0,0.0,0,0.0
17,,,,,,,,,7-9,,110,69,905,13.1,2,62.7,8.2,1,1,100.0,22,0,0,22.0,22.00,118.7,0,0,860,81.1,0,0.0,0,0.0
