,Season,Age,Team,Lg,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
0,2023,22,CAR,NFL,QB,16,16,2-14-0,315,527,59.8,2877,11,2.1,10,1.9,133,36.5,48,5.5,5.02,9.1,179.8,73.7,33.4,62,477,10.53,4.07,3.68,2,2,6,
1,2024,23,CAR,NFL,QB,14,12,4-8-0,234,384,60.9,2403,15,3.9,9,2.3,117,39.0,83,6.3,5.98,10.3,171.6,82.2,54.1,29,186,7.02,5.37,5.11,1,4,8,
2,2 Yrs,2 Yrs,2 Yrs,2 Yrs,,30,28,6-22-0,549,911,60.3,5280,26,2.9,19,2.1,250,37.5,83,5.8,5.43,9.6,176.0,77.3,,91,663,9.08,4.61,4.27,3,6,14,
3,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,16,6-22-0,311,516,60.3,2992,15,2.9,11,2.1,142,37.5,83,5.8,5.43,9.6,176.0,77.3,,52,376,9.08,4.61,4.27,2,3,8,
