,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2016,22,TEN,NFL,RB,15.0,2.0,110.0,490.0,5.0,29.0,54.5,22.0,4.5,32.7,7.3,15.0,13.0,137.0,10.5,0.0,5.0,46.7,29.0,0.9,9.1,86.7,9.1,123.0,5.1,627.0,5.0,0.0,4.0,
1,2017,23,TEN,NFL,RB,16.0,2.0,176.0,744.0,5.0,40.0,45.5,75.0,4.2,46.5,11.0,17.0,11.0,136.0,12.4,1.0,4.0,41.2,66.0,0.7,8.5,64.7,8.0,187.0,4.7,880.0,6.0,1.0,6.0,
2,2018,24,TEN,NFL,RB,16.0,12.0,215.0,1059.0,12.0,50.0,50.2,99.0,4.9,66.2,13.4,18.0,15.0,99.0,6.6,0.0,4.0,44.4,21.0,0.9,6.2,83.3,5.5,230.0,5.0,1158.0,12.0,1.0,7.0,
3,2019,25,TEN,NFL,RB,15.0,15.0,303.0,1540.0,16.0,73.0,49.2,74.0,5.1,102.7,20.2,24.0,18.0,206.0,11.4,2.0,4.0,50.0,75.0,1.2,13.7,75.0,8.6,321.0,5.4,1746.0,18.0,5.0,13.0,"PB,AP-2"
4,2020,26,TEN,NFL,RB,16.0,16.0,378.0,2027.0,17.0,98.0,56.6,94.0,5.4,126.7,23.6,31.0,19.0,114.0,6.0,0.0,4.0,32.3,53.0,1.2,7.1,61.3,3.7,397.0,5.4,2141.0,17.0,3.0,16.0,"PB,AP-1,AP OPoY-1"
5,2021,27,TEN,NFL,RB,8.0,8.0,219.0,937.0,10.0,49.0,44.7,76.0,4.3,117.1,27.4,20.0,18.0,154.0,8.6,0.0,7.0,80.0,16.0,2.3,19.3,90.0,7.7,237.0,4.6,1091.0,10.0,1.0,7.0,
6,2022,28,TEN,NFL,RB,16.0,16.0,349.0,1538.0,13.0,65.0,46.7,56.0,4.4,96.1,21.8,41.0,33.0,398.0,12.1,0.0,11.0,61.0,69.0,2.1,24.9,80.5,9.7,382.0,5.1,1936.0,13.0,6.0,11.0,"PB,AP MVP-9,AP OPoY-12,AP CPoY-9"
7,2023,29,TEN,NFL,RB,17.0,17.0,280.0,1167.0,12.0,63.0,46.1,69.0,4.2,68.6,16.5,36.0,28.0,214.0,7.6,0.0,7.0,44.4,46.0,1.6,12.6,77.8,5.9,308.0,4.5,1381.0,12.0,0.0,9.0,PB
8,2024,30,BAL,NFL,RB,17.0,17.0,325.0,1921.0,16.0,94.0,58.8,87.0,5.9,113.0,19.1,22.0,19.0,193.0,10.2,2.0,11.0,68.2,27.0,1.1,11.4,86.4,8.8,344.0,6.1,2114.0,18.0,3.0,16.0,"PB,AP-2,AP OPoY-4"
9,9 Yrs,9 Yrs,9 Yrs,9 Yrs,,136.0,105.0,2355.0,11423.0,106.0,561.0,50.6,99.0,4.9,84.0,17.3,224.0,174.0,1651.0,9.5,5.0,57.0,51.8,75.0,1.3,12.1,77.7,7.4,2529.0,5.2,13074.0,111.0,20.0,89.0,
10,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,13.0,294.0,1428.0,13.0,70.0,50.6,99.0,4.9,84.0,17.3,28.0,22.0,206.0,9.5,1.0,7.0,51.8,75.0,1.3,12.1,77.7,7.4,316.0,0.6,1634.0,14.0,2.0,11.0,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,TEN (8 Yrs),TEN (8 Yrs),TEN (8 Yrs),TEN (8 Yrs),,119.0,88.0,2030.0,9502.0,90.0,467.0,49.3,99.0,4.7,79.8,17.1,202.0,155.0,1458.0,9.4,3.0,46.0,50.0,75.0,1.3,12.3,76.7,7.2,2185.0,5.0,10960.0,93.0,17.0,73.0,
13,BAL (1 Yr),BAL (1 Yr),BAL (1 Yr),BAL (1 Yr),,17.0,17.0,325.0,1921.0,16.0,94.0,58.8,87.0,5.9,113.0,19.1,22.0,19.0,193.0,10.2,2.0,11.0,68.2,27.0,1.1,11.4,86.4,8.8,344.0,6.1,2114.0,18.0,3.0,16.0,
