,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,79.0,1.0,1.0,2021-09-12,TEN,,ARI,"L, 13-38",*,17,58,0,3.4,4,3,19,6.3,0,75.0,4.8,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,40,62.5,0,0.0,0,0.0
1,2.0,80.0,2.0,2.0,2021-09-19,TEN,@,SEA,"W, 33-30 (OT)",*,35,182,3,5.2,6,6,55,9.2,0,100.0,9.2,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,67,76.1,0,0.0,0,0.0
2,3.0,81.0,3.0,3.0,2021-09-26,TEN,,IND,"W, 25-16",*,28,113,0,4.0,3,3,31,10.3,0,100.0,10.3,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,49,72.1,0,0.0,0,0.0
3,4.0,82.0,4.0,4.0,2021-10-03,TEN,@,NYJ,"L, 24-27 (OT)",*,33,157,1,4.8,2,2,20,10.0,0,100.0,10.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,59,59.0,0,0.0,0,0.0
4,5.0,83.0,5.0,5.0,2021-10-10,TEN,@,JAX,"W, 37-19",*,29,130,3,4.5,0,0,0,,0,,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,49,76.6,0,0.0,0,0.0
5,6.0,84.0,6.0,6.0,2021-10-18,TEN,,BUF,"W, 34-31",*,20,143,3,7.2,3,2,13,6.5,0,66.7,4.3,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,43,81.1,0,0.0,0,0.0
6,7.0,85.0,7.0,7.0,2021-10-24,TEN,,KAN,"W, 27-3",*,29,86,0,3.0,2,2,16,8.0,0,100.0,8.0,1,1,100.0,5,1,0,5.0,25.00,127.1,0,0,0,0,0,0,0,0,50,73.5,0,0.0,0,0.0
7,8.0,86.0,8.0,8.0,2021-10-31,TEN,@,IND,"W, 34-31 (OT)",*,28,68,0,2.4,0,0,0,,0,,,0,0,,0,0,0,,,,0,0,1,0,0,1,0,0,54,74.0,0,0.0,0,0.0
8,8.0,,9.0,9.0,2021-11-07,TEN,@,LAR,"W, 28-16",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,8.0,,10.0,10.0,2021-11-14,TEN,,NOR,"W, 23-21",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,8.0,,11.0,11.0,2021-11-21,TEN,,HOU,"L, 13-22",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,8.0,,12.0,12.0,2021-11-28,TEN,@,NWE,"L, 13-36",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,8.0,,13.0,14.0,2021-12-12,TEN,,JAX,"W, 20-0",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
