,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,45.0,1.0,1,2023-09-10,LAR,@,SEA,"W, 30-13",*,5,4,24,6.0,0,80.0,4.8,0,0,0,,75,92.6,0,0.0,0,0.0
1,2.0,46.0,2.0,2,2023-09-17,LAR,,SFO,"L, 23-30",*,4,1,9,9.0,0,25.0,2.3,0,0,0,,66,82.5,0,0.0,0,0.0
2,3.0,47.0,3.0,3,2023-09-25,LAR,@,CIN,"L, 16-19",*,3,1,46,46.0,0,33.3,15.3,1,4,0,4.0,51,92.7,0,0.0,0,0.0
3,4.0,48.0,4.0,4,2023-10-01,LAR,@,IND,"W, 29-23 (OT)",*,3,2,29,14.5,0,66.7,9.7,0,0,0,,71,86.6,0,0.0,0,0.0
4,5.0,49.0,5.0,5,2023-10-08,LAR,,PHI,"L, 14-23",,0,0,0,,0,,,0,0,0,,2,3.6,0,0.0,0,0.0
5,,,,Player went from Los Angeles Rams to Atlanta Falcons,Player went from Los Angeles Rams to Atlanta Falcons,Player went from Los Angeles Rams to Atlanta Falcons,Player went from Los Angeles Rams to Atlanta Falcons,Player went from Los Angeles Rams to Atlanta Falcons,Player went from Los Angeles Rams to Atlanta Falcons,Player went from Los Angeles Rams to Atlanta Falcons,Player went from Los Angeles Rams to Atlanta Falcons,Player went from Los Angeles Rams to Atlanta Falcons,Player went from Los Angeles Rams to Atlanta Falcons,Player went from Los Angeles Rams to Atlanta Falcons,Player went from Los Angeles Rams to Atlanta Falcons,Player went from Los Angeles Rams to Atlanta Falcons,Player went from Los Angeles Rams to Atlanta Falcons,Player went from Los Angeles Rams to Atlanta Falcons,Player went from Los Angeles Rams to Atlanta Falcons,Player went from Los Angeles Rams to Atlanta Falcons,Player went from Los Angeles Rams to Atlanta Falcons,Player went from Los Angeles Rams to Atlanta Falcons,Player went from Los Angeles Rams to Atlanta Falcons,Player went from Los Angeles Rams to Atlanta Falcons,Player went from Los Angeles Rams to Atlanta Falcons,Player went from Los Angeles Rams to Atlanta Falcons,Player went from Los Angeles Rams to Atlanta Falcons
6,6.0,50.0,6.0,6,2023-10-15,ATL,,WAS,"L, 16-24",,2,0,0,,0,0.0,0.0,0,0,0,,22,26.5,0,0.0,0,0.0
7,7.0,51.0,7.0,7,2023-10-22,ATL,@,TAM,"W, 16-13",,2,1,5,5.0,0,50.0,2.5,0,0,0,,32,49.2,0,0.0,0,0.0
8,8.0,52.0,8.0,8,2023-10-29,ATL,@,TEN,"L, 23-28",*,5,3,24,8.0,0,60.0,4.8,0,0,0,,48,70.6,0,0.0,0,0.0
9,9.0,53.0,9.0,9,2023-11-05,ATL,,MIN,"L, 28-31",*,4,1,14,14.0,0,25.0,3.5,0,0,0,,45,65.2,0,0.0,0,0.0
10,10.0,54.0,10.0,10,2023-11-12,ATL,@,ARI,"L, 23-25",,1,0,0,,0,0.0,0.0,0,0,0,,26,36.6,0,0.0,0,0.0
11,11.0,55.0,11.0,12,2023-11-26,ATL,,NOR,"W, 24-15",*,2,1,13,13.0,0,50.0,6.5,0,0,0,,22,35.5,0,0.0,0,0.0
12,12.0,56.0,12.0,13,2023-12-03,ATL,@,NYJ,"W, 13-8",,0,0,0,,0,,,0,0,0,,36,52.9,0,0.0,0,0.0
13,13.0,57.0,13.0,14,2023-12-10,ATL,,TAM,"L, 25-29",,0,0,0,,0,,,0,0,0,,32,44.4,0,0.0,0,0.0
14,14.0,58.0,14.0,15,2023-12-17,ATL,@,CAR,"L, 7-9",,1,0,0,,0,0.0,0.0,0,0,0,,13,25.0,0,0.0,0,0.0
15,15.0,59.0,15.0,16,2023-12-24,ATL,,IND,"W, 29-10",*,3,1,13,13.0,0,33.3,4.3,0,0,0,,26,40.6,0,0.0,0,0.0
16,16.0,60.0,16.0,17,2023-12-31,ATL,@,CHI,"L, 17-37",,5,3,19,6.3,0,60.0,3.8,0,0,0,,24,40.7,0,0.0,0,0.0
17,17.0,61.0,17.0,18,2024-01-07,ATL,@,NOR,"L, 17-48",*,3,2,13,6.5,0,66.7,4.3,0,0,0,,30,49.2,0,0.0,0,0.0
18,,,,,,,,,6-11,,43,20,209,10.5,0,46.5,4.9,1,4,0,4.0,621,54.1,0,0.0,0,0.0
