,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2020-09-13,LAR,,DAL,"W, 20-17",,3,1,31,31.0,0,33.3,10.3,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,33,45.2,0,0.0,1,3.8
1,2.0,2.0,2.0,2.0,2020-09-20,LAR,@,PHI,"W, 37-19",,5,4,45,11.3,0,80.0,9.0,1,-1,0,-1.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,26,37.7,0,0.0,6,24.0
2,3.0,3.0,3.0,3.0,2020-09-27,LAR,@,BUF,"L, 32-35",,1,0,0,,0,0.0,0.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,1,0,0,0,-11,0,8,11.6,0,0.0,6,25.0
3,4.0,4.0,4.0,4.0,2020-10-04,LAR,,NYG,"W, 17-9",,1,0,0,,0,0.0,0.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,5.3,0,0.0,0,0.0
4,5.0,5.0,5.0,5.0,2020-10-11,LAR,@,WAS,"W, 30-10",,0,0,0,,0,,,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,18,26.5,0,0.0,3,9.7
5,6.0,6.0,6.0,6.0,2020-10-18,LAR,@,SFO,"L, 16-24",,1,1,8,8.0,0,100.0,8.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,5.0,0,0.0,3,11.1
6,7.0,7.0,7.0,7.0,2020-10-26,LAR,,CHI,"W, 24-10",,1,1,14,14.0,0,100.0,14.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.2,0,0.0,0,0.0
7,8.0,8.0,8.0,8.0,2020-11-01,LAR,@,MIA,"L, 17-28",,2,2,23,11.5,0,100.0,11.5,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,14,14.7,0,0.0,16,48.5
8,9.0,9.0,9.0,10.0,2020-11-15,LAR,,SEA,"W, 23-16",,1,1,15,15.0,0,100.0,15.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,13,18.6,0,0.0,10,41.7
9,10.0,10.0,10.0,11.0,2020-11-23,LAR,@,TAM,"W, 27-24",,1,1,7,7.0,1,100.0,7.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,5.6,0,0.0,5,16.7
10,11.0,11.0,11.0,12.0,2020-11-29,LAR,,SFO,"L, 20-23",,0,0,0,,0,,,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,12,34.3
11,12.0,12.0,12.0,13.0,2020-12-06,LAR,@,ARI,"W, 38-28",,5,4,27,6.8,0,80.0,5.4,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,40,48.8,0,0.0,8,26.7
12,13.0,13.0,13.0,14.0,2020-12-10,LAR,,NWE,"W, 24-3",,0,0,0,,0,,,0,0,0,,1,13,0,13.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,19,30.2,0,0.0,10,41.7
13,14.0,14.0,14.0,15.0,2020-12-20,LAR,,NYJ,"L, 20-23",,1,0,0,,0,0.0,0.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,14,23.7,0,0.0,15,51.7
14,15.0,15.0,15.0,16.0,2020-12-27,LAR,@,SEA,"L, 9-20",,1,0,0,,0,0.0,0.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,14,18.7,0,0.0,9,33.3
15,16.0,16.0,16.0,17.0,2021-01-03,LAR,,ARI,"W, 18-7",,8,4,50,12.5,0,50.0,6.3,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,44,60.3,0,0.0,4,16.0
16,,,,,,,,,10-6,,31,19,220,11.6,1,61.3,7.1,1,-1,0,-1.0,1,13,0,13.0,0.0,1,0,1,0,0,0,1,0,0,0,-11,0,256,22.9,0,0.0,108,24.7
