,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2020,24,LAR,NFL,WR,16.0,0.0,31.0,19.0,220.0,11.6,1.0,11.0,54.8,31.0,1.2,13.8,61.3,7.1,1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-0.1,0.1,20.0,11.0,219.0,1.0,1.0,2.0,
1,2021,25,LAR,NFL,WR,17.0,17.0,89.0,50.0,802.0,16.0,6.0,32.0,52.8,79.0,2.9,47.2,56.2,9.0,2.0,20.0,0.0,1.0,100.0,10.0,10.0,1.2,0.1,52.0,15.8,822.0,6.0,0.0,8.0,
2,2022,26,LAR,NFL,WR,11.0,9.0,44.0,24.0,369.0,15.4,3.0,20.0,50.0,39.0,2.2,33.5,54.5,8.4,0.0,0.0,0.0,0.0,,,,0.0,0.0,24.0,15.4,369.0,3.0,0.0,3.0,
3,2023,27,2TM,NFL,WR,17.0,9.0,43.0,20.0,209.0,10.5,0.0,10.0,37.2,46.0,1.2,12.3,46.5,4.9,1.0,4.0,0.0,0.0,100.0,4.0,4.0,0.2,0.1,21.0,10.1,213.0,0.0,0.0,2.0,
4,2023,27,LAR,NFL,WR,5.0,4.0,15.0,8.0,108.0,13.5,0.0,4.0,33.3,46.0,1.6,21.6,53.3,7.2,1.0,4.0,0.0,0.0,100.0,4.0,4.0,0.8,0.2,9.0,12.4,112.0,0.0,0.0,1.0,
5,2023,27,ATL,NFL,WR,12.0,5.0,28.0,12.0,101.0,8.4,0.0,6.0,39.3,14.0,1.0,8.4,42.9,3.6,0.0,0.0,0.0,0.0,,,,0.0,0.0,12.0,8.4,101.0,0.0,0.0,1.0,
6,2024,28,PIT,NFL,WR,17.0,12.0,40.0,24.0,276.0,11.5,2.0,12.0,47.5,43.0,1.4,16.2,60.0,6.9,0.0,0.0,0.0,0.0,,,,0.0,0.0,24.0,11.5,276.0,2.0,0.0,3.0,
7,2025,29,TEN,NFL,WR,3.0,0.0,3.0,3.0,18.0,6.0,0.0,2.0,100.0,8.0,1.0,6.0,100.0,6.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,3.0,6.0,18.0,0.0,0.0,,
8,6 Yrs,6 Yrs,6 Yrs,6 Yrs,,81.0,47.0,250.0,140.0,1894.0,13.5,12.0,87.0,49.6,79.0,1.7,23.4,56.0,7.6,4.0,23.0,0.0,1.0,75.0,10.0,5.8,0.3,0.0,144.0,13.3,1917.0,12.0,1.0,18.0,
9,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,10.0,52.0,29.0,398.0,13.5,3.0,18.0,49.6,79.0,1.7,23.4,56.0,7.6,1.0,5.0,0.0,0.0,75.0,10.0,5.8,0.3,0.0,30.0,13.3,402.0,3.0,0.0,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,LAR (4 Yrs),LAR (4 Yrs),LAR (4 Yrs),LAR (4 Yrs),,49.0,30.0,179.0,101.0,1499.0,14.8,10.0,67.0,50.8,79.0,2.1,30.6,56.4,8.4,4.0,23.0,0.0,1.0,75.0,10.0,5.8,0.5,0.1,105.0,14.5,1522.0,10.0,1.0,14.0,
12,PIT (1 Yr),PIT (1 Yr),PIT (1 Yr),PIT (1 Yr),,17.0,12.0,40.0,24.0,276.0,11.5,2.0,12.0,47.5,43.0,1.4,16.2,60.0,6.9,0.0,0.0,0.0,0.0,,,,0.0,0.0,24.0,11.5,276.0,2.0,0.0,3.0,
13,ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),,12.0,5.0,28.0,12.0,101.0,8.4,0.0,6.0,39.3,14.0,1.0,8.4,42.9,3.6,0.0,0.0,0.0,0.0,,,,0.0,0.0,12.0,8.4,101.0,0.0,0.0,1.0,
14,TEN (1 Yr),TEN (1 Yr),TEN (1 Yr),TEN (1 Yr),,3.0,0.0,3.0,3.0,18.0,6.0,0.0,2.0,100.0,8.0,1.0,6.0,100.0,6.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,3.0,6.0,18.0,0.0,0.0,,
