,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2017,22,PIT,NFL,RB,14.0,0.0,32.0,144.0,0.0,4.0,50.0,23.0,4.5,10.3,2.3,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,32.0,4.5,144.0,0.0,0.0,1.0,
1,2018,23,PIT,NFL,RB,13.0,12.0,215.0,973.0,12.0,56.0,48.4,30.0,4.5,74.8,16.5,71.0,55.0,497.0,9.0,1.0,20.0,52.1,29.0,4.2,38.2,77.5,7.0,270.0,5.4,1470.0,13.0,4.0,10.0,PB
2,2019,24,PIT,NFL,RB,10.0,10.0,116.0,464.0,4.0,26.0,43.1,25.0,4.0,46.4,11.6,38.0,34.0,251.0,7.4,3.0,14.0,55.3,26.0,3.4,25.1,89.5,6.6,150.0,4.8,715.0,7.0,1.0,4.0,
3,2020,25,PIT,NFL,RB,13.0,11.0,169.0,721.0,6.0,42.0,46.7,59.0,4.3,55.5,13.0,43.0,35.0,215.0,6.1,0.0,10.0,41.9,18.0,2.7,16.5,81.4,5.0,204.0,4.6,936.0,6.0,2.0,6.0,
4,2021,26,ARI,NFL,RB,15.0,6.0,202.0,752.0,15.0,53.0,50.0,35.0,3.7,50.1,13.5,39.0,37.0,375.0,10.1,3.0,18.0,71.8,45.0,2.5,25.0,94.9,9.6,239.0,4.7,1127.0,18.0,2.0,7.0,PB
5,2022,27,ARI,NFL,RB,13.0,13.0,183.0,782.0,7.0,48.0,55.2,23.0,4.3,60.2,14.1,58.0,46.0,300.0,6.5,1.0,13.0,44.8,22.0,3.5,23.1,79.3,5.2,229.0,4.7,1082.0,8.0,3.0,7.0,
6,2023,28,ARI,NFL,RB,13.0,13.0,208.0,1040.0,7.0,57.0,49.5,44.0,5.0,80.0,16.0,33.0,27.0,165.0,6.1,2.0,11.0,39.4,34.0,2.1,12.7,81.8,5.0,235.0,5.1,1205.0,9.0,0.0,9.0,
7,2024,29,ARI,NFL,RB,16.0,16.0,236.0,1094.0,8.0,67.0,51.7,53.0,4.6,68.4,14.8,55.0,47.0,414.0,8.8,1.0,17.0,56.4,44.0,2.9,25.9,85.5,7.5,283.0,5.3,1508.0,9.0,4.0,11.0,
8,8 Yrs,8 Yrs,8 Yrs,8 Yrs,,107.0,81.0,1361.0,5970.0,59.0,353.0,49.7,59.0,4.4,55.8,12.7,338.0,281.0,2217.0,7.9,11.0,103.0,51.5,45.0,2.6,20.7,83.1,6.6,1642.0,5.0,8187.0,70.0,16.0,55.0,
9,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,13.0,216.0,949.0,9.0,56.0,49.7,59.0,4.4,55.8,12.7,54.0,45.0,352.0,7.9,2.0,16.0,51.5,45.0,2.6,20.7,83.1,6.6,261.0,0.8,1301.0,11.0,3.0,9.0,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ARI (4 Yrs),ARI (4 Yrs),ARI (4 Yrs),ARI (4 Yrs),,57.0,48.0,829.0,3668.0,37.0,225.0,51.5,53.0,4.4,64.4,14.5,185.0,157.0,1254.0,8.0,7.0,59.0,53.0,45.0,2.8,22.0,84.9,6.8,986.0,5.0,4922.0,44.0,9.0,34.0,
12,PIT (4 Yrs),PIT (4 Yrs),PIT (4 Yrs),PIT (4 Yrs),,50.0,33.0,532.0,2302.0,22.0,128.0,46.8,59.0,4.3,46.0,10.6,153.0,124.0,963.0,7.8,4.0,44.0,49.7,29.0,2.5,19.3,81.0,6.3,656.0,5.0,3265.0,26.0,7.0,21.0,
