,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,PRTD,Y/Ret,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,12.0,1.0,1.0,2024-09-08,HOU,@,IND,"W, 29-27",*,7,3,40,13.3,0,42.9,5.7,2,19,0,9.5,0,0,0,,50,63.3,0,0.0,0,0.0
1,2.0,13.0,2.0,2.0,2024-09-15,HOU,,CHI,"W, 19-13",,4,1,-3,-3.0,0,25.0,-0.8,3,16,0,5.3,0,0,0,,43,69.4,0,0.0,0,0.0
2,3.0,14.0,3.0,3.0,2024-09-22,HOU,@,MIN,"L, 7-34",,6,5,62,12.4,0,83.3,10.3,0,0,0,,0,0,0,,45,67.2,0,0.0,0,0.0
3,3.0,,4.0,4.0,2024-09-29,HOU,,JAX,"W, 24-20",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,4.0,15.0,5.0,5.0,2024-10-06,HOU,,BUF,"W, 23-20",*,4,4,38,9.5,0,100.0,9.5,1,-5,0,-5.0,0,0,0,,46,67.6,0,0.0,0,0.0
5,5.0,16.0,6.0,6.0,2024-10-13,HOU,@,NWE,"W, 41-21",*,9,7,57,8.1,1,77.8,6.3,0,0,0,,0,0,0,,49,74.2,0,0.0,0,0.0
6,6.0,17.0,7.0,7.0,2024-10-20,HOU,@,GNB,"L, 22-24",*,4,0,0,,0,0.0,0.0,0,0,0,,2,24,0,12.0,46,71.9,0,0.0,2,6.9
7,7.0,18.0,8.0,8.0,2024-10-27,HOU,,IND,"W, 23-20",,4,4,35,8.8,1,100.0,8.8,0,0,0,,0,0,0,,53,74.6,0,0.0,0,0.0
8,8.0,19.0,9.0,9.0,2024-10-31,HOU,@,NYJ,"L, 13-21",*,9,6,126,21.0,0,66.7,14.0,0,0,0,,0,0,0,,58,73.4,0,0.0,0,0.0
9,9.0,20.0,10.0,10.0,2024-11-10,HOU,,DET,"L, 23-26",*,9,5,39,7.8,0,55.6,4.3,1,-6,0,-6.0,0,0,0,,51,75.0,0,0.0,0,0.0
10,10.0,21.0,11.0,11.0,2024-11-18,HOU,@,DAL,"W, 34-10",,7,4,54,13.5,0,57.1,7.7,1,4,0,4.0,0,0,0,,41,64.1,0,0.0,0,0.0
11,11.0,22.0,12.0,12.0,2024-11-24,HOU,,TEN,"L, 27-32",*,5,3,72,24.0,0,60.0,14.4,0,0,0,,0,0,0,,47,83.9,0,0.0,0,0.0
12,12.0,23.0,13.0,13.0,2024-12-01,HOU,@,JAX,"W, 23-20",*,4,1,23,23.0,0,25.0,5.8,0,0,0,,1,14,0,14.0,43,68.3,0,0.0,1,3.7
13,13.0,24.0,14.0,15.0,2024-12-15,HOU,,MIA,"W, 20-12",*,2,2,26,13.0,0,100.0,13.0,1,15,0,15.0,3,45,0,15.0,31,62.0,0,0.0,3,12.0
14,14.0,25.0,15.0,16.0,2024-12-21,HOU,@,KAN,"L, 19-27",*,7,6,98,16.3,1,85.7,14.0,0,0,0,,1,12,0,12.0,30,50.8,0,0.0,1,4.2
15,14.0,,16.0,17.0,2024-12-25,HOU,,BAL,"L, 2-31",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,14.0,,17.0,18.0,2025-01-05,HOU,@,TEN,"W, 23-14",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,,,,,,,,,8-6,,81,51,667,13.1,3,63.0,8.2,9,43,0,4.8,7,95,0,13.6,633,69.1,0,0.0,7,1.7
