,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Cmp,Att.1,Yds.2,TD.2,Int,Sk,Yds.3,Ret,Yds.4,KRTD,Y/Ret,Ret.1,Yds.5,PRTD,Y/Ret.1,Fmb,FL,FF,FR,Yds.6,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2023-09-10,HOU,@,BAL,"L, 9-25",,4,3,34,11.3,0,75.0,8.5,0,0,0,,0,0,0,0,0,0,0,0,0,0,,1,14,0,14.0,0,0,0,0,0,0,37,48.1,0,0.0,3,12.0
1,2.0,2.0,2.0,2.0,2023-09-17,HOU,,IND,"L, 20-31",*,10,7,72,10.3,1,70.0,7.2,0,0,0,,0,0,0,0,0,0,0,0,0,0,,1,13,0,13.0,0,0,0,1,0,0,66,78.6,0,0.0,4,13.8
2,3.0,3.0,3.0,3.0,2023-09-24,HOU,@,JAX,"W, 37-17",*,7,5,145,29.0,1,71.4,20.7,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,34,60.7,0,0.0,0,0.0
3,4.0,4.0,4.0,4.0,2023-10-01,HOU,,PIT,"W, 30-6",*,3,1,16,16.0,0,33.3,5.3,2,13,0,6.5,0,0,0,0,0,0,0,0,0,0,,2,14,0,7.0,1,0,0,1,0,0,50,70.4,0,0.0,3,12.0
4,5.0,5.0,5.0,5.0,2023-10-08,HOU,@,ATL,"L, 19-21",,4,3,57,19.0,0,75.0,14.3,2,-4,0,-2.0,0,0,0,0,0,0,0,0,0,0,,1,9,0,9.0,0,0,0,0,0,0,21,36.2,0,0.0,2,6.9
5,5.0,,6.0,6.0,2023-10-15,HOU,,NOR,"W, 20-13",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,6.0,6.0,7.0,8.0,2023-10-29,HOU,@,CAR,"L, 13-15",*,4,3,16,5.3,0,75.0,4.0,3,15,0,5.0,0,0,0,0,0,0,0,0,0,0,,3,25,0,8.3,0,0,0,0,0,0,45,77.6,0,0.0,4,16.7
7,7.0,7.0,8.0,9.0,2023-11-05,HOU,,TAM,"W, 39-37",*,11,6,114,19.0,2,54.5,10.4,2,2,0,1.0,0,0,0,0,0,0,0,2,44,0,22.0,1,7,0,7.0,0,0,0,0,0,0,61,84.7,0,0.0,9,27.3
8,8.0,8.0,9.0,10.0,2023-11-12,HOU,@,CIN,"W, 30-27",*,14,6,56,9.3,1,42.9,4.0,1,13,0,13.0,0,0,0,0,0,0,0,0,0,0,,2,18,0,9.0,0,0,0,0,0,0,72,96.0,0,0.0,10,31.3
9,9.0,9.0,10.0,11.0,2023-11-19,HOU,,ARI,"W, 21-16",*,10,8,149,18.6,1,80.0,14.9,0,0,0,,0,0,0,0,0,1,1,0,0,0,,0,0,0,,0,0,0,0,0,0,51,76.1,0,0.0,0,0.0
