,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
0,2016,26,OAK,NFL,RB,1.0,1.0,12.0,39.0,1.0,2.0,33.3,18.0,3.3,39.0,12.0,4.0,1.0,12.0,12.0,0.0,0.0,0.0,12.0,1.0,12.0,25.0,3.0,13.0,3.9,51.0,1.0,0.0,
1,2017,27,MIN,NFL,RB,2.0,2.0,25.0,68.0,1.0,4.0,44.0,14.0,2.7,34.0,12.5,4.0,4.0,28.0,7.0,0.0,2.0,75.0,13.0,2.0,14.0,100.0,7.0,29.0,3.3,96.0,1.0,0.0,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2019,29,NOR,NFL,RB,1.0,0.0,5.0,21.0,0.0,1.0,80.0,8.0,4.2,21.0,5.0,2.0,1.0,4.0,4.0,0.0,1.0,50.0,4.0,1.0,4.0,50.0,2.0,6.0,4.2,25.0,0.0,0.0,
4,2020,30,NOR,NFL,RB,1.0,1.0,4.0,9.0,0.0,0.0,25.0,4.0,2.3,9.0,4.0,2.0,2.0,11.0,5.5,1.0,1.0,100.0,6.0,2.0,11.0,100.0,5.5,6.0,3.3,20.0,1.0,0.0,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2023,33,BUF,NFL,RB,2.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,6.0,5.0,40.0,8.0,0.0,1.0,50.0,15.0,2.5,20.0,83.3,6.7,5.0,8.0,40.0,0.0,0.0,
7,5 Yrs,5 Yrs,5 Yrs,5 Yrs,,7.0,4.0,46.0,137.0,2.0,7.0,43.5,18.0,3.0,19.6,6.6,18.0,13.0,95.0,7.3,1.0,5.0,50.0,15.0,1.9,13.6,72.2,5.3,59.0,3.9,232.0,3.0,0.0,
8,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,10.0,112.0,333.0,5.0,17.0,43.5,18.0,3.0,19.6,6.6,44.0,32.0,231.0,7.3,2.0,12.0,50.0,15.0,1.9,13.6,72.2,5.3,143.0,3.9,563.0,7.0,0.0,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,NOR (2 Yrs),NOR (2 Yrs),NOR (2 Yrs),NOR (2 Yrs),,2.0,1.0,9.0,30.0,0.0,1.0,55.6,8.0,3.3,15.0,4.5,4.0,3.0,15.0,5.0,1.0,2.0,75.0,6.0,1.5,7.5,75.0,3.8,12.0,3.8,45.0,1.0,0.0,
11,BUF (1 Yr),BUF (1 Yr),BUF (1 Yr),BUF (1 Yr),,2.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,6.0,5.0,40.0,8.0,0.0,1.0,50.0,15.0,2.5,20.0,83.3,6.7,5.0,8.0,40.0,0.0,0.0,
12,MIN (1 Yr),MIN (1 Yr),MIN (1 Yr),MIN (1 Yr),,2.0,2.0,25.0,68.0,1.0,4.0,44.0,14.0,2.7,34.0,12.5,4.0,4.0,28.0,7.0,0.0,2.0,75.0,13.0,2.0,14.0,100.0,7.0,29.0,3.3,96.0,1.0,0.0,
13,OAK (1 Yr),OAK (1 Yr),OAK (1 Yr),OAK (1 Yr),,1.0,1.0,12.0,39.0,1.0,2.0,33.3,18.0,3.3,39.0,12.0,4.0,1.0,12.0,12.0,0.0,0.0,0.0,12.0,1.0,12.0,25.0,3.0,13.0,3.9,51.0,1.0,0.0,
