,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
0,2017,24,PHI,NFL,WR,3.0,3.0,18.0,15.0,167.0,11.1,0.0,8.0,66.7,42.0,5.0,55.7,83.3,9.3,4.0,29.0,0.0,2.0,50.0,21.0,7.3,9.7,1.3,19.0,10.3,196.0,0.0,0.0,
1,2018,25,PHI,NFL,WR,2.0,2.0,9.0,4.0,38.0,9.5,0.0,3.0,44.4,13.0,2.0,19.0,44.4,4.2,1.0,12.0,0.0,1.0,100.0,12.0,12.0,6.0,0.5,5.0,10.0,50.0,0.0,0.0,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2021,28,NWE,NFL,WR,1.0,1.0,2.0,1.0,18.0,18.0,0.0,1.0,50.0,18.0,1.0,18.0,50.0,9.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,18.0,18.0,0.0,0.0,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2023,30,BAL,NFL,WR,2.0,0.0,7.0,3.0,51.0,17.0,1.0,2.0,42.9,39.0,1.5,25.5,42.9,7.3,0.0,0.0,0.0,0.0,,,,0.0,0.0,3.0,17.0,51.0,1.0,0.0,
6,2024,31,BAL,NFL,WR,2.0,0.0,2.0,1.0,25.0,25.0,0.0,1.0,50.0,25.0,0.5,12.5,50.0,12.5,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,25.0,25.0,0.0,0.0,
7,5 Yrs,5 Yrs,5 Yrs,5 Yrs,,10.0,6.0,38.0,24.0,299.0,12.5,1.0,15.0,55.3,42.0,2.4,29.9,63.2,7.9,5.0,41.0,0.0,3.0,60.0,21.0,8.2,4.1,0.5,29.0,11.7,340.0,1.0,0.0,
8,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,10.0,65.0,41.0,508.0,12.5,2.0,26.0,55.3,42.0,2.4,29.9,63.2,7.9,9.0,70.0,0.0,5.0,60.0,21.0,8.2,4.1,0.5,49.0,11.7,578.0,2.0,0.0,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PHI (2 Yrs),PHI (2 Yrs),PHI (2 Yrs),PHI (2 Yrs),,5.0,5.0,27.0,19.0,205.0,10.8,0.0,11.0,59.3,42.0,3.8,41.0,70.4,7.6,5.0,41.0,0.0,3.0,60.0,21.0,8.2,8.2,1.0,24.0,10.3,246.0,0.0,0.0,
11,BAL (2 Yrs),BAL (2 Yrs),BAL (2 Yrs),BAL (2 Yrs),,4.0,0.0,9.0,4.0,76.0,19.0,1.0,3.0,44.4,39.0,1.0,19.0,44.4,8.4,0.0,0.0,0.0,0.0,,,,0.0,0.0,4.0,19.0,76.0,1.0,0.0,
12,NWE (1 Yr),NWE (1 Yr),NWE (1 Yr),NWE (1 Yr),,1.0,1.0,2.0,1.0,18.0,18.0,0.0,1.0,50.0,18.0,1.0,18.0,50.0,9.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,18.0,18.0,0.0,0.0,
