,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,Ret,Yds.4,PRTD,Y/Ret,Fmb,FL,FF,FR,Yds.5,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,45.0,1.0,1.0,2018-09-06,PHI,,ATL,"W, 18-12",*,10,8,33,4.1,0,80.0,3.3,1,16,0,16.0,1,1,100.0,15,0,0,15.0,15.0,118.7,0,0,0,0,0,,0,0,0,0,0,0,68,94.4,0,0.0,0,0.0
1,2.0,46.0,2.0,2.0,2018-09-16,PHI,@,TAM,"L, 21-27",*,12,8,88,11.0,1,66.7,7.3,1,2,0,2.0,0,0,,0,0,0,,,,0,0,1,0,0,0.0,0,0,0,0,0,0,72,91.1,0,0.0,1,3.6
2,3.0,47.0,3.0,3.0,2018-09-23,PHI,,IND,"W, 20-16",*,5,4,24,6.0,0,80.0,4.8,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,80,97.6,0,0.0,0,0.0
3,4.0,48.0,4.0,4.0,2018-09-30,PHI,@,TEN,"L, 23-26 (OT)",*,12,5,22,4.4,0,41.7,1.8,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,1,0,0,0,0,0,72,92.3,0,0.0,0,0.0
4,5.0,49.0,5.0,5.0,2018-10-07,PHI,,MIN,"L, 21-23",*,4,4,45,11.3,0,100.0,11.3,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,52,88.1,0,0.0,0,0.0
5,6.0,50.0,6.0,6.0,2018-10-11,PHI,@,NYG,"W, 34-13",*,5,3,91,30.3,0,60.0,18.2,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,64,90.1,0,0.0,0,0.0
6,7.0,51.0,7.0,7.0,2018-10-21,PHI,,CAR,"L, 17-21",*,7,6,20,3.3,0,85.7,2.9,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,59,88.1,0,0.0,0,0.0
7,8.0,52.0,8.0,8.0,2018-10-28,PHI,@,JAX,"W, 24-18",*,6,3,49,16.3,0,50.0,8.2,1,14,0,14.0,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,57,91.9,0,0.0,0,0.0
8,9.0,53.0,9.0,10.0,2018-11-11,PHI,,DAL,"L, 20-27",*,7,5,83,16.6,0,71.4,11.9,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,55,88.7,0,0.0,0,0.0
9,10.0,54.0,10.0,11.0,2018-11-18,PHI,@,NOR,"L, 7-48",*,2,0,0,,0,0.0,0.0,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,44,86.3,0,0.0,0,0.0
10,11.0,55.0,11.0,12.0,2018-11-25,PHI,,NYG,"W, 25-22",*,1,1,12,12.0,0,100.0,12.0,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,47,72.3,0,0.0,0,0.0
11,12.0,56.0,12.0,13.0,2018-12-03,PHI,,WAS,"W, 28-13",*,8,4,56,14.0,0,50.0,7.0,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,65,86.7,0,0.0,0,0.0
12,13.0,57.0,13.0,14.0,2018-12-09,PHI,@,DAL,"L, 23-29 (OT)",*,3,2,49,24.5,0,66.7,16.3,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,49,94.2,0,0.0,0,0.0
13,14.0,58.0,14.0,15.0,2018-12-16,PHI,@,LAR,"W, 30-23",*,2,1,8,8.0,0,50.0,4.0,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,63,98.4,0,0.0,0,0.0
14,15.0,59.0,15.0,16.0,2018-12-23,PHI,,HOU,"W, 32-30",*,7,5,116,23.2,1,71.4,16.6,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,71,86.6,0,0.0,0,0.0
15,16.0,60.0,16.0,17.0,2018-12-30,PHI,@,WAS,"W, 24-0",*,6,5,40,8.0,2,83.3,6.7,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,64,90.1,0,0.0,0,0.0
16,,,,,,,,,9-7,,97,64,736,11.5,4,66.0,7.6,3,32,0,10.7,1,1,100.0,15,0,0,15.0,15.0,118.7,0,0,1,0,0,0.0,1,0,0,0,0,0,982,89.9,0,0.0,1,0.2
