,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Cmp,Att.1,Yds.2,TD.2,Int,Sk,Yds.3,Sk.1,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,18.0,1.0,1.0,2022-09-11,CIN,,PIT,"L, 20-23 (OT)",*,16,10,129,12.9,1,62.5,8.1,0,0,0,,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,100,100.0,0,0.0,0,0.0
1,2.0,19.0,2.0,2.0,2022-09-18,CIN,@,DAL,"L, 17-20",*,9,5,54,10.8,0,55.6,6.0,1,4,0,4.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,67,95.7,0,0.0,0,0.0
2,3.0,20.0,3.0,3.0,2022-09-25,CIN,@,NYJ,"W, 27-12",*,10,6,29,4.8,1,60.0,2.9,2,-2,0,-1.0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,1,1,0,0,0,0,59,86.8,0,0.0,0,0.0
3,4.0,21.0,4.0,4.0,2022-09-29,CIN,,MIA,"W, 27-15",*,6,4,81,20.3,0,66.7,13.5,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,60,93.8,0,0.0,0,0.0
4,5.0,22.0,5.0,5.0,2022-10-09,CIN,@,BAL,"L, 17-19",*,12,7,50,7.1,0,58.3,4.2,1,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,63,100.0,0,0.0,0,0.0
5,6.0,23.0,6.0,6.0,2022-10-16,CIN,@,NOR,"W, 30-26",*,10,7,132,18.9,2,70.0,13.2,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,56,98.2,0,0.0,0,0.0
6,7.0,24.0,7.0,7.0,2022-10-23,CIN,,ATL,"W, 35-17",*,11,8,130,16.3,2,72.7,11.8,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,63,92.6,0,0.0,0,0.0
7,7.0,,8.0,8.0,2022-10-31,CIN,@,CLE,"L, 13-32",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,7.0,,9.0,9.0,2022-11-06,CIN,,CAR,"W, 42-21",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,7.0,,10.0,11.0,2022-11-20,CIN,@,PIT,"W, 37-30",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,7.0,,11.0,12.0,2022-11-27,CIN,@,TEN,"W, 20-16",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,8.0,25.0,12.0,13.0,2022-12-04,CIN,,KAN,"W, 27-24",*,8,7,97,13.9,0,87.5,12.1,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,59,81.9,0,0.0,0,0.0
12,9.0,26.0,13.0,14.0,2022-12-11,CIN,,CLE,"W, 23-10",*,15,10,119,11.9,1,66.7,7.9,1,6,0,6.0,0,0,0,0,0,1,9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,63,94.0,0,0.0,0,0.0
13,10.0,27.0,14.0,15.0,2022-12-18,CIN,@,TAM,"W, 34-23",*,13,7,60,8.6,1,53.8,4.6,0,0,0,,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,60,90.9,0,0.0,0,0.0
