,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,KRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,17.0,1.0,1.0,2023-09-10,SFO,@,PIT,"W, 30-7",,0,0,0,,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,0,0.0,0,0.0,17,65.4
1,2.0,18.0,2.0,2.0,2023-09-17,SFO,@,LAR,"W, 30-23",,0,0,0,,0,0,0,,0,,,0,0,0,,0.0,1,0,1,0,0,0,0,0.0,0,0.0,17,60.7
2,3.0,19.0,3.0,3.0,2023-09-21,SFO,,NYG,"W, 30-12",,3,11,0,3.7,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,4,4.8,0,0.0,20,71.4
3,4.0,20.0,4.0,4.0,2023-10-01,SFO,,ARI,"W, 35-16",,3,10,0,3.3,1,1,13,13.0,0,100.0,13.0,0,0,0,,0.0,0,0,0,0,0,0,8,14.5,0,0.0,14,63.6
4,5.0,21.0,5.0,5.0,2023-10-08,SFO,,DAL,"W, 42-10",,10,69,1,6.9,1,0,0,,0,0.0,0.0,0,0,0,,0.0,1,1,0,0,0,0,13,18.3,0,0.0,18,66.7
5,6.0,22.0,6.0,6.0,2023-10-15,SFO,@,CLE,"L, 17-19",,5,27,1,5.4,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,15,24.2,0,0.0,17,54.8
6,7.0,23.0,7.0,7.0,2023-10-23,SFO,@,MIN,"L, 17-22",,0,0,0,,0,0,0,,0,,,0,0,0,,0.0,1,0,1,0,0,0,0,0.0,0,0.0,11,50.0
7,8.0,24.0,8.0,8.0,2023-10-29,SFO,,CIN,"L, 17-31",,0,0,0,,0,0,0,,0,,,0,0,0,,0.0,1,0,1,0,0,0,0,0.0,0,0.0,16,64.0
8,9.0,25.0,9.0,10.0,2023-11-12,SFO,@,JAX,"W, 34-3",,0,0,0,,0,0,0,,0,,,0,0,0,,0.0,2,1,1,0,0,0,3,4.8,0,0.0,16,69.6
9,10.0,26.0,10.0,11.0,2023-11-19,SFO,,TAM,"W, 27-14",,0,0,0,,0,0,0,,0,,,1,12,0,12.0,0.0,1,1,0,0,0,0,2,3.3,0,0.0,15,68.2
10,11.0,27.0,11.0,12.0,2023-11-23,SFO,@,SEA,"W, 31-13",,0,0,0,,0,0,0,,0,,,0,0,0,,0.0,1,0,1,0,0,0,0,0.0,0,0.0,19,65.5
11,12.0,28.0,12.0,13.0,2023-12-03,SFO,@,PHI,"W, 42-19",,2,10,0,5.0,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,3,5.1,0,0.0,16,61.5
12,13.0,29.0,13.0,14.0,2023-12-10,SFO,,SEA,"W, 28-16",,4,20,1,5.0,1,1,6,6.0,0,100.0,6.0,0,0,0,,0.0,0,0,0,0,0,0,6,11.1,0,0.0,10,37.0
13,14.0,30.0,14.0,15.0,2023-12-17,SFO,@,ARI,"W, 45-29",,5,20,0,4.0,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,13,23.2,0,0.0,11,35.5
14,15.0,31.0,15.0,16.0,2023-12-25,SFO,,BAL,"L, 19-33",,0,0,0,,0,0,0,,0,,,0,0,0,,0.0,1,1,0,0,0,0,0,0.0,0,0.0,12,44.4
15,16.0,32.0,16.0,17.0,2023-12-31,SFO,@,WAS,"W, 27-10",,2,3,0,1.5,0,0,0,,0,,,1,28,0,28.0,0.0,0,0,0,0,0,0,5,7.1,0,0.0,14,66.7
16,17.0,33.0,17.0,18.0,2024-01-07,SFO,,LAR,"L, 20-21",,6,36,0,6.0,1,1,12,12.0,0,100.0,12.0,0,0,0,,0.0,0,0,0,0,0,0,27,44.3,0,0.0,5,26.3
17,,,,,,,,,12-5,,40,206,3,5.2,4,3,31,10.3,0,75.0,7.8,2,40,0,20.0,0.0,9,4,5,0,0,0,99,9.3,0,0.0,248,57.1
