,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2022-09-11,SFO,@,CHI,"L, 10-19",,0,0,0,,0.0,1,1,0,0,0,0,0,0.0,0,0.0,5,20.8
1,2.0,2.0,2.0,2.0,2022-09-18,SFO,,SEA,"W, 27-7",,0,0,0,,0.0,1,0,1,0,0,0,0,0.0,0,0.0,8,34.8
2,3.0,3.0,3.0,3.0,2022-09-25,SFO,@,DEN,"L, 10-11",,1,7,0,7.0,0.0,0,0,0,0,0,0,5,8.9,0,0.0,15,53.6
3,4.0,4.0,4.0,4.0,2022-10-03,SFO,,LAR,"W, 24-9",,0,0,0,,0.0,0,0,0,0,0,0,0,0.0,0,0.0,17,68.0
4,5.0,5.0,5.0,5.0,2022-10-09,SFO,@,CAR,"W, 37-15",,0,0,0,,0.0,1,0,1,0,0,0,1,1.5,0,0.0,15,53.6
5,6.0,6.0,6.0,6.0,2022-10-16,SFO,@,ATL,"L, 14-28",,0,0,0,,0.0,0,0,0,0,0,0,0,0.0,0,0.0,16,72.7
6,6.0,,7.0,7.0,2022-10-23,SFO,,KAN,"L, 23-44",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,7.0,7.0,8.0,8.0,2022-10-30,SFO,@,LAR,"W, 31-14",,0,0,0,,0.0,0,0,0,0,0,0,0,0.0,0,0.0,16,66.7
8,8.0,8.0,9.0,10.0,2022-11-13,SFO,,LAC,"W, 22-16",,0,0,0,,0.0,0,0,0,0,0,0,0,0.0,0,0.0,19,67.9
9,9.0,9.0,10.0,11.0,2022-11-21,SFO,@,ARI,"W, 38-10",,4,14,0,3.5,0.0,0,0,0,0,0,0,7,12.1,0,0.0,17,65.4
10,10.0,10.0,11.0,12.0,2022-11-27,SFO,,NOR,"W, 13-0",,5,25,0,5.0,0.0,1,0,1,0,0,0,9,12.9,0,0.0,11,64.7
11,11.0,11.0,12.0,13.0,2022-12-04,SFO,,MIA,"W, 33-17",,8,51,0,6.4,0.0,0,0,0,0,0,0,15,17.9,0,0.0,20,66.7
12,12.0,12.0,13.0,14.0,2022-12-11,SFO,,TAM,"W, 35-7",,11,56,0,5.1,0.0,0,0,0,0,0,0,19,30.2,0,0.0,14,66.7
13,13.0,13.0,14.0,15.0,2022-12-15,SFO,@,SEA,"W, 21-13",,4,64,0,16.0,0.0,0,0,0,0,0,0,7,10.9,0,0.0,20,71.4
14,14.0,14.0,15.0,16.0,2022-12-24,SFO,,WAS,"W, 37-20",,0,0,0,,0.0,1,0,1,0,0,0,0,0.0,0,0.0,17,63.0
15,15.0,15.0,16.0,17.0,2023-01-01,SFO,@,LVR,"W, 37-34 (OT)",,2,13,1,6.5,0.0,0,0,0,0,0,0,5,7.5,0,0.0,18,54.5
16,16.0,16.0,17.0,18.0,2023-01-08,SFO,,ARI,"W, 38-13",,8,28,0,3.5,0.0,1,1,0,0,0,0,14,22.6,0,0.0,18,69.2
17,,,,,,,,,13-3,,43,258,1,6.0,0.0,6,2,4,0,0,0,82,8.0,0,0.0,246,60.0
