,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2019,22,DAL,NFL,RB,15.0,0.0,86.0,455.0,2.0,21.0,50.0,44.0,5.3,30.3,5.7,20.0,15.0,107.0,7.1,1.0,4.0,40.0,21.0,1.0,7.1,75.0,5.4,101.0,5.6,562.0,3.0,1.0,3.0,
1,2020,23,DAL,NFL,RB,16.0,2.0,101.0,435.0,4.0,23.0,45.5,42.0,4.3,27.2,6.3,40.0,28.0,193.0,6.9,1.0,9.0,42.5,30.0,1.8,12.1,70.0,4.8,129.0,4.9,628.0,5.0,0.0,4.0,
2,2021,24,DAL,NFL,RB,15.0,0.0,130.0,719.0,2.0,35.0,53.8,58.0,5.5,47.9,8.7,46.0,39.0,337.0,8.6,0.0,15.0,58.7,32.0,2.6,22.5,84.8,7.3,169.0,6.2,1056.0,2.0,2.0,8.0,
3,2022,25,DAL,NFL,RB,16.0,4.0,193.0,1007.0,9.0,46.0,47.7,57.0,5.2,62.9,12.1,55.0,39.0,371.0,9.5,3.0,18.0,47.3,68.0,2.4,23.2,70.9,6.7,232.0,5.9,1378.0,12.0,0.0,11.0,PB
4,2023,26,DAL,NFL,RB,17.0,17.0,252.0,1005.0,6.0,56.0,50.0,31.0,4.0,59.1,14.8,67.0,55.0,311.0,5.7,0.0,12.0,43.3,60.0,3.2,18.3,82.1,4.6,307.0,4.3,1316.0,6.0,3.0,11.0,
5,2024,27,TEN,NFL,RB,16.0,16.0,260.0,1079.0,5.0,53.0,47.7,41.0,4.2,67.4,16.3,57.0,41.0,238.0,5.8,0.0,9.0,29.8,30.0,2.6,14.9,71.9,4.2,301.0,4.4,1317.0,5.0,2.0,7.0,
6,2025,28,TEN,NFL,RB,3.0,3.0,54.0,197.0,1.0,13.0,50.0,10.0,3.6,65.7,18.0,6.0,3.0,43.0,14.3,0.0,1.0,33.3,29.0,1.0,14.3,50.0,7.2,57.0,4.2,240.0,1.0,1.0,,
7,7 Yrs,7 Yrs,7 Yrs,7 Yrs,,98.0,42.0,1076.0,4897.0,29.0,247.0,49.1,58.0,4.6,50.0,11.0,291.0,220.0,1600.0,7.3,5.0,68.0,43.3,68.0,2.2,16.3,75.6,5.5,1296.0,5.0,6497.0,34.0,9.0,44.0,
8,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,7.0,187.0,849.0,5.0,43.0,49.1,58.0,4.6,50.0,11.0,50.0,38.0,278.0,7.3,1.0,12.0,43.3,68.0,2.2,16.3,75.6,5.5,225.0,5.0,1127.0,6.0,2.0,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,DAL (5 Yrs),DAL (5 Yrs),DAL (5 Yrs),DAL (5 Yrs),,79.0,23.0,762.0,3621.0,23.0,181.0,49.5,58.0,4.8,45.8,9.6,228.0,176.0,1319.0,7.5,5.0,58.0,46.9,68.0,2.2,16.7,77.2,5.8,938.0,5.3,4940.0,28.0,6.0,37.0,
11,TEN (2 Yrs),TEN (2 Yrs),TEN (2 Yrs),TEN (2 Yrs),,19.0,19.0,314.0,1276.0,6.0,66.0,48.1,41.0,4.1,67.2,16.5,63.0,44.0,281.0,6.4,0.0,10.0,30.2,30.0,2.3,14.8,69.8,4.5,358.0,4.3,1557.0,6.0,3.0,7.0,
