,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Cmp%,Yds.1,TD.1,Int,Y/A,AY/A,Rate,Sk,Yds.2,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,47.0,1.0,1.0,2020-09-13,LVR,@,CAR,"W, 34-30",,0,0,0,,0,,,0,0,,0,0,0,,,,0,0,9,14.3,0,0.0,0,0.0
1,2.0,48.0,2.0,2.0,2020-09-21,LVR,,NOR,"W, 34-24",,1,1,15,15.0,1,100.0,15.0,0,0,,0,0,0,,,,0,0,18,22.5,0,0.0,0,0.0
2,3.0,49.0,3.0,3.0,2020-09-27,LVR,@,NWE,"L, 20-36",,3,3,32,10.7,0,100.0,10.7,0,0,,0,0,0,,,,0,0,27,45.8,0,0.0,0,0.0
3,4.0,50.0,4.0,4.0,2020-10-04,LVR,,BUF,"L, 23-30",*,7,4,32,8.0,0,57.1,4.6,0,0,,0,0,0,,,,0,0,66,89.2,0,0.0,0,0.0
4,5.0,51.0,5.0,5.0,2020-10-11,LVR,@,KAN,"W, 40-32",,1,1,2,2.0,0,100.0,2.0,0,0,,0,0,0,,,,0,0,9,12.9,0,0.0,0,0.0
5,6.0,52.0,6.0,7.0,2020-10-25,LVR,,TAM,"L, 20-45",,0,0,0,,0,,,0,0,,0,0,0,,,,0,0,10,15.4,0,0.0,0,0.0
6,7.0,53.0,7.0,8.0,2020-11-01,LVR,@,CLE,"W, 16-6",,0,0,0,,0,,,0,0,,0,0,0,,,,0,0,10,13.9,0,0.0,0,0.0
7,8.0,54.0,8.0,9.0,2020-11-08,LVR,@,LAC,"W, 31-26",,0,0,0,,0,,,0,0,,0,0,0,,,,0,0,6,11.8,0,0.0,0,0.0
8,9.0,55.0,9.0,10.0,2020-11-15,LVR,,DEN,"W, 37-12",,1,1,6,6.0,0,100.0,6.0,0,0,,0,0,0,,,,0,0,8,11.1,0,0.0,0,0.0
9,10.0,56.0,10.0,11.0,2020-11-22,LVR,,KAN,"L, 31-35",,1,1,18,18.0,0,100.0,18.0,0,0,,0,0,0,,,,0,0,5,8.5,0,0.0,0,0.0
10,11.0,57.0,11.0,12.0,2020-11-29,LVR,@,ATL,"L, 6-43",,1,1,3,3.0,0,100.0,3.0,0,0,,0,0,0,,,,0,0,13,20.6,0,0.0,0,0.0
11,12.0,58.0,12.0,13.0,2020-12-06,LVR,@,NYJ,"W, 31-28",,1,0,0,,0,0.0,0.0,0,0,,0,0,0,,,,0,0,7,9.0,0,0.0,0,0.0
12,13.0,59.0,13.0,14.0,2020-12-13,LVR,,IND,"L, 27-44",,0,0,0,,0,,,1,1,100.0,29,0,0,29.0,29.0,118.7,0,0,16,23.5,0,0.0,0,0.0
13,14.0,60.0,14.0,15.0,2020-12-17,LVR,,LAC,"L, 27-30 (OT)",*,2,1,9,9.0,0,50.0,4.5,0,0,,0,0,0,,,,0,0,53,69.7,0,0.0,0,0.0
14,15.0,61.0,15.0,16.0,2020-12-26,LVR,,MIA,"L, 25-26",,0,0,0,,0,,,0,0,,0,0,0,,,,0,0,6,9.4,0,0.0,0,0.0
15,16.0,62.0,16.0,17.0,2021-01-03,LVR,@,DEN,"W, 32-31",,2,1,37,37.0,0,50.0,18.5,0,0,,0,0,0,,,,0,0,26,37.7,0,0.0,0,0.0
16,,,,,,,,,8-8,,20,14,154,11.0,1,70.0,7.7,1,1,100.0,29,0,0,29.0,29.0,118.7,0,0,289,26.7,0,0.0,0,0.0
