,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,71.0,1.0,1.0,2023-09-10,TAM,@,MIN,"W, 20-17",,2,8,0,4.0,0,0,0,,0,,,0.0,0,0,0,0,0,0,8,11.8,0,0.0,15,53.6
1,2.0,72.0,2.0,2.0,2023-09-17,TAM,,CHI,"W, 27-17",,2,12,0,6.0,0,0,0,,0,,,0.0,0,0,0,0,0,0,3,4.2,0,0.0,3,11.1
2,2.0,,3.0,3.0,2023-09-25,TAM,,PHI,"L, 11-25",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,2.0,,4.0,4.0,2023-10-01,TAM,@,NOR,"W, 26-9",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,2.0,,5.0,6.0,2023-10-15,TAM,,DET,"L, 6-20",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,2.0,,6.0,7.0,2023-10-22,TAM,,ATL,"L, 13-16",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,3.0,73.0,7.0,8.0,2023-10-26,TAM,@,BUF,"L, 18-24",,3,5,0,1.7,3,2,16,8.0,0,66.7,5.3,0.0,0,0,0,0,0,0,8,11.8,0,0.0,15,57.7
7,4.0,74.0,8.0,9.0,2023-11-05,TAM,@,HOU,"L, 37-39",,3,-5,0,-1.7,1,1,-1,-1.0,0,100.0,-1.0,0.0,0,0,0,0,0,0,8,12.1,0,0.0,20,60.6
8,5.0,75.0,9.0,10.0,2023-11-12,TAM,,TEN,"W, 20-6",,4,9,0,2.3,1,1,-2,-2.0,0,100.0,-2.0,0.0,1,0,1,0,0,0,18,27.7,0,0.0,13,56.5
9,6.0,76.0,10.0,11.0,2023-11-19,TAM,@,SFO,"L, 14-27",,4,8,0,2.0,1,1,11,11.0,0,100.0,11.0,0.0,0,0,0,0,0,0,15,21.1,0,0.0,12,54.5
10,7.0,77.0,11.0,12.0,2023-11-26,TAM,@,IND,"L, 20-27",,1,11,0,11.0,1,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,0,7,11.7,0,0.0,10,37.0
11,8.0,78.0,12.0,13.0,2023-12-03,TAM,,CAR,"W, 21-18",,2,7,0,3.5,1,1,2,2.0,0,100.0,2.0,0.0,2,1,1,0,0,0,9,14.5,0,0.0,12,41.4
12,9.0,79.0,13.0,14.0,2023-12-10,TAM,@,ATL,"W, 29-25",,8,40,0,5.0,2,2,18,9.0,0,100.0,9.0,0.0,2,2,0,0,0,0,12,17.6,0,0.0,12,37.5
13,10.0,80.0,14.0,15.0,2023-12-17,TAM,@,GNB,"W, 34-20",,3,13,0,4.3,0,0,0,,0,,,0.0,0,0,0,0,0,0,12,19.4,0,0.0,1,4.0
14,11.0,81.0,15.0,16.0,2023-12-24,TAM,,JAX,"W, 30-12",,10,25,0,2.5,0,0,0,,0,,,0.0,0,0,0,0,0,0,24,32.4,0,0.0,5,25.0
15,12.0,82.0,16.0,17.0,2023-12-31,TAM,,NOR,"L, 13-23",,3,16,0,5.3,6,5,40,8.0,0,83.3,6.7,0.0,0,0,0,0,0,0,15,26.8,0,0.0,12,46.2
16,13.0,83.0,17.0,18.0,2024-01-07,TAM,@,CAR,"W, 9-0",,4,27,0,6.8,1,1,-3,-3.0,0,100.0,-3.0,0.0,0,0,0,0,0,0,17,26.2,0,0.0,7,35.0
17,,,,,,,,,8-5,,49,176,0,3.6,17,14,81,5.8,0,82.4,4.8,0.0,5,3,2,0,0,0,156,18.2,0,0.0,137,40.5
