,Season,Age,Team,Lg,Pos,G,GS,Cmp,Att,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Plays,Yds,PassAtt,PassYds,RushAtt,RushYds,PassAtt.1,PassYds.1,Awards
0,2019,28,NYJ,NFL,QB,1.0,1.0,3.0,6.0,41.0,6.8,-8.0,-2.7,-1.3,11.0,3.7,0.0,1.0,0.0,0.0,0.0,2.0,40.0,3.0,60.0,2.6,4.0,1.0,1.0,4.0,50.0,0.0,,2.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2021,30,NOR,NFL,QB,6.0,4.0,108.0,188.0,1298.0,6.9,652.0,6.0,3.5,502.0,4.6,6.0,11.0,0.0,7.0,4.0,26.0,14.7,131.0,74.0,2.5,47.0,20.0,16.0,45.0,22.5,3.0,7.3,3.0,20.0,3.0,20.0,0.0,0.0,34.0,204.0,
3,2022,31,CHI,NFL,QB,2.0,1.0,15.0,26.0,171.0,6.6,68.0,4.5,2.6,116.0,7.7,0.0,1.0,0.0,0.0,0.0,5.0,20.0,15.0,60.0,1.5,4.0,2.0,2.0,6.0,20.7,1.0,6.0,4.0,36.0,4.0,36.0,0.0,0.0,6.0,44.0,
4,2023,32,NYJ,NFL,QB,5.0,3.0,86.0,153.0,820.0,5.4,254.0,3.0,1.7,470.0,5.5,4.0,8.0,0.0,2.0,1.4,33.0,22.8,97.0,66.9,2.2,46.0,4.0,16.0,28.0,16.8,6.0,5.8,1.0,0.0,1.0,0.0,0.0,0.0,19.0,87.0,
5,4 Yrs,4 Yrs,4 Yrs,4 Yrs,,14.0,9.0,212.0,373.0,2330.0,6.2,966.0,4.6,2.6,1099.0,5.2,10.0,21.0,0.0,9.0,2.6,66.0,18.8,246.0,69.9,2.2,101.0,27.0,35.0,83.0,20.5,10.0,6.3,10.0,57.0,10.0,57.0,0.0,0.0,61.0,336.0,
6,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,11.0,257.0,453.0,2829.0,6.2,1173.0,4.6,2.6,1335.0,5.2,12.0,26.0,0.0,11.0,2.6,80.0,18.8,299.0,69.9,2.2,123.0,33.0,43.0,101.0,20.5,12.0,6.3,12.0,69.0,12.0,69.0,0.0,0.0,74.0,408.0,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,NYJ (2 Yrs),NYJ (2 Yrs),NYJ (2 Yrs),NYJ (2 Yrs),,6.0,4.0,89.0,159.0,861.0,5.4,246.0,2.8,1.5,481.0,5.4,4.0,9.0,0.0,2.0,1.3,35.0,23.3,100.0,66.7,2.4,50.0,5.0,17.0,32.0,18.3,6.0,5.8,3.0,1.0,3.0,1.0,0.0,0.0,21.0,88.0,
9,NOR (1 Yr),NOR (1 Yr),NOR (1 Yr),NOR (1 Yr),,6.0,4.0,108.0,188.0,1298.0,6.9,652.0,6.0,3.5,502.0,4.6,6.0,11.0,0.0,7.0,4.0,26.0,14.7,131.0,74.0,2.5,47.0,20.0,16.0,45.0,22.5,3.0,7.3,3.0,20.0,3.0,20.0,0.0,0.0,34.0,204.0,
10,CHI (1 Yr),CHI (1 Yr),CHI (1 Yr),CHI (1 Yr),,2.0,1.0,15.0,26.0,171.0,6.6,68.0,4.5,2.6,116.0,7.7,0.0,1.0,0.0,0.0,0.0,5.0,20.0,15.0,60.0,1.5,4.0,2.0,2.0,6.0,20.7,1.0,6.0,4.0,36.0,4.0,36.0,0.0,0.0,6.0,44.0,
