,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,Ret.1,Yds.3,PRTD,Y/Ret.1,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,51.0,1.0,1.0,2021-09-12,BUF,,PIT,"L, 16-23",*,0,0,0,,0,,,1,-3,0,-3.0,4,143,0,35.8,1,1,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,15,17.6,0,0.0,12,41.4
1,2.0,52.0,2.0,2.0,2021-09-19,BUF,@,MIA,"W, 35-0",,2,1,1,1.0,0,50.0,0.5,0,0,0,,0,0,0,,2,33,0,16.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,13,20.0,0,0.0,6,27.3
2,3.0,53.0,3.0,3.0,2021-09-26,BUF,,WAS,"W, 43-21",,0,0,0,,0,,,1,8,0,8.0,0,0,0,,3,26,0,8.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,15,19.0,0,0.0,9,31.0
3,4.0,54.0,4.0,4.0,2021-10-03,BUF,,HOU,"W, 40-0",,0,0,0,,0,,,0,0,0,,1,20,0,20.0,4,24,0,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,5.6,0,0.0,6,25.0
4,5.0,55.0,5.0,5.0,2021-10-10,BUF,@,KAN,"W, 38-20",,0,0,0,,0,,,0,0,0,,1,4,0,4.0,1,7,0,7.0,0.0,0,0,0,0,0,0,0,0,0,0,4,0,8,14.0,0,0.0,7,24.1
5,6.0,56.0,6.0,6.0,2021-10-18,BUF,@,TEN,"L, 31-34",,1,1,3,3.0,0,100.0,3.0,1,5,0,5.0,3,77,0,25.7,2,6,0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,5.2,0,0.0,9,31.0
6,7.0,57.0,7.0,8.0,2021-10-31,BUF,,MIA,"W, 26-11",,0,0,0,,0,,,0,0,0,,2,37,0,18.5,2,25,0,12.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,13,17.8,0,0.0,8,33.3
7,8.0,58.0,8.0,9.0,2021-11-07,BUF,@,JAX,"L, 6-9",,2,2,10,5.0,0,100.0,5.0,0,0,0,,4,129,0,32.3,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,19,28.4,0,0.0,7,33.3
8,9.0,59.0,9.0,10.0,2021-11-14,BUF,@,NYJ,"W, 45-17",,3,1,12,12.0,0,33.3,4.0,2,17,1,8.5,0,0,0,,1,26,0,26.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,13,22.4,0,0.0,7,25.9
9,10.0,60.0,10.0,11.0,2021-11-21,BUF,,IND,"L, 15-41",,0,0,0,,0,,,0,0,0,,7,138,0,19.7,0,0,0,,0.0,1,1,0,0,0,0,1,1,0,0,0,0,9,16.1,0,0.0,9,39.1
10,10.0,,11.0,12.0,2021-11-25,BUF,@,NOR,"W, 31-6",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
