,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
0,2019,24,BUF,NFL,WR,1,0,5.0,4,23,5.8,0,1,80.0,10,4.0,23.0,80.0,4.6,0,0,0,0,,,,0.0,0.0,4,5.8,23,0,0,
1,2020,25,BUF,NFL,WR,3,0,3.0,3,14,4.7,1,2,66.7,7,1.0,4.7,100.0,4.7,2,9,0,2,100.0,5.0,4.5,3.0,0.7,5,4.6,23,1,0,
2,2021,26,BUF,NFL,WR,2,1,4.0,4,48,12.0,0,2,75.0,19,2.0,24.0,100.0,12.0,6,44,0,2,66.7,15.0,7.3,22.0,3.0,10,9.2,92,0,0,
3,2022,27,BUF,NFL,WR,1,1,2.0,2,10,5.0,0,0,50.0,8,2.0,10.0,100.0,5.0,0,0,0,0,,,,0.0,0.0,2,5.0,10,0,0,
4,4 Yrs,4 Yrs,4 Yrs,4 Yrs,,7,2,14.0,13,95,7.3,1,5,71.4,19,1.9,13.6,92.9,6.8,8,53,0,4,75.0,15.0,6.6,7.6,1.1,21,7.0,148,1,0,
5,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,5,,32,231,7.3,2,12,,19,1.9,13.6,,,19,129,0,10,75.0,15.0,6.6,7.6,1.1,51,7.0,359,2,0,
