,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,Ret,Yds.4,KRTD,Y/Ret,Ret.1,Yds.5,PRTD,Y/Ret.1,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,35.0,1.0,1.0,2020-09-13,BUF,,NYJ,"W, 27-17",,3,3,17,5.7,0,100.0,5.7,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,,16,18.4,0,0.0,0,0.0
1,2.0,36.0,2.0,2.0,2020-09-20,BUF,@,MIA,"W, 31-28",,2,2,47,23.5,0,100.0,23.5,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,,7,11.5,0,0.0,0,0.0
2,3.0,37.0,3.0,3.0,2020-09-27,BUF,,LAR,"W, 35-32",*,2,1,6,6.0,0,50.0,3.0,1,4,0,4.0,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,,17,27.4,0,0.0,0,0.0
3,4.0,38.0,4.0,4.0,2020-10-04,BUF,@,LVR,"W, 30-23",*,1,1,18,18.0,0,100.0,18.0,2,11,0,5.5,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,,21,34.4,0,0.0,0,0.0
4,5.0,39.0,5.0,5.0,2020-10-13,BUF,@,TEN,"L, 16-42",*,4,4,7,1.8,1,100.0,1.8,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,,22,30.6,0,0.0,0,0.0
5,6.0,40.0,6.0,6.0,2020-10-19,BUF,,KAN,"L, 17-26",,1,1,4,4.0,0,100.0,4.0,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,,7,13.2,0,0.0,0,0.0
6,7.0,41.0,7.0,7.0,2020-10-25,BUF,@,NYJ,"W, 18-10",,2,2,14,7.0,0,100.0,7.0,1,-11,0,-11.0,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,,15,20.3,0,0.0,0,0.0
7,8.0,42.0,8.0,8.0,2020-11-01,BUF,,NWE,"W, 24-21",*,0,0,0,,0,,,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,,6,10.3,0,0.0,0,0.0
8,9.0,43.0,9.0,9.0,2020-11-08,BUF,,SEA,"W, 44-34",,1,1,25,25.0,1,100.0,25.0,1,1,0,1.0,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,,5,7.4,0,0.0,0,0.0
9,10.0,44.0,10.0,10.0,2020-11-15,BUF,@,ARI,"L, 30-32",,1,1,2,2.0,0,100.0,2.0,0,0,0,,1,1,100.0,12,1,0,12.0,32.0,156.2,0,0,0,0,0,,0,0,0,,9,12.3,0,0.0,0,0.0
10,11.0,45.0,11.0,12.0,2020-11-29,BUF,,LAC,"W, 27-17",,0,0,0,,0,,,1,-1,0,-1.0,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,,12,19.4,0,0.0,0,0.0
11,12.0,46.0,12.0,13.0,2020-12-07,BUF,@,SFO,"W, 34-24",,2,2,31,15.5,1,100.0,15.5,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,,11,15.1,0,0.0,0,0.0
12,13.0,47.0,13.0,14.0,2020-12-13,BUF,,PIT,"W, 26-15",*,1,1,12,12.0,0,100.0,12.0,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,,10,13.3,0,0.0,0,0.0
13,14.0,48.0,14.0,15.0,2020-12-19,BUF,@,DEN,"W, 48-19",,1,1,8,8.0,0,100.0,8.0,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,,22,30.1,0,0.0,1,3.1
14,15.0,49.0,15.0,16.0,2020-12-28,BUF,@,NWE,"W, 38-9",*,4,4,26,6.5,0,100.0,6.5,2,5,0,2.5,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,,32,44.4,0,0.0,0,0.0
15,16.0,50.0,16.0,17.0,2021-01-03,BUF,,MIA,"W, 56-26",*,9,6,65,10.8,2,66.7,7.2,2,0,0,0.0,0,0,,0,0,0,,,,0,0,2,32,0,16.0,1,84,1,84.0,58,90.6,0,0.0,11,29.7
16,,,,,,,,,13-3,,34,30,282,9.4,5,88.2,8.3,10,9,0,0.9,1,1,100.0,12,1,0,12.0,32.0,156.2,0,0,2,32,0,16.0,1,84,1,84.0,270,24.8,0,0.0,12,2.7
