,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,66.0,1.0,1.0,2022-09-08,BUF,@,LAR,"W, 31-10",*,3,2,19,9.5,1,66.7,6.3,0,0,0,,0,0,0,,0.0,1,1,0,0,0,0,26,44.1,0,0.0,2,10.5
1,2.0,67.0,2.0,2.0,2022-09-19,BUF,,TEN,"W, 41-7",*,3,2,37,18.5,0,66.7,12.3,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,31,45.6,0,0.0,2,7.4
2,3.0,68.0,3.0,3.0,2022-09-25,BUF,@,MIA,"L, 19-21",*,9,7,76,10.9,1,77.8,8.4,1,6,0,6.0,0,0,0,,0.0,0,0,0,0,0,0,47,51.1,0,0.0,5,22.7
3,4.0,69.0,4.0,4.0,2022-10-02,BUF,@,BAL,"W, 23-20",*,6,4,21,5.3,1,66.7,3.5,0,0,0,,2,46,0,23.0,0.0,0,0,0,0,0,0,31,48.4,0,0.0,5,20.0
4,4.0,,5.0,5.0,2022-10-09,BUF,,PIT,"W, 38-3",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,5.0,70.0,6.0,6.0,2022-10-16,BUF,@,KAN,"W, 24-20",,5,2,9,4.5,0,40.0,1.8,0,0,0,,1,26,0,26.0,0.0,0,0,0,0,0,0,37,50.7,0,0.0,4,17.4
6,6.0,71.0,7.0,8.0,2022-10-30,BUF,,GNB,"W, 27-17",*,1,1,8,8.0,0,100.0,8.0,2,2,1,1.0,3,72,0,24.0,0.0,0,0,0,0,0,0,31,52.5,0,0.0,4,18.2
7,7.0,72.0,8.0,9.0,2022-11-06,BUF,@,NYJ,"L, 17-20",,3,2,12,6.0,0,66.7,4.0,1,9,0,9.0,0,0,0,,0.0,0,0,0,0,0,0,41,66.1,0,0.0,5,21.7
8,8.0,73.0,9.0,10.0,2022-11-13,BUF,,MIN,"L, 30-33 (OT)",*,4,4,37,9.3,0,100.0,9.3,1,18,0,18.0,0,0,0,,0.0,0,0,0,0,0,0,52,69.3,0,0.0,0,0.0
9,9.0,74.0,10.0,11.0,2022-11-20,BUF,,CLE,"W, 31-23",,1,0,0,,0,0.0,0.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,26,40.0,0,0.0,0,0.0
10,10.0,75.0,11.0,12.0,2022-11-24,BUF,@,DET,"W, 28-25",*,10,6,96,16.0,1,60.0,9.6,2,7,0,3.5,0,0,0,,0.0,0,0,0,0,0,0,56,72.7,0,0.0,1,3.8
11,11.0,76.0,12.0,13.0,2022-12-01,BUF,@,NWE,"W, 24-10",,5,5,44,8.8,0,100.0,8.8,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,39,52.0,0,0.0,0,0.0
12,12.0,77.0,13.0,14.0,2022-12-11,BUF,,NYJ,"W, 20-12",,5,3,21,7.0,0,60.0,4.2,1,7,0,7.0,0,0,0,,0.0,0,0,0,0,0,0,38,64.4,0,0.0,0,0.0
13,13.0,78.0,14.0,15.0,2022-12-17,BUF,,MIA,"W, 32-29",,5,2,24,12.0,0,40.0,4.8,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,44,56.4,0,0.0,0,0.0
14,14.0,79.0,15.0,16.0,2022-12-24,BUF,@,CHI,"W, 35-13",,2,0,0,,0,0.0,0.0,1,6,0,6.0,0,0,0,,0.0,0,0,0,0,0,0,23,35.9,0,0.0,0,0.0
15,15.0,80.0,16.0,18.0,2023-01-08,BUF,,NWE,"W, 35-23",*,3,2,19,9.5,0,66.7,6.3,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,33,55.9,0,0.0,0,0.0
16,,,,,,,,,12-3,,65,42,423,10.1,4,64.6,6.5,9,55,1,6.1,6,144,0,24.0,0.0,1,1,0,0,0,0,555,53.9,0,0.0,28,7.3
