,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,Ret.1,Yds.3,PRTD,Y/Ret.1,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,20.0,1.0,1.0,2019-09-08,BUF,@,NYJ,"W, 17-16",,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,,4,6.1,0,0.0,3,13.0
1,2.0,21.0,2.0,2.0,2019-09-15,BUF,@,NYG,"W, 28-14",,2,2,40,20.0,1,100.0,20.0,1,4,0,4.0,0,0,0,,0,0,0,,16,22.9,0,0.0,3,10.7
2,3.0,22.0,3.0,3.0,2019-09-22,BUF,,CIN,"W, 21-17",,1,1,9,9.0,0,100.0,9.0,3,10,0,3.3,0,0,0,,0,0,0,,19,25.0,0,0.0,0,0.0
3,4.0,23.0,4.0,4.0,2019-09-29,BUF,,NWE,"L, 10-16",,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,,1,1.3,0,0.0,0,0.0
4,5.0,24.0,5.0,5.0,2019-10-06,BUF,@,TEN,"W, 14-7",,2,2,52,26.0,0,100.0,26.0,0,0,0,,0,0,0,,0,0,0,,8,12.5,0,0.0,5,20.8
5,6.0,25.0,6.0,7.0,2019-10-20,BUF,,MIA,"W, 31-21",*,3,2,11,5.5,0,66.7,3.7,0,0,0,,0,0,0,,0,0,0,,21,38.2,0,0.0,0,0.0
6,6.0,,7.0,8.0,2019-10-27,BUF,,PHI,"L, 13-31",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,7.0,26.0,8.0,9.0,2019-11-03,BUF,,WAS,"W, 24-9",*,3,3,12,4.0,0,100.0,4.0,0,0,0,,0,0,0,,0,0,0,,42,67.7,0,0.0,0,0.0
8,8.0,27.0,9.0,10.0,2019-11-10,BUF,@,CLE,"L, 16-19",,4,2,19,9.5,0,50.0,4.8,0,0,0,,0,0,0,,0,0,0,,37,54.4,0,0.0,0,0.0
9,9.0,28.0,10.0,11.0,2019-11-17,BUF,@,MIA,"W, 37-20",*,6,3,21,7.0,0,50.0,3.5,1,10,0,10.0,0,0,0,,0,0,0,,55,77.5,0,0.0,0,0.0
10,10.0,29.0,11.0,12.0,2019-11-24,BUF,,DEN,"W, 20-3",*,3,2,13,6.5,0,66.7,4.3,1,-5,0,-5.0,0,0,0,,0,0,0,,55,74.3,0,0.0,1,4.2
11,11.0,30.0,12.0,13.0,2019-11-28,BUF,@,DAL,"W, 26-15",*,3,3,34,11.3,0,100.0,11.3,0,0,0,,0,0,0,,0,0,0,,30,45.5,0,0.0,0,0.0
12,12.0,31.0,13.0,14.0,2019-12-08,BUF,,BAL,"L, 17-24",*,5,3,25,8.3,0,60.0,5.0,0,0,0,,0,0,0,,0,0,0,,53,72.6,0,0.0,0,0.0
13,13.0,32.0,14.0,15.0,2019-12-15,BUF,@,PIT,"W, 17-10",,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,,30,46.2,0,0.0,0,0.0
14,14.0,33.0,15.0,16.0,2019-12-21,BUF,@,NWE,"L, 17-24",*,2,2,11,5.5,0,100.0,5.5,0,0,0,,0,0,0,,0,0,0,,31,57.4,0,0.0,0,0.0
15,15.0,34.0,16.0,17.0,2019-12-29,BUF,,NYJ,"L, 6-13",*,5,2,7,3.5,0,40.0,1.4,2,30,0,15.0,3,65,0,21.7,1,4,0,4.0,49,76.6,3,4.5,10,40.0
16,,,,,,,,,10-5,,39,27,254,9.4,1,69.2,6.5,8,49,0,6.1,3,65,0,21.7,1,4,0,4.0,451,44.8,3,0.3,22,5.7
