,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
0,2015,24,MIN,NFL,WR,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2018,27,NWE,NFL,WR,3.0,0.0,3.0,10.0,0.0,0.0,33.3,6.0,3.3,3.3,1.0,7.0,4.0,32.0,8.0,0.0,1.0,28.6,15.0,1.3,10.7,57.1,4.6,7.0,6.0,42.0,0.0,0.0,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2020,29,CHI,NFL,WR,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,1.0,2.0,2.0,0.0,0.0,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2024,33,PIT,NFL,RB,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,
7,4 Yrs,4 Yrs,4 Yrs,4 Yrs,,6.0,0.0,4.0,12.0,0.0,0.0,25.0,6.0,3.0,2.0,0.7,7.0,4.0,32.0,8.0,0.0,1.0,28.6,15.0,0.7,5.3,57.1,4.6,8.0,5.5,44.0,0.0,0.0,
8,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,0.0,11.0,34.0,0.0,0.0,25.0,6.0,3.0,2.0,0.7,20.0,11.0,91.0,8.0,0.0,3.0,28.6,15.0,0.7,5.3,57.1,4.6,23.0,5.5,125.0,0.0,0.0,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,NWE (1 Yr),NWE (1 Yr),NWE (1 Yr),NWE (1 Yr),,3.0,0.0,3.0,10.0,0.0,0.0,33.3,6.0,3.3,3.3,1.0,7.0,4.0,32.0,8.0,0.0,1.0,28.6,15.0,1.3,10.7,57.1,4.6,7.0,6.0,42.0,0.0,0.0,
11,CHI (1 Yr),CHI (1 Yr),CHI (1 Yr),CHI (1 Yr),,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,1.0,2.0,2.0,0.0,0.0,
12,MIN (1 Yr),MIN (1 Yr),MIN (1 Yr),MIN (1 Yr),,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,
13,PIT (1 Yr),PIT (1 Yr),PIT (1 Yr),PIT (1 Yr),,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,
