,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Cmp,Att.1,Yds.2,TD.2,Int,Sk,Yds.3,Ret,Yds.4,KRTD,Y/Ret,Ret.1,Yds.5,PRTD,Y/Ret.1,Fmb,FL,FF,FR,Yds.6,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2020-09-13,DAL,@,LAR,"L, 17-20",*,6,5,59,11.8,0,83.3,9.8,0,0,0,,0,0,0,0,0,0,0,0,0,0,,1,20,0,20.0,0,0,0,0,0,0,59,81.9,0,0.0,3,11.5
1,2.0,2.0,2.0,2.0,2020-09-20,DAL,,ATL,"W, 40-39",*,9,6,106,17.7,0,66.7,11.8,1,9,0,9.0,0,0,0,0,0,0,0,0,0,0,,1,3,0,3.0,0,0,0,0,0,0,68,82.9,0,0.0,4,10.8
2,3.0,3.0,3.0,3.0,2020-09-27,DAL,@,SEA,"L, 31-38",*,7,5,65,13.0,0,71.4,9.3,1,1,0,1.0,0,0,0,0,0,0,0,0,0,0,,3,32,0,10.7,0,0,0,0,0,0,49,59.8,0,0.0,4,11.8
3,4.0,4.0,4.0,4.0,2020-10-04,DAL,,CLE,"L, 38-49",*,7,5,79,15.8,2,71.4,11.3,1,3,0,3.0,0,0,0,0,0,0,0,0,0,0,,3,26,0,8.7,0,0,0,0,0,0,62,75.6,0,0.0,6,19.4
4,5.0,5.0,5.0,5.0,2020-10-11,DAL,,NYG,"W, 37-34",*,11,8,124,15.5,0,72.7,11.3,0,0,0,,0,0,0,0,0,0,0,0,0,0,,1,3,0,3.0,0,0,0,0,0,0,36,54.5,0,0.0,2,5.9
5,6.0,6.0,6.0,6.0,2020-10-19,DAL,,ARI,"L, 10-38",*,11,7,64,9.1,0,63.6,5.8,0,0,0,,0,0,0,0,0,0,0,0,0,0,,2,1,0,0.5,1,0,0,1,0,0,60,67.4,0,0.0,3,11.1
6,7.0,7.0,7.0,7.0,2020-10-25,DAL,@,WAS,"L, 3-25",,5,0,0,,0,0.0,0.0,1,1,0,1.0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0.0,0,0,0,0,0,0,31,54.4,0,0.0,1,5.0
7,8.0,8.0,8.0,8.0,2020-11-01,DAL,@,PHI,"L, 9-23",,5,4,27,6.8,0,80.0,5.4,1,19,0,19.0,0,0,0,0,0,0,0,0,0,0,,1,4,0,4.0,0,0,0,0,0,0,37,46.8,0,0.0,1,4.8
8,9.0,9.0,9.0,9.0,2020-11-08,DAL,,PIT,"L, 19-24",*,7,4,71,17.8,1,57.1,10.1,0,0,0,,0,0,0,0,0,0,0,0,0,0,,1,6,0,6.0,1,1,0,0,0,0,38,52.8,0,0.0,1,3.7
9,10.0,10.0,10.0,11.0,2020-11-22,DAL,@,MIN,"W, 31-28",*,6,4,34,8.5,1,66.7,5.7,2,12,0,6.0,0,0,0,0,0,0,0,0,0,0,,3,48,0,16.0,0,0,0,0,0,0,44,66.7,0,0.0,3,11.5
10,11.0,11.0,11.0,12.0,2020-11-26,DAL,,WAS,"L, 16-41",*,7,5,21,4.2,0,71.4,3.0,0,0,0,,0,0,0,0,0,1,4,0,0,0,,1,9,0,9.0,0,0,0,0,0,0,42,71.2,0,0.0,2,6.9
11,12.0,12.0,12.0,13.0,2020-12-08,DAL,@,BAL,"L, 17-34",*,9,6,46,7.7,0,66.7,5.1,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,48,60.8,0,0.0,2,7.1
12,13.0,13.0,13.0,14.0,2020-12-13,DAL,@,CIN,"W, 30-7",*,2,2,46,23.0,0,100.0,23.0,1,15,0,15.0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0.0,0,0,0,0,0,0,26,51.0,0,0.0,2,9.5
13,14.0,14.0,14.0,15.0,2020-12-20,DAL,,SFO,"W, 41-33",*,7,5,85,17.0,0,71.4,12.1,0,0,0,,0,0,0,0,0,0,0,1,47,1,47.0,1,16,0,16.0,0,0,0,0,0,0,33,56.9,0,0.0,5,13.2
14,15.0,15.0,15.0,16.0,2020-12-27,DAL,,PHI,"W, 37-17",*,5,3,65,21.7,1,60.0,13.0,1,19,1,19.0,0,0,0,0,0,0,0,0,0,0,,2,6,0,3.0,0,0,0,0,0,0,36,51.4,0,0.0,2,6.5
15,16.0,16.0,16.0,17.0,2021-01-03,DAL,@,NYG,"L, 19-23",*,7,5,43,8.6,0,71.4,6.1,1,3,0,3.0,0,0,0,0,0,0,0,0,0,0,,1,-2,0,-2.0,0,0,0,0,0,0,62,74.7,0,0.0,5,16.7
16,,,,,,,,,6-10,,111,74,935,12.6,5,66.7,8.4,10,82,1,8.2,0,0,0,0,0,1,4,1,47,1,47.0,24,172,0,7.2,2,1,0,1,0,0,731,63.7,0,0.0,46,10.0
