,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,PRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,17.0,1.0,1.0,2021-09-09,DAL,@,TAM,"L, 29-31",*,15,7,104,14.9,1,46.7,6.9,0,0,0,,1,12,0,12.0,0.0,0,0,0,0,0,0,61,72.6,0,0.0,2,5.9
1,2.0,18.0,2.0,2.0,2021-09-19,DAL,@,LAC,"W, 20-17",*,9,8,81,10.1,0,88.9,9.0,1,13,0,13.0,0,0,0,,0.0,0,0,0,0,0,0,60,96.8,0,0.0,1,5.3
2,3.0,19.0,3.0,3.0,2021-09-27,DAL,,PHI,"W, 41-21",*,3,3,66,22.0,0,100.0,22.0,1,-1,0,-1.0,1,8,0,8.0,0.0,0,0,0,0,0,0,65,85.5,0,0.0,5,16.7
3,4.0,20.0,4.0,4.0,2021-10-03,DAL,,CAR,"W, 36-28",*,5,2,13,6.5,0,40.0,2.6,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,49,80.3,0,0.0,3,10.3
4,5.0,21.0,5.0,5.0,2021-10-10,DAL,,NYG,"W, 44-20",*,6,4,84,21.0,1,66.7,14.0,1,4,0,4.0,1,17,0,17.0,0.0,0,0,0,0,0,0,65,83.3,0,0.0,3,10.0
5,6.0,22.0,6.0,6.0,2021-10-17,DAL,@,NWE,"W, 35-29 (OT)",*,11,9,149,16.6,2,81.8,13.5,1,2,0,2.0,0,0,0,,0.0,0,0,0,0,0,0,77,86.5,0,0.0,1,3.6
6,7.0,23.0,7.0,8.0,2021-10-31,DAL,@,MIN,"W, 20-16",*,8,6,112,18.7,0,75.0,14.0,0,0,0,,1,-3,0,-3.0,0.0,0,0,0,0,0,0,65,89.0,0,0.0,3,10.0
7,8.0,24.0,8.0,9.0,2021-11-07,DAL,,DEN,"L, 16-30",*,9,2,23,11.5,0,22.2,2.6,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,44,71.0,0,0.0,1,4.3
8,9.0,25.0,9.0,10.0,2021-11-14,DAL,,ATL,"W, 43-3",*,7,6,94,15.7,2,85.7,13.4,1,12,0,12.0,2,19,0,9.5,0.0,0,0,0,0,0,0,32,41.6,0,0.0,4,16.0
9,10.0,26.0,10.0,11.0,2021-11-21,DAL,@,KAN,"L, 9-19",*,4,3,14,4.7,0,75.0,3.5,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,36,53.7,0,0.0,0,0.0
10,10.0,,11.0,12.0,2021-11-25,DAL,,LVR,"L, 33-36 (OT)",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,11.0,27.0,12.0,13.0,2021-12-02,DAL,@,NOR,"W, 27-17",*,13,7,89,12.7,0,53.8,6.8,1,33,0,33.0,3,35,0,11.7,0.0,1,1,0,0,0,0,62,88.6,0,0.0,6,18.8
12,12.0,28.0,13.0,14.0,2021-12-12,DAL,@,WAS,"W, 27-20",,10,7,61,8.7,0,70.0,6.1,2,15,0,7.5,1,4,0,4.0,0.0,1,1,0,0,0,0,57,67.1,0,0.0,4,13.3
13,13.0,29.0,14.0,15.0,2021-12-19,DAL,@,NYG,"W, 21-6",,9,6,50,8.3,0,66.7,5.6,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,49,69.0,0,0.0,2,9.5
14,14.0,30.0,15.0,16.0,2021-12-26,DAL,,WAS,"W, 56-14",,5,4,66,16.5,0,80.0,13.2,1,-2,0,-2.0,1,21,0,21.0,0.0,0,0,0,0,0,0,54,74.0,0,0.0,6,18.2
15,15.0,31.0,16.0,17.0,2022-01-02,DAL,,ARI,"L, 22-25",*,4,3,51,17.0,0,75.0,12.8,0,0,0,,2,15,0,7.5,0.0,0,0,0,0,0,0,56,87.5,0,0.0,4,15.4
16,16.0,32.0,17.0,18.0,2022-01-08,DAL,@,PHI,"W, 51-26",*,2,2,45,22.5,0,100.0,22.5,0,0,0,,1,11,0,11.0,0.0,0,0,0,0,0,0,49,79.0,0,0.0,2,6.5
17,,,,,,,,,12-4,,120,79,1102,13.9,6,65.8,9.2,9,76,0,8.4,14,139,0,9.9,0.0,2,2,0,0,0,0,881,76.3,0,0.0,47,10.5
