,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,PRTD,Y/Ret,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,118.0,1.0,1.0,2024-09-08,WAS,@,TAM,"L, 20-37",,1,1,5,5.0,0,100.0,5.0,0,0,0,,0,0,0,0,0,0,3,5.1,0,0.0,1,3.7
1,1.0,,2.0,2.0,2024-09-15,WAS,,NYG,"W, 21-18",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2.0,119.0,3.0,3.0,2024-09-23,WAS,@,CIN,"W, 38-33",,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,9,15.3,0,0.0,1,3.8
3,2.0,,4.0,4.0,2024-09-29,WAS,@,ARI,"W, 42-14",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,2.0,,5.0,5.0,2024-10-06,WAS,,CLE,"W, 34-13",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,2.0,,6.0,6.0,2024-10-13,WAS,@,BAL,"L, 23-30",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,2.0,,7.0,7.0,2024-10-20,WAS,,CAR,"W, 40-7",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,2.0,,8.0,8.0,2024-10-27,WAS,,CHI,"W, 18-15",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,2.0,,9.0,9.0,2024-11-03,WAS,@,NYG,"W, 27-22",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,2.0,,10.0,10.0,2024-11-10,WAS,,PIT,"L, 27-28",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,2.0,,11.0,11.0,2024-11-14,WAS,@,PHI,"L, 18-26",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,2.0,,12.0,12.0,2024-11-24,WAS,,DAL,"L, 26-34",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,2.0,,13.0,13.0,2024-12-01,WAS,,TEN,"W, 42-19",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,3.0,120.0,14.0,15.0,2024-12-15,WAS,@,NOR,"W, 20-19",,3,3,27,9.0,0,100.0,9.0,2,12,0,6.0,0,0,0,0,0,0,21,26.9,0,0.0,4,16.0
14,4.0,121.0,15.0,16.0,2024-12-22,WAS,,PHI,"W, 36-33",,4,2,15,7.5,2,50.0,3.8,1,5,0,5.0,0,0,0,0,0,0,31,45.6,0,0.0,4,12.5
15,5.0,122.0,16.0,17.0,2024-12-29,WAS,,ATL,"W, 30-24 (OT)",*,5,3,25,8.3,0,60.0,5.0,2,41,0,20.5,1,0,0,1,0,0,34,41.0,0,0.0,3,11.1
16,6.0,123.0,17.0,18.0,2025-01-05,WAS,@,DAL,"W, 23-19",,0,0,0,,0,,,3,23,0,7.7,1,1,0,0,0,0,20,34.5,0,0.0,4,14.3
17,,,,,,,,,5-1,,13,9,72,8.0,2,69.2,5.5,8,81,0,10.1,2,1,0,1,0,0,118,29.1,0,0.0,17,10.3
