,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Int,Yds,IntTD,PD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2022-09-11,NYJ,,BAL,"L, 9-24",*,0.0,2,2,0,0,0,0,0,0,0,1,0,0.0,56,100.0,6,22.2
1,2.0,2.0,2.0,2.0,2022-09-18,NYJ,@,CLE,"W, 31-30",*,0.0,6,5,1,0,0,0,0,0,0,1,0,0.0,62,92.5,4,13.3
2,3.0,3.0,3.0,3.0,2022-09-25,NYJ,,CIN,"L, 12-27",*,0.0,4,2,2,1,0,0,0,0,0,2,0,0.0,68,100.0,6,23.1
3,4.0,4.0,4.0,4.0,2022-10-02,NYJ,@,PIT,"W, 24-20",*,0.0,3,1,2,0,0,0,0,0,0,1,0,0.0,64,100.0,6,23.1
4,5.0,5.0,5.0,5.0,2022-10-09,NYJ,,MIA,"W, 40-17",*,0.0,5,3,2,0,1,0,1,3,0,1,0,0.0,67,100.0,5,17.2
5,6.0,6.0,6.0,6.0,2022-10-16,NYJ,@,GNB,"W, 27-10",*,0.0,3,3,0,0,0,0,0,0,0,3,0,0.0,65,89.0,3,10.3
6,7.0,7.0,7.0,7.0,2022-10-23,NYJ,@,DEN,"W, 16-9",*,0.0,10,8,2,0,0,0,0,0,0,3,0,0.0,79,100.0,7,25.0
7,8.0,8.0,8.0,8.0,2022-10-30,NYJ,,NWE,"L, 17-22",*,0.0,4,3,1,2,0,0,0,0,0,0,0,0.0,78,100.0,8,28.6
8,9.0,9.0,9.0,9.0,2022-11-06,NYJ,,BUF,"W, 20-17",*,0.0,7,3,4,0,0,0,1,16,0,1,0,0.0,62,100.0,4,17.4
9,10.0,10.0,10.0,11.0,2022-11-20,NYJ,@,NWE,"L, 3-10",*,0.0,1,1,0,0,0,0,0,0,0,1,0,0.0,63,100.0,7,23.3
10,11.0,11.0,11.0,12.0,2022-11-27,NYJ,,CHI,"W, 31-10",*,0.0,3,1,2,0,0,0,0,0,0,0,0,0.0,57,100.0,3,12.0
11,12.0,12.0,12.0,13.0,2022-12-04,NYJ,@,MIN,"L, 22-27",*,0.0,2,1,1,0,0,0,0,0,0,1,0,0.0,68,100.0,6,18.8
12,13.0,13.0,13.0,14.0,2022-12-11,NYJ,@,BUF,"L, 12-20",*,0.0,4,4,0,0,0,0,0,0,0,1,0,0.0,59,100.0,5,16.7
13,14.0,14.0,14.0,15.0,2022-12-18,NYJ,,DET,"L, 17-20",*,0.0,4,3,1,0,0,0,0,0,0,0,0,0.0,68,100.0,5,17.9
14,15.0,15.0,15.0,16.0,2022-12-22,NYJ,,JAX,"L, 3-19",*,0.0,7,5,2,0,0,0,0,0,0,0,0,0.0,72,100.0,7,31.8
15,16.0,16.0,16.0,17.0,2023-01-01,NYJ,@,SEA,"L, 6-23",*,0.0,4,3,1,0,0,0,0,0,0,4,0,0.0,72,100.0,7,28.0
16,17.0,17.0,17.0,18.0,2023-01-08,NYJ,@,MIA,"L, 6-11",*,0.0,6,3,3,0,0,0,0,0,0,0,0,0.0,55,84.6,3,13.6
17,,,,,,,,,7-10,,0.0,75,51,24,3,1,0,2,19,0,20,0,0.0,1115,98.0,92,20.0
