,Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
0,2022,22,NYJ,NFL,RCB,17,17,2,19,0,16,20,0,0,0,0,0,0.0,75,51,24,3,1,0,14.0,"PB,AP-1,AP DPoY-8,AP DRoY-1"
1,2023,23,NYJ,NFL,CB,16,16,0,0,0,0,11,1,0,0,0,0,0.0,57,41,16,2,0,0,13.0,"PB,AP-1"
2,2024,24,NYJ,NFL,LCB,15,15,1,0,0,0,9,0,0,0,0,0,1.0,49,36,13,1,1,0,5.0,
3,2025,25,NYJ,NFL,CB,3,3,0,0,0,0,3,0,0,0,0,0,0.0,10,7,3,0,0,0,,
4,4 Yrs,4 Yrs,4 Yrs,4 Yrs,,51,51,3,19,0,16,43,1,0,0,0,0,1.0,191,135,56,6,2,0,32.0,
5,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,17,1,6,0,16,14,0,0,0,0,0,0.3,64,45,19,2,1,0,,
