,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Cmp%,Yds.1,TD.1,Int,Y/A,AY/A,Rate,Sk,Yds.2,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,97.0,1.0,1.0,2020-09-10,KAN,,HOU,"W, 34-20",*,6,6,50,8.3,1,100.0,8.3,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,61,88.4,0,0.0,0,0.0
1,2.0,98.0,2.0,2.0,2020-09-20,KAN,@,LAC,"W, 23-20 (OT)",*,14,9,90,10.0,1,64.3,6.4,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,74,96.1,1,1.2,0,0.0
2,3.0,99.0,3.0,3.0,2020-09-28,KAN,@,BAL,"W, 34-20",*,7,6,87,14.5,0,85.7,12.4,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,61,81.3,0,0.0,0,0.0
3,4.0,100.0,4.0,4.0,2020-10-05,KAN,,NWE,"W, 26-10",*,7,3,70,23.3,0,42.9,10.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,43,76.8,0,0.0,0,0.0
4,5.0,101.0,5.0,5.0,2020-10-11,KAN,,LVR,"L, 32-40",*,12,8,108,13.5,1,66.7,9.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,64,88.9,0,0.0,0,0.0
5,6.0,102.0,6.0,6.0,2020-10-19,KAN,@,BUF,"W, 26-17",*,7,5,65,13.0,2,71.4,9.3,0,0,,0,0,0,,,,0,0,1,1,0,0,0,0,65,89.0,0,0.0,0,0.0
6,7.0,103.0,7.0,7.0,2020-10-25,KAN,@,DEN,"W, 43-16",*,3,3,31,10.3,0,100.0,10.3,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,40,78.4,0,0.0,0,0.0
7,8.0,104.0,8.0,8.0,2020-11-01,KAN,,NYJ,"W, 35-9",*,12,8,109,13.6,1,66.7,9.1,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,50,75.8,0,0.0,0,0.0
8,9.0,105.0,9.0,9.0,2020-11-08,KAN,,CAR,"W, 33-31",*,12,10,159,15.9,0,83.3,13.3,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,57,91.9,0,0.0,0,0.0
9,10.0,106.0,10.0,11.0,2020-11-22,KAN,@,LVR,"W, 35-31",*,10,8,127,15.9,1,80.0,12.7,1,1,100.0,4,0,0,4.0,4.00,83.3,0,0,0,0,0,0,0,0,69,88.5,0,0.0,0,0.0
10,11.0,107.0,11.0,12.0,2020-11-29,KAN,@,TAM,"W, 27-24",*,8,8,82,10.3,0,100.0,10.3,0,1,0.0,0,0,0,0.0,0.00,39.6,0,0,0,0,0,0,0,0,68,86.1,0,0.0,0,0.0
11,12.0,108.0,12.0,13.0,2020-12-06,KAN,,DEN,"W, 22-16",*,12,8,136,17.0,1,66.7,11.3,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,57,89.1,0,0.0,0,0.0
12,13.0,109.0,13.0,14.0,2020-12-13,KAN,@,MIA,"W, 33-27",*,10,8,136,17.0,1,80.0,13.6,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,56,90.3,0,0.0,0,0.0
13,14.0,110.0,14.0,15.0,2020-12-20,KAN,@,NOR,"W, 32-29",*,12,8,68,8.5,1,66.7,5.7,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,78,79.6,0,0.0,0,0.0
14,15.0,111.0,15.0,16.0,2020-12-27,KAN,,ATL,"W, 17-14",*,13,7,98,14.0,1,53.8,7.5,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,56,83.6,0,0.0,0,0.0
15,15.0,,16.0,17.0,2021-01-03,KAN,,LAC,"L, 21-38",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,,,,,,,,,14-1,,145,105,1416,13.5,11,72.4,9.8,1,2,50.0,4,0,0,2.0,2.00,56.2,0,0,1,1,0,0,0,0,899,85.7,1,0.1,0,0.0
