,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2013-09-08,KAN,@,JAX,"W, 28-2",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
1,1.0,1.0,2.0,2.0,2013-09-15,KAN,,DAL,"W, 17-16",,0,0.0,0,0.0,1,3.6
2,1.0,,3.0,3.0,2013-09-19,KAN,@,PHI,"W, 26-16",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,1.0,,4.0,4.0,2013-09-29,KAN,,NYG,"W, 31-7",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,1.0,,5.0,5.0,2013-10-06,KAN,@,TEN,"W, 26-17",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,1.0,,6.0,6.0,2013-10-13,KAN,,OAK,"W, 24-7",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
6,1.0,,7.0,7.0,2013-10-20,KAN,,HOU,"W, 17-16",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
7,1.0,,8.0,8.0,2013-10-27,KAN,,CLE,"W, 23-17",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
8,1.0,,9.0,9.0,2013-11-03,KAN,@,BUF,"W, 23-13",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
9,1.0,,10.0,11.0,2013-11-17,KAN,@,DEN,"L, 17-27",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
10,1.0,,11.0,12.0,2013-11-24,KAN,,SDG,"L, 38-41",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
11,1.0,,12.0,13.0,2013-12-01,KAN,,DEN,"L, 28-35",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
12,1.0,,13.0,14.0,2013-12-08,KAN,@,WAS,"W, 45-10",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
13,1.0,,14.0,15.0,2013-12-15,KAN,@,OAK,"W, 56-31",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
14,1.0,,15.0,16.0,2013-12-22,KAN,,IND,"L, 7-23",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
15,1.0,,16.0,17.0,2013-12-29,KAN,@,SDG,"L, 24-27 (OT)",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
16,,,,,,,,,1-0,,0,0.0,0,0.0,1,3.6
