,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2017,22,LAC,NFL,RB,16.0,0.0,47.0,260.0,2.0,13.0,55.3,35.0,5.5,16.3,2.9,35.0,27.0,279.0,10.3,3.0,12.0,48.6,38.0,1.7,17.4,77.1,8.0,74.0,7.3,539.0,5.0,2.0,4.0,
1,2018,23,LAC,NFL,RB,14.0,3.0,106.0,554.0,3.0,25.0,50.0,41.0,5.2,39.6,7.6,53.0,39.0,404.0,10.4,3.0,18.0,52.8,44.0,2.8,28.9,73.6,7.6,145.0,6.6,958.0,6.0,1.0,8.0,
2,2019,24,LAC,NFL,RB,16.0,8.0,132.0,557.0,3.0,32.0,44.7,35.0,4.2,34.8,8.3,108.0,92.0,993.0,10.8,8.0,42.0,56.5,84.0,5.8,62.1,85.2,9.2,224.0,6.9,1550.0,11.0,3.0,11.0,
3,2020,25,LAC,NFL,RB,10.0,10.0,116.0,530.0,1.0,26.0,43.1,27.0,4.6,53.0,11.6,65.0,54.0,403.0,7.5,2.0,20.0,53.8,28.0,5.4,40.3,83.1,6.2,170.0,5.5,933.0,3.0,1.0,6.0,
4,2021,26,LAC,NFL,RB,16.0,16.0,206.0,911.0,12.0,53.0,55.8,28.0,4.4,56.9,12.9,94.0,70.0,647.0,9.2,8.0,31.0,53.2,40.0,4.4,40.4,74.5,6.9,276.0,5.6,1558.0,20.0,4.0,12.0,
5,2022,27,LAC,NFL,RB,17.0,17.0,204.0,915.0,13.0,46.0,48.0,72.0,4.5,53.8,12.0,127.0,107.0,722.0,6.7,5.0,36.0,48.0,23.0,6.3,42.5,84.3,5.7,311.0,5.3,1637.0,18.0,5.0,11.0,AP OPoY-9
6,2023,28,LAC,NFL,RB,14.0,14.0,179.0,628.0,5.0,34.0,47.5,55.0,3.5,44.9,12.8,74.0,51.0,436.0,8.5,1.0,20.0,43.2,39.0,3.6,31.1,68.9,5.9,230.0,4.6,1064.0,6.0,5.0,7.0,
7,2024,29,WAS,NFL,RB,12.0,6.0,77.0,367.0,4.0,19.0,51.9,50.0,4.8,30.6,6.4,41.0,35.0,366.0,10.5,0.0,14.0,53.7,34.0,2.9,30.5,85.4,8.9,112.0,6.5,733.0,4.0,3.0,7.0,AP-2
8,8 Yrs,8 Yrs,8 Yrs,8 Yrs,,115.0,74.0,1067.0,4722.0,43.0,248.0,49.3,72.0,4.4,41.1,9.3,597.0,475.0,4250.0,8.9,30.0,193.0,51.3,84.0,4.1,37.0,79.6,7.1,1542.0,5.8,8972.0,73.0,24.0,66.0,
9,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,11.0,158.0,698.0,6.0,37.0,49.3,72.0,4.4,41.1,9.3,88.0,70.0,628.0,8.9,4.0,29.0,51.3,84.0,4.1,37.0,79.6,7.1,228.0,0.9,1326.0,11.0,4.0,10.0,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,LAC (7 Yrs),LAC (7 Yrs),LAC (7 Yrs),LAC (7 Yrs),,103.0,68.0,990.0,4355.0,39.0,229.0,49.1,72.0,4.4,42.3,9.6,556.0,440.0,3884.0,8.8,30.0,179.0,51.1,84.0,4.3,37.7,79.1,7.0,1430.0,5.8,8239.0,69.0,21.0,59.0,
12,WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),,12.0,6.0,77.0,367.0,4.0,19.0,51.9,50.0,4.8,30.6,6.4,41.0,35.0,366.0,10.5,0.0,14.0,53.7,34.0,2.9,30.5,85.4,8.9,112.0,6.5,733.0,4.0,3.0,7.0,
