,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2020,23,BAL,NFL,WR,16.0,3.0,26.0,20.0,201.0,10.1,0.0,8.0,46.2,39.0,1.3,12.6,76.9,7.7,4.0,70.0,0.0,3.0,75.0,42.0,17.5,4.4,0.3,24.0,11.3,271.0,0.0,0.0,4.0,
1,2021,24,BAL,NFL,WR,16.0,7.0,47.0,33.0,272.0,8.2,2.0,14.0,46.8,21.0,2.1,17.0,70.2,5.8,7.0,50.0,0.0,4.0,42.9,19.0,7.1,3.1,0.4,40.0,8.1,322.0,2.0,1.0,2.0,"PB,AP-1"
2,2022,25,BAL,NFL,WR,14.0,13.0,49.0,37.0,407.0,11.0,3.0,19.0,59.2,31.0,2.6,29.1,75.5,8.3,12.0,84.0,1.0,7.0,66.7,18.0,7.0,6.0,0.9,49.0,10.0,491.0,4.0,1.0,6.0,PB
3,2023,26,BAL,NFL,WR,13.0,1.0,9.0,4.0,18.0,4.5,0.0,0.0,11.1,10.0,0.3,1.4,44.4,2.0,4.0,15.0,0.0,0.0,50.0,8.0,3.8,1.2,0.3,8.0,4.1,33.0,0.0,0.0,0.0,
4,2024,27,JAX,NFL,WR,13.0,1.0,16.0,11.0,79.0,7.2,0.0,7.0,50.0,28.0,0.8,6.1,68.8,4.9,4.0,3.0,0.0,1.0,50.0,4.0,0.8,0.2,0.3,15.0,5.5,82.0,0.0,1.0,1.0,
5,2025,28,CHI,NFL,WR,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,
6,6 Yrs,6 Yrs,6 Yrs,6 Yrs,,75.0,25.0,147.0,105.0,977.0,9.3,5.0,48.0,49.0,39.0,1.4,13.0,71.4,6.6,31.0,222.0,1.0,15.0,58.1,42.0,7.2,3.0,0.4,136.0,8.8,1199.0,6.0,3.0,13.0,
7,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,6.0,33.0,24.0,221.0,9.3,1.0,11.0,49.0,39.0,1.4,13.0,71.4,6.6,7.0,50.0,0.0,3.0,58.1,42.0,7.2,3.0,0.4,31.0,8.8,272.0,1.0,1.0,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,BAL (4 Yrs),BAL (4 Yrs),BAL (4 Yrs),BAL (4 Yrs),,59.0,24.0,131.0,94.0,898.0,9.6,5.0,41.0,48.9,39.0,1.6,15.2,71.8,6.9,27.0,219.0,1.0,14.0,59.3,42.0,8.1,3.7,0.5,121.0,9.2,1117.0,6.0,2.0,12.0,
10,JAX (1 Yr),JAX (1 Yr),JAX (1 Yr),JAX (1 Yr),,13.0,1.0,16.0,11.0,79.0,7.2,0.0,7.0,50.0,28.0,0.8,6.1,68.8,4.9,4.0,3.0,0.0,1.0,50.0,4.0,0.8,0.2,0.3,15.0,5.5,82.0,0.0,1.0,1.0,
11,CHI (1 Yr),CHI (1 Yr),CHI (1 Yr),CHI (1 Yr),,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,
