,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Ret,Yds,KRTD,Y/Ret,Ret.1,Yds.1,PRTD,Y/Ret.1,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,73.0,1.0,1.0,2025-09-08,CHI,,MIN,"L, 24-27",,3,81,0,27.0,4,37,0,9.3,0.0,0,0,0,0,0,0,0,0.0,0,0.0,22,68.8
1,2.0,74.0,2.0,2.0,2025-09-14,CHI,@,DET,"L, 21-52",,4,97,0,24.3,2,16,0,8.0,0.0,1,1,0,0,0,0,0,0.0,0,0.0,17,53.1
2,3.0,75.0,3.0,3.0,2025-09-21,CHI,,DAL,"W, 31-14",,1,26,0,26.0,2,31,0,15.5,0.0,0,0,0,0,0,0,0,0.0,0,0.0,15,65.2
3,,,,,,,,,1-2,,8,204,0,25.5,8,84,0,10.5,0.0,1,1,0,0,0,0,0,0.0,0,0.0,54,62.1
