,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,KRTD,Y/Ret,Ret.1,Yds.3,PRTD,Y/Ret.1,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,47.0,1.0,1.0,2023-09-10,BAL,,HOU,"W, 25-9",,0,0,0,,0,0,0,,0,,,1,18,0,18.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,10.9,0,0.0,9,36.0
1,2.0,48.0,2.0,2.0,2023-09-17,BAL,@,CIN,"W, 27-24",,3,15,0,5.0,3,0,0,,0,0.0,0.0,0,0,0,,1,2,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,22,29.3,0,0.0,8,32.0
2,3.0,49.0,3.0,3.0,2023-09-24,BAL,,IND,"L, 19-22 (OT)",,0,0,0,,1,0,0,,0,0.0,0.0,1,20,0,20.0,4,45,0,11.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,18,25.0,0,0.0,17,47.2
3,4.0,50.0,4.0,4.0,2023-10-01,BAL,@,CLE,"W, 28-3",*,0,0,0,,2,2,8,4.0,0,100.0,4.0,2,44,0,22.0,3,47,0,15.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,35,60.3,0,0.0,13,46.4
4,5.0,51.0,5.0,5.0,2023-10-08,BAL,@,PIT,"L, 10-17",,0,0,0,,1,0,0,,0,0.0,0.0,0,0,0,,2,13,0,6.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,8.6,0,0.0,11,44.0
5,6.0,52.0,6.0,6.0,2023-10-15,BAL,@,TEN,"W, 24-16",,0,0,0,,0,0,0,,0,,,2,41,0,20.5,3,91,0,30.3,0.0,1,1,0,0,0,0,0,0,0,0,0,0,15,21.1,0,0.0,14,45.2
6,7.0,53.0,7.0,7.0,2023-10-22,BAL,,DET,"W, 38-6",,0,0,0,,0,0,0,,0,,,0,0,0,,0,0,0,,0.0,1,1,0,0,0,0,0,0,0,0,0,0,9,15.0,0,0.0,7,33.3
7,8.0,54.0,8.0,8.0,2023-10-29,BAL,@,ARI,"W, 31-24",,0,0,0,,0,0,0,,0,,,0,0,0,,3,31,0,10.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.1,0,0.0,14,50.0
8,9.0,55.0,9.0,9.0,2023-11-05,BAL,,SEA,"W, 37-3",,0,0,0,,2,2,10,5.0,0,100.0,5.0,0,0,0,,2,27,0,13.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,16,21.1,0,0.0,9,33.3
9,10.0,56.0,10.0,10.0,2023-11-12,BAL,,CLE,"L, 31-33",,0,0,0,,0,0,0,,0,,,2,30,0,15.0,2,12,0,6.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,4,7.4,0,0.0,13,41.9
