,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,34.0,1.0,1.0,2023-09-10,MIA,@,LAC,"W, 36-34",*,5,4,78,19.5,0,80.0,15.6,0,0,0,,43,64.2,0,0.0,0,0.0
1,2.0,35.0,2.0,2.0,2023-09-17,MIA,@,NWE,"W, 24-17",*,6,4,86,21.5,0,66.7,14.3,1,-2,0,-2.0,46,73.0,0,0.0,0,0.0
2,2.0,,3.0,3.0,2023-09-24,MIA,,DEN,"W, 70-20",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,3.0,36.0,4.0,4.0,2023-10-01,MIA,@,BUF,"L, 20-48",*,5,4,46,11.5,0,80.0,9.2,0,0,0,,49,75.4,0,0.0,0,0.0
4,4.0,37.0,5.0,5.0,2023-10-08,MIA,,NYG,"W, 31-16",*,10,5,35,7.0,1,50.0,3.5,0,0,0,,44,81.5,0,0.0,0,0.0
5,5.0,38.0,6.0,6.0,2023-10-15,MIA,,CAR,"W, 42-21",*,9,7,51,7.3,1,77.8,5.7,0,0,0,,46,68.7,0,0.0,1,3.3
6,6.0,39.0,7.0,7.0,2023-10-22,MIA,@,PHI,"L, 17-31",*,6,6,63,10.5,0,100.0,10.5,0,0,0,,22,44.9,0,0.0,0,0.0
7,7.0,40.0,8.0,8.0,2023-10-29,MIA,,NWE,"W, 31-17",*,12,7,121,17.3,1,58.3,10.1,0,0,0,,58,75.3,0,0.0,0,0.0
8,8.0,41.0,9.0,9.0,2023-11-05,MIA,@,KAN,"L, 14-21",*,6,3,42,14.0,0,50.0,7.0,1,12,0,12.0,34,54.0,0,0.0,0,0.0
9,9.0,42.0,10.0,11.0,2023-11-19,MIA,,LVR,"W, 20-13",*,8,4,55,13.8,0,50.0,6.9,0,0,0,,58,82.9,0,0.0,2,7.7
10,10.0,43.0,11.0,12.0,2023-11-24,MIA,@,NYJ,"W, 34-13",*,8,8,114,14.3,0,100.0,14.3,0,0,0,,46,65.7,0,0.0,1,4.2
11,11.0,44.0,12.0,13.0,2023-12-03,MIA,@,WAS,"W, 45-15",*,8,5,52,10.4,0,62.5,6.5,0,0,0,,37,60.7,0,0.0,0,0.0
12,12.0,45.0,13.0,14.0,2023-12-11,MIA,,TEN,"L, 27-28",*,8,6,79,13.2,0,75.0,9.9,0,0,0,,59,81.9,0,0.0,1,3.2
13,13.0,46.0,14.0,15.0,2023-12-17,MIA,,NYJ,"W, 30-0",*,9,8,142,17.8,1,88.9,15.8,0,0,0,,41,67.2,0,0.0,0,0.0
14,14.0,47.0,15.0,16.0,2023-12-24,MIA,,DAL,"W, 22-20",*,4,1,50,50.0,0,25.0,12.5,1,2,0,2.0,28,43.1,0,0.0,0,0.0
15,14.0,,16.0,17.0,2023-12-31,MIA,@,BAL,"L, 19-56",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,14.0,,17.0,18.0,2024-01-07,MIA,,BUF,"L, 14-21",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,,,,,,,,10-4,,104,72,1014,14.1,4,69.2,9.8,3,12,0,4.0,611,67.6,0,0.0,5,1.3
