,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
0,2020,21,KAN,NFL,RB,2.0,2.0,15.0,71.0,1.0,6.0,53.3,26.0,4.7,35.5,7.5,5.0,3.0,23.0,7.7,0.0,1.0,40.0,18.0,1.5,11.5,60.0,4.6,18.0,5.2,94.0,1.0,0.0,
1,2021,22,KAN,NFL,RB,2.0,0.0,13.0,96.0,0.0,4.0,69.2,22.0,7.4,48.0,6.5,4.0,2.0,13.0,6.5,0.0,0.0,50.0,9.0,1.0,6.5,50.0,3.3,15.0,7.3,109.0,0.0,0.0,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2023,24,KAN,NFL,RB,4.0,0.0,11.0,53.0,0.0,3.0,27.3,28.0,4.8,13.3,2.8,4.0,4.0,7.0,1.8,0.0,1.0,25.0,5.0,1.0,1.8,100.0,1.8,15.0,4.0,60.0,0.0,1.0,
4,3 Yrs,3 Yrs,3 Yrs,3 Yrs,,8.0,2.0,39.0,220.0,1.0,13.0,51.3,28.0,5.6,27.5,4.9,13.0,9.0,43.0,4.8,0.0,2.0,38.5,18.0,1.1,5.4,69.2,3.3,48.0,5.5,263.0,1.0,1.0,
5,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,4.0,83.0,468.0,2.0,28.0,51.3,28.0,5.6,27.5,4.9,28.0,19.0,91.0,4.8,0.0,4.0,38.5,18.0,1.1,5.4,69.2,3.3,102.0,5.5,559.0,2.0,2.0,
