,Season,Age,Team,Lg,Pos,G,GS,Cmp,Att,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Plays,Yds,PassAtt,PassYds,RushAtt,RushYds,PassAtt.1,PassYds.1,Awards
0,2018,23,SFO,NFL,QB,8.0,8.0,176.0,274.0,1815.0,6.6,1057.0,6.0,3.9,1220.0,6.9,0.0,13.0,4.0,12.0,4.7,34.0,13.2,,,2.3,79.0,32.0,41.0,90.0,30.8,1.0,1.0,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2020,25,SFO,NFL,QB,10.0,8.0,211.0,326.0,2053.0,6.3,1198.0,5.7,3.7,1239.0,5.9,7.0,6.0,0.0,17.0,5.3,48.0,15.0,241.0,75.3,2.4,116.0,33.0,56.0,108.0,31.1,2.0,5.0,13.0,74.0,12.0,74.0,0.0,0.0,86.0,863.0,
3,2021,26,CLE,NFL,QB,1.0,1.0,20.0,30.0,204.0,6.8,76.0,3.8,2.5,71.0,3.6,0.0,0.0,1.0,2.0,6.9,2.0,6.9,22.0,75.9,2.3,6.0,5.0,4.0,9.0,30.0,0.0,,1.0,6.0,1.0,6.0,0.0,0.0,7.0,31.0,
4,2022,27,MIN,NFL,QB,4.0,0.0,21.0,25.0,170.0,6.8,107.0,5.1,4.3,117.0,5.6,0.0,0.0,0.0,0.0,0.0,2.0,8.0,23.0,92.0,2.4,3.0,0.0,4.0,4.0,14.8,2.0,3.0,1.0,2.0,0.0,0.0,1.0,2.0,10.0,87.0,
5,2023,28,MIN,NFL,QB,5.0,3.0,100.0,148.0,1380.0,9.3,829.0,8.3,5.6,477.0,4.8,4.0,2.0,1.0,1.0,0.7,29.0,20.0,106.0,73.1,2.5,44.0,12.0,25.0,49.0,29.7,5.0,4.0,12.0,93.0,12.0,93.0,0.0,0.0,54.0,534.0,
6,2024,29,MIN,NFL,QB,4.0,0.0,2.0,2.0,24.0,12.0,24.0,12.0,12.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,2.2,0.0,0.0,1.0,1.0,50.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7,7 Yrs,7 Yrs,7 Yrs,7 Yrs,,33.0,20.0,530.0,805.0,5646.0,7.0,3291.0,6.2,4.1,3138.0,5.9,11.0,21.0,6.0,32.0,4.1,115.0,14.8,394.0,50.6,2.4,248.0,82.0,131.0,261.0,30.2,10.0,3.7,27.0,175.0,25.0,173.0,1.0,2.0,157.0,1515.0,
8,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,10.0,273.0,415.0,2909.0,7.0,1695.0,6.2,4.1,1617.0,5.9,6.0,11.0,3.0,16.0,4.1,59.0,14.8,,,,128.0,42.0,67.0,134.0,30.2,5.0,3.7,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,SFO (3 Yrs),SFO (3 Yrs),SFO (3 Yrs),SFO (3 Yrs),,19.0,16.0,387.0,600.0,3868.0,6.4,2255.0,5.8,3.8,2459.0,6.4,7.0,19.0,4.0,29.0,5.0,82.0,14.2,241.0,41.8,2.4,195.0,65.0,97.0,198.0,31.0,3.0,3.7,13.0,74.0,12.0,74.0,0.0,0.0,86.0,863.0,
11,MIN (3 Yrs),MIN (3 Yrs),MIN (3 Yrs),MIN (3 Yrs),,13.0,3.0,123.0,175.0,1574.0,9.0,960.0,7.8,5.5,608.0,4.9,4.0,2.0,1.0,1.0,0.6,31.0,18.0,131.0,76.2,2.4,47.0,12.0,30.0,54.0,27.8,7.0,3.7,13.0,95.0,12.0,93.0,1.0,2.0,64.0,621.0,
12,CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),,1.0,1.0,20.0,30.0,204.0,6.8,76.0,3.8,2.5,71.0,3.6,0.0,0.0,1.0,2.0,6.9,2.0,6.9,22.0,75.9,2.3,6.0,5.0,4.0,9.0,30.0,0.0,,1.0,6.0,1.0,6.0,0.0,0.0,7.0,31.0,
