,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2019,22,CHI,NFL,RB,16.0,8.0,242.0,889.0,6.0,50.0,43.4,55.0,3.7,55.6,15.1,35.0,25.0,185.0,7.4,1.0,7.0,42.9,30.0,1.6,11.6,71.4,5.3,267.0,4.0,1074.0,7.0,2.0,6.0,
1,2020,23,CHI,NFL,RB,15.0,14.0,247.0,1070.0,8.0,59.0,46.2,80.0,4.3,71.3,16.5,68.0,54.0,438.0,8.1,2.0,25.0,55.9,28.0,3.6,29.2,79.4,6.4,301.0,5.0,1508.0,10.0,1.0,10.0,
2,2021,24,CHI,NFL,RB,13.0,13.0,225.0,849.0,7.0,55.0,46.7,41.0,3.8,65.3,17.3,51.0,42.0,301.0,7.2,0.0,18.0,43.1,16.0,3.2,23.2,82.4,5.9,267.0,4.3,1150.0,7.0,1.0,6.0,
3,2022,25,CHI,NFL,RB,16.0,16.0,201.0,801.0,5.0,41.0,44.8,28.0,4.0,50.1,12.6,40.0,34.0,316.0,9.3,1.0,10.0,50.0,32.0,2.1,19.8,85.0,7.9,235.0,4.8,1117.0,6.0,2.0,8.0,
4,2023,26,DET,NFL,RB,14.0,14.0,219.0,1015.0,13.0,59.0,54.8,75.0,4.6,72.5,15.6,24.0,16.0,117.0,7.3,0.0,7.0,54.2,19.0,1.1,8.4,66.7,4.9,235.0,4.8,1132.0,13.0,2.0,9.0,
5,2024,27,DET,NFL,RB,14.0,14.0,185.0,775.0,12.0,50.0,55.1,21.0,4.2,55.4,13.2,38.0,36.0,341.0,9.5,0.0,16.0,73.7,40.0,2.6,24.4,94.7,9.0,221.0,5.0,1116.0,12.0,2.0,10.0,
6,2025,28,DET,NFL,RB,3.0,0.0,34.0,233.0,3.0,11.0,55.9,72.0,6.9,77.7,11.3,6.0,6.0,35.0,5.8,0.0,2.0,66.7,13.0,2.0,11.7,100.0,5.8,40.0,6.7,268.0,3.0,0.0,,
7,7 Yrs,7 Yrs,7 Yrs,7 Yrs,,91.0,79.0,1353.0,5632.0,54.0,325.0,48.4,80.0,4.2,61.9,14.9,262.0,213.0,1733.0,8.1,4.0,85.0,53.4,40.0,2.3,19.0,81.3,6.6,1566.0,4.7,7365.0,58.0,10.0,49.0,
8,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,15.0,253.0,1052.0,10.0,61.0,48.4,80.0,4.2,61.9,14.9,49.0,40.0,324.0,8.1,1.0,16.0,53.4,40.0,2.3,19.0,81.3,6.6,293.0,4.7,1376.0,11.0,2.0,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,CHI (4 Yrs),CHI (4 Yrs),CHI (4 Yrs),CHI (4 Yrs),,60.0,51.0,915.0,3609.0,26.0,205.0,45.2,80.0,3.9,60.2,15.3,194.0,155.0,1240.0,8.0,4.0,60.0,49.0,32.0,2.6,20.7,79.9,6.4,1070.0,4.5,4849.0,30.0,6.0,30.0,
11,DET (3 Yrs),DET (3 Yrs),DET (3 Yrs),DET (3 Yrs),,31.0,28.0,438.0,2023.0,28.0,120.0,55.0,75.0,4.6,65.3,14.1,68.0,58.0,493.0,8.5,0.0,25.0,66.2,40.0,1.9,15.9,85.3,7.3,496.0,5.1,2516.0,28.0,4.0,19.0,
