,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Int,Yds,IntTD,PD,Fmb,FL,FF,FR,Yds.1,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2023-09-10,DEN,,LVR,"L, 16-17",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
1,1.0,2.0,2.0,2.0,2023-09-17,DEN,,WAS,"L, 33-35",,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6,8.2,16,53.3
2,2.0,3.0,3.0,3.0,2023-09-24,DEN,@,MIA,"L, 20-70",,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,27,75.0
3,3.0,4.0,4.0,4.0,2023-10-01,DEN,@,CHI,"W, 31-28",,0.0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,43,59.7,14,53.8
4,4.0,5.0,5.0,5.0,2023-10-08,DEN,,NYJ,"L, 21-31",,0.0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,34,52.3,9,28.1
5,5.0,6.0,6.0,6.0,2023-10-12,DEN,@,KAN,"L, 8-19",,0.0,7,7,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,52,73.2,2,9.5
6,6.0,7.0,7.0,7.0,2023-10-22,DEN,,GNB,"W, 19-17",,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,31,48.4,5,20.0
7,7.0,8.0,8.0,8.0,2023-10-29,DEN,,KAN,"W, 24-9",,0.0,6,5,1,2,0,0,1,5,0,1,0,0,0,0,0,0,0,0.0,58,95.1,1,4.5
8,8.0,9.0,9.0,10.0,2023-11-13,DEN,@,BUF,"W, 24-22",*,0.0,5,4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,53,98.1,5,18.5
9,9.0,10.0,10.0,11.0,2023-11-19,DEN,,MIN,"W, 21-20",,0.0,2,1,1,0,0,0,1,9,0,1,0,0,0,1,4,0,0,0.0,47,63.5,1,3.7
10,10.0,11.0,11.0,12.0,2023-11-26,DEN,,CLE,"W, 29-12",*,0.0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,59,80.8,3,11.5
11,11.0,12.0,12.0,13.0,2023-12-03,DEN,@,HOU,"L, 17-22",,1.0,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,41,60.3,6,18.8
12,12.0,13.0,13.0,14.0,2023-12-10,DEN,@,LAC,"W, 24-7",,1.0,5,5,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0.0,59,86.8,4,16.7
13,13.0,14.0,14.0,15.0,2023-12-16,DEN,@,DET,"L, 17-42",,0.0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,46,69.7,1,3.4
14,14.0,15.0,15.0,16.0,2023-12-24,DEN,,NWE,"L, 23-26",,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41,70.7,6,18.2
15,15.0,16.0,16.0,17.0,2023-12-31,DEN,,LAC,"W, 16-9",*,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,55,84.6,11,39.3
16,16.0,17.0,17.0,18.0,2024-01-07,DEN,@,LVR,"L, 14-27",,0.0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,44,66.7,2,8.0
17,,,,,,,,,8-8,,2.0,51,37,14,7,3,0,2,14,0,5,0,0,2,2,4,0,0,0.0,669,62.5,113,25.5
