,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Int,Yds,IntTD,PD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,18.0,1.0,1.0,2024-09-08,DEN,@,SEA,"L, 20-26",*,0.0,4,2,2,0,0,0,0,0,0,0,0,0.0,48,71.6,5,14.7
1,2.0,19.0,2.0,2.0,2024-09-15,DEN,,PIT,"L, 6-13",,0.0,2,0,2,0,0,0,0,0,0,0,0,0.0,37,56.1,8,32.0
2,3.0,20.0,3.0,3.0,2024-09-22,DEN,@,TAM,"W, 26-7",*,0.0,9,8,1,0,0,0,0,0,0,0,0,0.0,49,86.0,4,18.2
3,4.0,21.0,4.0,4.0,2024-09-29,DEN,@,NYJ,"W, 10-9",,0.0,6,4,2,1,0,0,0,0,0,1,0,0.0,55,74.3,1,3.6
4,5.0,22.0,5.0,5.0,2024-10-06,DEN,,LVR,"W, 34-18",*,0.0,5,5,0,0,0,0,0,0,0,1,0,0.0,52,74.3,5,16.7
5,6.0,23.0,6.0,6.0,2024-10-13,DEN,,LAC,"L, 16-23",,0.0,2,2,0,0,0,0,0,0,0,0,0,0.0,76,97.4,3,11.1
6,7.0,24.0,7.0,7.0,2024-10-17,DEN,@,NOR,"W, 33-10",,1.0,6,6,0,2,1,0,0,0,0,0,0,0.0,49,70.0,1,3.4
7,8.0,25.0,8.0,8.0,2024-10-27,DEN,,CAR,"W, 28-14",*,0.0,3,2,1,0,0,0,1,0,0,1,0,0.0,48,78.7,1,4.2
8,9.0,26.0,9.0,9.0,2024-11-03,DEN,@,BAL,"L, 10-41",,0.0,3,3,0,0,0,0,0,0,0,0,0,0.0,26,45.6,3,12.0
9,10.0,27.0,10.0,10.0,2024-11-10,DEN,@,KAN,"L, 14-16",*,0.0,3,2,1,0,0,0,0,0,0,0,0,0.0,56,82.4,4,16.0
10,11.0,28.0,11.0,11.0,2024-11-17,DEN,,ATL,"W, 38-6",*,0.0,9,5,4,0,0,0,0,0,0,1,0,0.0,53,89.8,4,15.4
11,12.0,29.0,12.0,12.0,2024-11-24,DEN,@,LVR,"W, 29-19",*,0.0,6,5,1,0,0,0,0,0,0,0,0,0.0,59,76.6,0,0.0
12,13.0,30.0,13.0,13.0,2024-12-02,DEN,,CLE,"W, 41-32",,0.0,5,5,0,0,0,0,1,44,1,4,0,0.0,62,72.1,0,0.0
13,14.0,31.0,14.0,15.0,2024-12-15,DEN,,IND,"W, 31-13",*,0.0,5,1,4,0,0,0,0,0,0,1,0,0.0,58,76.3,0,0.0
14,15.0,32.0,15.0,16.0,2024-12-19,DEN,@,LAC,"L, 27-34",,0.0,3,2,1,0,0,0,0,0,0,0,0,0.0,43,66.2,0,0.0
15,16.0,33.0,16.0,17.0,2024-12-28,DEN,@,CIN,"L, 24-30 (OT)",,0.0,7,6,1,0,1,0,0,0,0,0,0,0.0,72,80.0,0,0.0
16,17.0,34.0,17.0,18.0,2025-01-05,DEN,,KAN,"W, 38-0",*,0.0,3,3,0,1,0,0,0,0,0,1,0,0.0,27,79.4,0,0.0
17,,,,,,,,,10-7,,1.0,81,61,20,4,2,0,2,44,1,10,0,0.0,870,75.3,39,8.2
