,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Tgt,Rec,Yds.1,1D.1,YBC.1,YBC/R,YAC.1,YAC/R,ADOT,BrkTkl.1,Rec/Br,Drop,Drop%,Int,Rat,Awards
0,2021,23,CHI,NFL,RB,17.0,2.0,103.0,433.0,24.0,247.0,2.4,186.0,1.8,9.0,11.4,16.0,14.0,96.0,6.0,-5.0,-0.4,101.0,7.2,-0.3,1.0,14.0,1.0,6.3,0.0,91.7,
1,2022,24,CHI,NFL,RB,13.0,1.0,129.0,731.0,26.0,404.0,3.1,327.0,2.5,9.0,14.3,12.0,9.0,57.0,2.0,-24.0,-2.7,81.0,9.0,-2.4,0.0,,1.0,8.3,0.0,112.2,
2,2023,25,CHI,NFL,RB,12.0,9.0,132.0,611.0,25.0,329.0,2.5,282.0,2.1,13.0,10.2,31.0,20.0,134.0,9.0,-4.0,-0.2,138.0,6.9,0.6,2.0,10.0,1.0,3.2,2.0,57.7,
3,2024,26,2TM,NFL,RB,14.0,1.0,36.0,130.0,10.0,74.0,2.1,56.0,1.6,0.0,,11.0,10.0,25.0,0.0,-19.0,-1.9,44.0,4.4,-2.1,0.0,,1.0,9.1,0.0,79.2,
4,2024,26,CHI,NFL,RB,6.0,0.0,8.0,16.0,3.0,6.0,0.8,10.0,1.3,0.0,,2.0,2.0,4.0,0.0,-2.0,-1.0,6.0,3.0,-1.0,0.0,,0.0,0.0,0.0,79.2,
5,2024,26,CIN,NFL,RB,8.0,1.0,28.0,114.0,7.0,68.0,2.4,46.0,1.6,0.0,,9.0,8.0,21.0,0.0,-17.0,-2.1,38.0,4.8,-2.3,0.0,,1.0,11.1,0.0,79.2,
6,4 Yrs,4 Yrs,4 Yrs,4 Yrs,,56.0,13.0,400.0,1905.0,85.0,1054.0,2.6,851.0,2.1,31.0,12.9,70.0,53.0,312.0,17.0,-52.0,-1.0,364.0,6.9,-0.5,3.0,17.7,4.0,5.7,2.0,81.4,
7,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,4.0,121.0,578.0,26.0,320.0,2.6,258.0,2.1,9.0,12.9,21.0,16.0,95.0,5.0,-16.0,-1.0,111.0,6.9,-0.5,1.0,17.7,1.0,5.7,1.0,81.4,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,CHI (4 Yrs),CHI (4 Yrs),CHI (4 Yrs),CHI (4 Yrs),,48.0,12.0,372.0,1791.0,78.0,986.0,2.7,805.0,2.2,31.0,12.0,61.0,45.0,291.0,17.0,-35.0,-0.8,326.0,7.2,-0.3,3.0,15.0,3.0,4.9,2.0,80.7,
10,CIN (1 Yr),CIN (1 Yr),CIN (1 Yr),CIN (1 Yr),,8.0,1.0,28.0,114.0,7.0,68.0,2.4,46.0,1.6,0.0,,9.0,8.0,21.0,0.0,-17.0,-2.1,38.0,4.8,-2.3,0.0,,1.0,11.1,0.0,79.2,
