,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
0,2017,23,LAR,NFL,TE,1.0,0.0,2.0,1.0,4.0,4.0,0.0,0.0,50.0,4.0,1.0,4.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,
1,2018,24,LAR,NFL,TE,3.0,1.0,7.0,2.0,50.0,25.0,0.0,2.0,28.6,39.0,0.7,16.7,28.6,7.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,50.0,0.0,0.0,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2020,26,LAR,NFL,TE,2.0,1.0,2.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2022,28,LAC,NFL,TE,1.0,1.0,8.0,6.0,109.0,18.2,1.0,5.0,62.5,25.0,6.0,109.0,75.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,18.2,109.0,1.0,0.0,
6,4 Yrs,4 Yrs,4 Yrs,4 Yrs,,7.0,3.0,19.0,9.0,163.0,18.1,1.0,7.0,42.1,39.0,1.3,23.3,47.4,8.6,0.0,0.0,0.0,0.0,0.0,0.0,9.0,18.1,163.0,1.0,0.0,
7,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,7.0,46.0,22.0,396.0,18.1,2.0,17.0,42.1,39.0,1.3,23.3,47.4,8.6,0.0,0.0,0.0,0.0,0.0,0.0,22.0,18.1,396.0,2.0,0.0,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,LAR (3 Yrs),LAR (3 Yrs),LAR (3 Yrs),LAR (3 Yrs),,6.0,2.0,11.0,3.0,54.0,18.0,0.0,2.0,27.3,39.0,0.5,9.0,27.3,4.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,54.0,0.0,0.0,
10,LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,1.0,1.0,8.0,6.0,109.0,18.2,1.0,5.0,62.5,25.0,6.0,109.0,75.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,18.2,109.0,1.0,0.0,
