,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2014,21,NOR,NFL,WR,10.0,7.0,69.0,53.0,550.0,10.4,3.0,25.0,58.0,50.0,5.3,55.0,76.8,8.0,7.0,73.0,1.0,4.0,85.7,28.0,10.4,7.3,0.7,60.0,10.4,623.0,4.0,1.0,5.0,
1,2015,22,NOR,NFL,WR,16.0,12.0,129.0,84.0,1138.0,13.5,9.0,45.0,47.3,71.0,5.3,71.1,65.1,8.8,8.0,18.0,0.0,2.0,25.0,11.0,2.3,1.1,0.5,92.0,12.6,1156.0,9.0,1.0,9.0,
2,2016,23,NOR,NFL,WR,16.0,12.0,117.0,78.0,1173.0,15.0,8.0,46.0,52.1,98.0,4.9,73.3,66.7,10.0,6.0,30.0,0.0,1.0,66.7,11.0,5.0,1.9,0.4,84.0,14.3,1203.0,8.0,1.0,11.0,
3,2017,24,NWE,NFL,WR,16.0,15.0,114.0,65.0,1082.0,16.6,7.0,42.0,49.1,64.0,4.1,67.6,57.0,9.5,9.0,40.0,0.0,2.0,55.6,13.0,4.4,2.5,0.6,74.0,15.2,1122.0,7.0,0.0,13.0,
4,2018,25,LAR,NFL,WR,16.0,16.0,117.0,80.0,1204.0,15.1,5.0,56.0,57.3,57.0,5.0,75.3,68.4,10.3,10.0,68.0,1.0,5.0,90.0,17.0,6.8,4.3,0.6,90.0,14.1,1272.0,6.0,1.0,13.0,
5,2019,26,LAR,NFL,WR,14.0,14.0,72.0,42.0,583.0,13.9,2.0,32.0,50.0,57.0,3.0,41.6,58.3,8.1,6.0,52.0,0.0,3.0,66.7,27.0,8.7,3.7,0.4,48.0,13.2,635.0,2.0,0.0,5.0,
6,2020,27,HOU,NFL,WR,15.0,15.0,119.0,81.0,1150.0,14.2,6.0,51.0,61.3,57.0,5.4,76.7,68.1,9.7,0.0,0.0,0.0,0.0,,,,0.0,0.0,81.0,14.2,1150.0,6.0,0.0,9.0,
7,2021,28,HOU,NFL,WR,16.0,16.0,134.0,90.0,1037.0,11.5,6.0,45.0,53.7,52.0,5.6,64.8,67.2,7.7,2.0,21.0,0.0,1.0,100.0,16.0,10.5,1.3,0.1,92.0,11.5,1058.0,6.0,0.0,8.0,
8,2022,29,HOU,NFL,WR,13.0,13.0,93.0,57.0,699.0,12.3,3.0,29.0,47.3,44.0,4.4,53.8,61.3,7.5,2.0,7.0,0.0,0.0,50.0,5.0,3.5,0.5,0.2,59.0,12.0,706.0,3.0,0.0,5.0,
9,2023,30,DAL,NFL,WR,16.0,15.0,81.0,54.0,657.0,12.2,8.0,38.0,59.3,37.0,3.4,41.1,66.7,8.1,5.0,35.0,0.0,1.0,60.0,14.0,7.0,2.2,0.3,59.0,11.7,692.0,8.0,1.0,8.0,
10,2024,31,DAL,NFL,WR,10.0,9.0,54.0,26.0,259.0,10.0,3.0,19.0,44.4,29.0,2.6,25.9,48.1,4.8,3.0,-3.0,0.0,0.0,33.3,5.0,-1.0,-0.3,0.3,29.0,8.8,256.0,3.0,0.0,2.0,
11,2025,32,NOR,NFL,WR,3.0,0.0,11.0,8.0,76.0,9.5,0.0,5.0,63.6,20.0,2.7,25.3,72.7,6.9,0.0,0.0,0.0,0.0,,,,0.0,0.0,8.0,9.5,76.0,0.0,0.0,,
12,12 Yrs,12 Yrs,12 Yrs,12 Yrs,,161.0,144.0,1110.0,718.0,9608.0,13.4,60.0,433.0,53.1,98.0,4.5,59.7,64.7,8.7,58.0,341.0,2.0,19.0,63.8,28.0,5.9,2.1,0.4,776.0,12.8,9949.0,62.0,5.0,88.0,
