,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2022,22,SEA,NFL,RB,15,11,228,1050,9,51,39.9,74,4.6,70.0,15.2,35,27,165,6.1,0,6,37.1,33,1.8,11.0,77.1,4.7,255,4.8,1215,9,0,8,AP ORoY-2
1,2023,23,SEA,NFL,RB,15,15,219,905,8,46,46.6,45,4.1,60.3,14.6,37,29,259,8.9,1,9,43.2,64,1.9,17.3,78.4,7.0,248,4.7,1164,9,1,8,
2,2024,24,SEA,NFL,RB,11,11,153,573,7,28,44.4,28,3.7,52.1,13.9,53,46,299,6.5,1,19,54.7,21,4.2,27.2,86.8,5.6,199,4.4,872,8,1,5,
3,3 Yrs,3 Yrs,3 Yrs,3 Yrs,,41,37,600,2528,24,125,43.5,74,4.2,61.7,14.6,125,102,723,7.1,2,34,46.4,64,2.5,17.6,81.6,5.8,702,4.6,3251,26,2,21,
4,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,15,249,1048,10,52,43.5,74,4.2,61.7,14.6,52,42,300,7.1,1,14,46.4,64,2.5,17.6,81.6,5.8,291,1.9,1348,11,1,9,
