,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2022-09-12,SEA,,DEN,"W, 17-16",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
1,1.0,1.0,2.0,2.0,2022-09-18,SEA,@,SFO,"L, 7-27",,4,10,0,2.5,3,2,5,2.5,0,66.7,1.7,0.0,0,0,0,0,0,0,12,24.5,0,0.0,0,0.0
2,2.0,2.0,3.0,3.0,2022-09-25,SEA,,ATL,"L, 23-27",,3,19,0,6.3,3,3,14,4.7,0,100.0,4.7,0.0,0,0,0,0,0,0,9,12.7,0,0.0,0,0.0
3,3.0,3.0,4.0,4.0,2022-10-02,SEA,@,DET,"W, 48-45",,8,29,0,3.6,1,1,-5,-5.0,0,100.0,-5.0,0.0,0,0,0,0,0,0,25,35.7,0,0.0,0,0.0
4,4.0,4.0,5.0,5.0,2022-10-09,SEA,@,NOR,"L, 32-39",,8,88,1,11.0,0,0,0,,0,,,0.0,0,0,0,0,0,0,30,57.7,0,0.0,0,0.0
5,5.0,5.0,6.0,6.0,2022-10-16,SEA,,ARI,"W, 19-9",*,21,97,1,4.6,3,2,13,6.5,0,66.7,4.3,0.0,0,0,0,0,0,0,47,69.1,0,0.0,0,0.0
6,6.0,6.0,7.0,7.0,2022-10-23,SEA,@,LAC,"W, 37-23",*,23,167,2,7.3,0,0,0,,0,,,0.0,0,0,0,0,0,0,52,73.2,0,0.0,0,0.0
7,7.0,7.0,8.0,8.0,2022-10-30,SEA,,NYG,"W, 27-13",*,18,51,1,2.8,2,1,1,1.0,0,50.0,0.5,0.0,0,0,0,0,0,0,49,76.6,0,0.0,0,0.0
8,8.0,8.0,9.0,9.0,2022-11-06,SEA,@,ARI,"W, 31-21",*,26,109,2,4.2,4,3,20,6.7,0,75.0,5.0,0.0,0,0,0,0,0,0,56,76.7,0,0.0,0,0.0
9,9.0,9.0,10.0,10.0,2022-11-13,SEA,@,TAM,"L, 16-21",*,10,17,0,1.7,8,6,55,9.2,0,75.0,6.9,0.0,0,0,0,0,0,0,45,86.5,0,0.0,0,0.0
10,10.0,10.0,11.0,12.0,2022-11-27,SEA,,LVR,"L, 34-40 (OT)",*,14,26,2,1.9,1,1,13,13.0,0,100.0,13.0,0.0,0,0,0,0,0,0,46,70.8,0,0.0,0,0.0
11,11.0,11.0,12.0,13.0,2022-12-04,SEA,@,LAR,"W, 27-23",*,3,36,0,12.0,1,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,0,14,20.9,0,0.0,0,0.0
12,11.0,,13.0,14.0,2022-12-11,SEA,,CAR,"L, 24-30",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,12.0,12.0,14.0,15.0,2022-12-15,SEA,,SFO,"L, 13-21",*,12,47,0,3.9,5,4,32,8.0,0,80.0,6.4,0.0,0,0,0,0,0,0,48,75.0,0,0.0,0,0.0
14,13.0,13.0,15.0,16.0,2022-12-24,SEA,@,KAN,"L, 10-24",*,26,107,0,4.1,2,2,-2,-1.0,0,100.0,-1.0,0.0,0,0,0,0,0,0,40,52.6,0,0.0,0,0.0
15,14.0,14.0,16.0,17.0,2023-01-01,SEA,,NYJ,"W, 23-6",*,23,133,0,5.8,1,1,9,9.0,0,100.0,9.0,0.0,0,0,0,0,0,0,41,56.9,0,0.0,0,0.0
16,15.0,15.0,17.0,18.0,2023-01-08,SEA,,LAR,"W, 19-16 (OT)",*,29,114,0,3.9,1,1,10,10.0,0,100.0,10.0,0.0,1,1,0,0,0,0,61,87.1,0,0.0,0,0.0
17,,,,,,,,,8-7,,228,1050,9,4.6,35,27,165,6.1,0,77.1,4.7,0.0,1,1,0,0,0,0,575,58.4,0,0.0,0,0.0
