,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Cmp,Att.1,Yds.2,TD.2,Int,Sk,Yds.3,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,51.0,1.0,1.0,2021-09-12,CIN,,MIN,"W, 27-24 (OT)",*,29,127,1,4.4,4,4,23,5.8,0,100.0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,54,78.3,0,0.0,0,0.0
1,2.0,52.0,2.0,2.0,2021-09-19,CIN,@,CHI,"L, 17-20",*,20,69,0,3.5,2,1,2,2.0,0,50.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,83.6,0,0.0,0,0.0
2,3.0,53.0,3.0,3.0,2021-09-26,CIN,@,PIT,"W, 24-10",*,18,90,0,5.0,1,1,4,4.0,0,100.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,74.5,0,0.0,0,0.0
3,4.0,54.0,4.0,4.0,2021-09-30,CIN,,JAX,"W, 24-21",*,16,67,1,4.2,2,1,0,0.0,0,50.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,69.0,0,0.0,0,0.0
4,5.0,55.0,5.0,5.0,2021-10-10,CIN,,GNB,"L, 22-25 (OT)",*,10,33,1,3.3,1,1,2,2.0,0,100.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,28.4,0,0.0,0,0.0
5,6.0,56.0,6.0,6.0,2021-10-17,CIN,@,DET,"W, 34-11",*,18,94,0,5.2,6,5,59,11.8,1,83.3,9.8,0,0,0,0,0,0,0,1,0,0,1,0,0,45,62.5,0,0.0,0,0.0
6,7.0,57.0,7.0,7.0,2021-10-24,CIN,@,BAL,"W, 41-17",*,12,59,1,4.9,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,34,54.0,0,0.0,0,0.0
7,8.0,58.0,8.0,8.0,2021-10-31,CIN,@,NYJ,"L, 31-34",*,14,33,1,2.4,5,4,58,14.5,1,80.0,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,42,76.4,0,0.0,0,0.0
8,9.0,59.0,9.0,9.0,2021-11-07,CIN,,CLE,"L, 16-41",*,13,64,2,4.9,5,5,46,9.2,0,100.0,9.2,0,0,0,0,0,0,0,0,0,0,1,0,0,47,62.7,0,0.0,0,0.0
9,10.0,60.0,10.0,11.0,2021-11-21,CIN,@,LVR,"W, 32-13",*,30,123,2,4.1,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,53,71.6,0,0.0,0,0.0
10,11.0,61.0,11.0,12.0,2021-11-28,CIN,,PIT,"W, 41-10",*,28,165,2,5.9,4,4,-2,-0.5,0,100.0,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,49,72.1,0,0.0,0,0.0
11,12.0,62.0,12.0,13.0,2021-12-05,CIN,,LAC,"L, 22-41",*,19,54,1,2.8,1,0,0,,0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,50,65.8,0,0.0,0,0.0
12,13.0,63.0,13.0,14.0,2021-12-12,CIN,,SFO,"L, 23-26 (OT)",*,18,58,0,3.2,2,2,10,5.0,0,100.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,59.7,0,0.0,0,0.0
13,14.0,64.0,14.0,15.0,2021-12-19,CIN,@,DEN,"W, 15-10",*,17,58,0,3.4,1,1,2,2.0,0,100.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,58.5,0,0.0,0,0.0
14,15.0,65.0,15.0,16.0,2021-12-26,CIN,,BAL,"W, 41-21",*,18,65,1,3.6,6,6,70,11.7,1,100.0,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,62,81.6,0,0.0,0,0.0
15,16.0,66.0,16.0,17.0,2022-01-02,CIN,,KAN,"W, 34-31",*,12,46,0,3.8,8,7,40,5.7,0,87.5,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,71.4,0,0.0,0,0.0
16,16.0,,17.0,18.0,2022-01-09,CIN,@,CLE,"L, 16-21",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,,,,,,,,,10-6,,292,1205,13,4.1,48,42,314,7.5,3,87.5,6.5,0,0,0,0,0,0,0,2,1,0,2,0,0,697,66.7,0,0.0,0,0.0
