,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,98.0,1.0,1.0,2024-09-08,HOU,@,IND,"W, 29-27",*,30,159,1,5.3,3,3,19,6.3,0,100.0,6.3,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,57,72.2,0,0.0,0,0.0
1,2.0,99.0,2.0,2.0,2024-09-15,HOU,,CHI,"W, 19-13",*,9,25,0,2.8,5,3,25,8.3,0,60.0,5.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,29,46.8,0,0.0,0,0.0
2,2.0,,3.0,3.0,2024-09-22,HOU,@,MIN,"L, 7-34",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2.0,,4.0,4.0,2024-09-29,HOU,,JAX,"W, 24-20",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,2.0,,5.0,5.0,2024-10-06,HOU,,BUF,"W, 23-20",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,3.0,100.0,6.0,6.0,2024-10-13,HOU,@,NWE,"W, 41-21",*,13,102,1,7.8,3,2,30,15.0,1,66.7,10.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,28,42.4,0,0.0,0,0.0
6,4.0,101.0,7.0,7.0,2024-10-20,HOU,@,GNB,"L, 22-24",*,25,115,2,4.6,3,2,9,4.5,0,66.7,3.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,42,65.6,0,0.0,0,0.0
7,5.0,102.0,8.0,8.0,2024-10-27,HOU,,IND,"W, 23-20",*,25,102,1,4.1,6,4,32,8.0,0,66.7,5.3,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,54,76.1,0,0.0,0,0.0
8,6.0,103.0,9.0,9.0,2024-10-31,HOU,@,NYJ,"L, 13-21",*,24,106,1,4.4,0,0,0,,0,,,0,1,0.0,0,0,0,0.0,0.00,39.6,0,0,0,0,0,0,0,0,44,55.7,0,0.0,0,0.0
9,7.0,104.0,10.0,10.0,2024-11-10,HOU,,DET,"L, 23-26",*,25,46,1,1.8,4,2,44,22.0,0,50.0,11.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,52,76.5,0,0.0,0,0.0
10,8.0,105.0,11.0,11.0,2024-11-18,HOU,@,DAL,"W, 34-10",*,20,109,3,5.5,4,2,44,22.0,0,50.0,11.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,52,81.3,0,0.0,0,0.0
11,9.0,106.0,12.0,12.0,2024-11-24,HOU,,TEN,"L, 27-32",*,14,22,0,1.6,6,5,23,4.6,0,83.3,3.8,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,43,76.8,0,0.0,0,0.0
12,10.0,107.0,13.0,13.0,2024-12-01,HOU,@,JAX,"W, 23-20",*,20,101,1,5.1,6,4,18,4.5,0,66.7,3.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,47,74.6,0,0.0,0,0.0
13,11.0,108.0,14.0,15.0,2024-12-15,HOU,,MIA,"W, 20-12",*,12,23,0,1.9,6,5,33,6.6,0,83.3,5.5,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,32,64.0,0,0.0,0,0.0
14,12.0,109.0,15.0,16.0,2024-12-21,HOU,@,KAN,"L, 19-27",*,14,57,0,4.1,2,1,14,14.0,0,50.0,7.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,39,66.1,0,0.0,0,0.0
15,13.0,110.0,16.0,17.0,2024-12-25,HOU,,BAL,"L, 2-31",*,9,26,0,2.9,3,2,13,6.5,0,66.7,4.3,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,27,48.2,0,0.0,0,0.0
16,14.0,111.0,17.0,18.0,2025-01-05,HOU,@,TEN,"W, 23-14",*,5,23,0,4.6,1,1,5,5.0,0,100.0,5.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,11,18.3,0,0.0,0,0.0
17,,,,,,,,,8-6,,245,1016,11,4.1,52,36,309,8.6,1,69.2,5.9,0,1,0.0,0,0,0,0.0,0.00,39.6,0,0,0,0,0,0,0,0,557,62.1,0,0.0,0,0.0
