,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
0,2019,24,MIN,NFL,RB,2.0,2.0,37.0,112.0,2.0,7.0,37.8,22.0,3.0,56.0,18.5,13.0,9.0,44.0,4.9,0.0,1.0,38.5,19.0,4.5,22.0,69.2,3.4,46.0,3.4,156.0,2.0,1.0,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2022,27,MIN,NFL,RB,1.0,1.0,15.0,60.0,0.0,2.0,60.0,11.0,4.0,60.0,15.0,7.0,6.0,10.0,1.7,0.0,1.0,28.6,6.0,6.0,10.0,85.7,1.4,21.0,3.3,70.0,0.0,0.0,
3,2023,28,BAL,NFL,RB,1.0,0.0,8.0,23.0,0.0,1.0,37.5,19.0,2.9,23.0,8.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,8.0,2.9,23.0,0.0,0.0,
4,3 Yrs,3 Yrs,3 Yrs,3 Yrs,,4.0,3.0,60.0,195.0,2.0,10.0,43.3,22.0,3.3,48.8,15.0,20.0,15.0,54.0,3.6,0.0,2.0,35.0,19.0,3.8,13.5,75.0,2.7,75.0,3.3,249.0,2.0,1.0,
5,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,13.0,255.0,829.0,9.0,43.0,43.3,22.0,3.3,48.8,15.0,85.0,64.0,230.0,3.6,0.0,9.0,35.0,19.0,3.8,13.5,75.0,2.7,319.0,3.3,1058.0,9.0,4.0,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MIN (2 Yrs),MIN (2 Yrs),MIN (2 Yrs),MIN (2 Yrs),,3.0,3.0,52.0,172.0,2.0,9.0,44.2,22.0,3.3,57.3,17.3,20.0,15.0,54.0,3.6,0.0,2.0,35.0,19.0,5.0,18.0,75.0,2.7,67.0,3.4,226.0,2.0,1.0,
8,BAL (1 Yr),BAL (1 Yr),BAL (1 Yr),BAL (1 Yr),,1.0,0.0,8.0,23.0,0.0,1.0,37.5,19.0,2.9,23.0,8.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,8.0,2.9,23.0,0.0,0.0,
