,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Tgt,Rec,Yds.3,TD.2,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,95.0,1.0,1.0,2024-09-08,BUF,,ARI,"W, 34-28",*,18,23,78.3,232,2,0,10.1,11.83,137.7,2,10,9,39,2,4.3,0,0,0,0,1,1,0,0,0,0,62,100.0,0,0.0,0,0.0
1,2.0,96.0,2.0,2.0,2024-09-12,BUF,@,MIA,"W, 31-10",*,13,19,68.4,139,1,0,7.3,8.37,107.1,0,0,2,2,0,1.0,0,0,0,0,1,0,0,1,0,0,41,91.1,0,0.0,0,0.0
2,3.0,97.0,3.0,3.0,2024-09-23,BUF,,JAX,"W, 47-10",*,23,30,76.7,263,4,0,8.8,11.43,142.1,0,0,6,44,0,7.3,0,0,0,0,0,0,0,0,0,0,56,87.5,0,0.0,0,0.0
3,4.0,98.0,4.0,4.0,2024-09-29,BUF,@,BAL,"L, 10-35",*,16,29,55.2,180,0,0,6.2,6.21,73.9,3,27,5,21,0,4.2,0,0,0,0,1,1,0,0,0,0,51,86.4,0,0.0,0,0.0
4,5.0,99.0,5.0,5.0,2024-10-06,BUF,@,HOU,"L, 20-23",*,9,30,30.0,131,1,0,4.4,5.03,56.4,1,5,4,54,0,13.5,0,0,0,0,0,0,0,0,0,0,60,98.4,0,0.0,0,0.0
5,6.0,100.0,6.0,6.0,2024-10-14,BUF,@,NYJ,"W, 23-20",*,19,25,76.0,215,2,0,8.6,10.2,127.9,2,5,9,18,1,2.0,0,0,0,0,1,0,0,0,0,0,69,100.0,0,0.0,0,0.0
6,7.0,101.0,7.0,7.0,2024-10-20,BUF,,TEN,"W, 34-10",*,21,33,63.6,323,2,0,9.8,11.0,116.1,1,8,3,1,0,0.3,0,0,0,0,0,0,0,0,0,0,55,100.0,0,0.0,0,0.0
7,8.0,102.0,8.0,8.0,2024-10-27,BUF,@,SEA,"W, 31-10",*,24,34,70.6,283,2,1,8.3,8.18,102.9,1,2,7,25,0,3.6,0,0,0,0,1,0,0,0,0,0,69,90.8,0,0.0,0,0.0
8,9.0,103.0,9.0,9.0,2024-11-03,BUF,,MIA,"W, 30-27",*,25,39,64.1,235,3,1,6.0,6.41,95.6,1,4,2,7,0,3.5,0,0,0,0,0,0,0,0,0,0,66,100.0,0,0.0,0,0.0
9,10.0,104.0,10.0,10.0,2024-11-10,BUF,@,IND,"W, 30-20",*,22,37,59.5,280,0,2,7.6,5.14,60.6,2,0,8,50,1,6.3,0,0,0,0,0,0,0,0,0,0,73,98.6,0,0.0,0,0.0
10,11.0,105.0,11.0,11.0,2024-11-17,BUF,,KAN,"W, 30-21",*,27,40,67.5,262,1,1,6.6,5.93,83.5,0,0,12,55,1,4.6,0,0,0,0,0,0,0,0,0,0,73,100.0,0,0.0,0,0.0
11,12.0,106.0,12.0,13.0,2024-12-01,BUF,,SFO,"W, 35-10",*,13,17,76.5,148,2,0,8.7,11.06,141.3,0,0,3,18,1,6.0,0,0,7,1,0,0,0,0,0,0,43,74.1,0,0.0,0,0.0
12,13.0,107.0,13.0,14.0,2024-12-08,BUF,@,LAR,"L, 42-44",*,22,37,59.5,342,3,0,9.2,10.86,117.2,0,0,10,82,3,8.2,0,0,0,0,0,0,0,0,0,0,60,100.0,0,0.0,0,0.0
13,14.0,108.0,14.0,15.0,2024-12-15,BUF,@,DET,"W, 48-42",*,23,34,67.6,362,2,0,10.6,11.82,122.4,0,0,11,68,2,6.2,0,0,0,0,0,0,0,0,0,0,70,100.0,0,0.0,0,0.0
14,15.0,109.0,15.0,16.0,2024-12-22,BUF,,NWE,"W, 24-21",*,16,29,55.2,154,1,1,5.3,4.45,67.3,1,2,6,30,0,5.0,0,0,0,0,0,0,0,0,0,0,59,100.0,0,0.0,0,0.0
15,16.0,110.0,16.0,17.0,2024-12-29,BUF,,NYJ,"W, 40-14",*,16,27,59.3,182,2,0,6.7,8.22,104.2,0,0,5,17,1,3.4,0,0,0,0,0,0,0,0,0,0,60,85.7,0,0.0,0,0.0
16,17.0,111.0,17.0,18.0,2025-01-05,BUF,@,NWE,"L, 16-23",*,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,1.5,0,0.0,0,0.0
17,,,,,,,,,13-4,,307,483,63.6,3731,28,6,7.7,8.33,101.4,14,63,102,531,12,5.2,0,0,7,1,5,2,0,1,0,0,968,89.0,0,0.0,0,0.0
