,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Fmb,FL,FF,FR,Yds,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,12.0,13.0,2014-11-30,TAM,,CIN,"L, 13-14",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
1,,,13.0,14.0,2014-12-07,TAM,@,DET,"L, 17-34",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,1.0,1.0,14.0,15.0,2014-12-14,TAM,@,CAR,"L, 17-19",,0,0,0,0,0,0,7,12.7,0,0.0,0,0.0
3,2.0,2.0,15.0,16.0,2014-12-21,TAM,,GNB,"L, 3-20",,0,0,0,1,0,0,9,18.4,0,0.0,0,0.0
4,3.0,3.0,16.0,17.0,2014-12-28,TAM,,NOR,"L, 20-23",,0,0,0,0,0,0,29,43.3,0,0.0,0,0.0
5,,,,,,,,,0-3,,0,0,0,1,0,0,45,26.3,0,0.0,0,0.0
