,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Tgt,Rec,Yds.3,TD.2,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2018-09-09,BUF,@,BAL,"L, 3-47",,6,15,40.0,74,0,0,4.9,4.93,56.0,3,16,4,26,0,6.5,0,0,0,0,,,0,0,0,0,0,0,32,50.0,0,0.0,0,0.0
1,2.0,2.0,2.0,2.0,2018-09-16,BUF,,LAC,"L, 20-31",*,18,33,54.5,245,1,2,7.4,5.30,63.3,5,36,8,32,0,4.0,0,0,0,0,,,0,0,0,0,0,0,62,100.0,0,0.0,0,0.0
2,3.0,3.0,3.0,3.0,2018-09-23,BUF,@,MIN,"W, 27-6",*,15,22,68.2,196,1,0,8.9,9.82,111.2,3,32,10,39,2,3.9,0,0,0,0,,,3,0,0,2,-14,0,67,100.0,0,0.0,0,0.0
3,4.0,4.0,4.0,4.0,2018-09-30,BUF,@,GNB,"L, 0-22",*,16,33,48.5,151,0,2,4.6,1.85,36.3,7,64,5,19,0,3.8,0,0,0,0,,,1,1,0,0,0,0,58,100.0,0,0.0,0,0.0
4,5.0,5.0,5.0,5.0,2018-10-07,BUF,,TEN,"W, 13-12",*,10,19,52.6,82,0,1,4.3,1.95,42.0,1,3,4,19,1,4.8,0,0,0,0,,,0,0,0,0,0,0,65,100.0,0,0.0,0,0.0
5,6.0,6.0,6.0,6.0,2018-10-14,BUF,@,HOU,"L, 13-20",*,10,17,58.8,84,0,0,4.9,4.94,71.7,2,16,4,20,0,5.0,0,0,0,0,,,0,0,0,0,0,0,38,61.3,0,0.0,0,0.0
6,6.0,,7.0,7.0,2018-10-21,BUF,@,IND,"L, 5-37",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,6.0,,8.0,8.0,2018-10-29,BUF,,NWE,"L, 6-25",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,6.0,,9.0,9.0,2018-11-04,BUF,,CHI,"L, 9-41",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,6.0,,10.0,10.0,2018-11-11,BUF,@,NYJ,"W, 41-10",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,7.0,7.0,11.0,12.0,2018-11-25,BUF,,JAX,"W, 24-21",*,8,19,42.1,160,1,0,8.4,9.47,89.8,0,0,13,99,1,7.6,0,0,0,0,,,1,0,0,0,0,0,58,100.0,0,0.0,0,0.0
11,8.0,8.0,12.0,13.0,2018-12-02,BUF,@,MIA,"L, 17-21",*,18,33,54.5,231,2,2,7.0,5.48,71.7,2,14,9,135,0,15.0,0,0,0,0,,,1,0,0,0,0,0,72,100.0,0,0.0,0,0.0
12,9.0,9.0,13.0,14.0,2018-12-09,BUF,,NYJ,"L, 23-27",*,18,36,50.0,206,0,2,5.7,3.22,44.4,3,14,9,101,1,11.2,1,0,0,0,0.0,0.0,1,1,0,0,0,0,76,100.0,0,0.0,0,0.0
13,10.0,10.0,14.0,15.0,2018-12-16,BUF,,DET,"W, 14-13",*,13,26,50.0,204,1,0,7.8,8.62,89.3,1,9,9,16,1,1.8,0,0,0,0,,,1,0,0,0,0,0,68,100.0,0,0.0,0,0.0
14,11.0,11.0,15.0,16.0,2018-12-23,BUF,@,NWE,"L, 12-24",*,20,41,48.8,217,1,2,5.3,3.59,52.6,0,0,5,30,0,6.0,0,0,0,0,,,0,0,0,0,0,0,61,100.0,0,0.0,0,0.0
15,12.0,12.0,16.0,17.0,2018-12-30,BUF,,MIA,"W, 42-17",*,17,26,65.4,224,3,1,8.6,9.19,114.9,1,9,9,95,2,10.6,0,0,0,0,,,0,0,0,0,0,0,62,100.0,0,0.0,0,0.0
16,,,,,,,,,5-7,,169,320,52.8,2074,10,12,6.5,5.42,67.9,28,213,89,631,8,7.1,1,0,0,0,0.0,0.0,8,2,0,2,-14,0,719,92.8,0,0.0,0,0.0
