,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Tgt,Rec,Yds.3,TD.2,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,13.0,1.0,1.0,2019-09-08,BUF,@,NYJ,"W, 17-16",*,24,37,64.9,254,1,2,6.9,4.97,71.2,1,12,10,38,1,3.8,0,0,0,0,2,2,0,0,-1,0,66,100.0,0,0.0,0,0.0
1,2.0,14.0,2.0,2.0,2019-09-15,BUF,@,NYG,"W, 28-14",*,19,30,63.3,253,1,0,8.4,9.1,101.1,3,16,7,21,1,3.0,0,0,0,0,0,0,0,0,0,0,70,100.0,0,0.0,0,0.0
2,3.0,15.0,3.0,3.0,2019-09-22,BUF,,CIN,"W, 21-17",*,23,36,63.9,243,1,1,6.8,6.06,81.1,1,2,9,46,0,5.1,0,0,0,0,2,0,0,1,0,0,76,100.0,0,0.0,0,0.0
3,4.0,16.0,4.0,4.0,2019-09-29,BUF,,NWE,"L, 10-16",*,13,28,46.4,153,0,3,5.5,0.64,24.0,4,31,5,26,1,5.2,0,0,0,0,1,0,0,0,0,0,58,73.4,0,0.0,0,0.0
4,5.0,17.0,5.0,5.0,2019-10-06,BUF,@,TEN,"W, 14-7",*,23,32,71.9,219,2,1,6.8,6.69,98.3,4,15,10,27,0,2.7,0,0,0,0,0,0,0,0,0,0,64,100.0,0,0.0,0,0.0
5,6.0,18.0,6.0,7.0,2019-10-20,BUF,,MIA,"W, 31-21",*,16,26,61.5,202,2,0,7.8,9.31,111.4,2,14,4,32,0,8.0,0,0,0,0,0,0,0,0,0,0,55,100.0,0,0.0,0,0.0
6,7.0,19.0,7.0,8.0,2019-10-27,BUF,,PHI,"L, 13-31",*,16,34,47.1,169,2,0,5.0,6.15,81.6,4,14,8,45,0,5.6,0,0,0,0,3,1,0,1,0,0,59,95.2,0,0.0,0,0.0
7,8.0,20.0,8.0,9.0,2019-11-03,BUF,,WAS,"W, 24-9",*,14,20,70.0,160,1,0,8.0,9.0,110.4,2,14,8,12,1,1.5,0,0,0,0,2,0,0,1,0,0,62,100.0,0,0.0,0,0.0
8,9.0,21.0,9.0,10.0,2019-11-10,BUF,@,CLE,"L, 16-19",*,22,41,53.7,266,0,0,6.5,6.49,73.8,1,6,6,28,2,4.7,0,0,0,0,1,0,0,0,0,0,68,100.0,0,0.0,0,0.0
9,10.0,22.0,10.0,11.0,2019-11-17,BUF,@,MIA,"W, 37-20",*,21,33,63.6,256,3,0,7.8,9.58,117.7,0,0,7,56,1,8.0,0,0,0,0,0,0,0,0,0,0,71,100.0,0,0.0,0,0.0
10,11.0,23.0,11.0,12.0,2019-11-24,BUF,,DEN,"W, 20-3",*,15,25,60.0,185,2,1,7.4,7.2,92.9,1,5,9,56,0,6.2,0,0,0,0,0,0,0,0,0,0,74,100.0,0,0.0,0,0.0
11,12.0,24.0,12.0,13.0,2019-11-28,BUF,@,DAL,"W, 26-15",*,19,24,79.2,231,1,0,9.6,10.46,120.7,4,27,10,43,1,4.3,0,0,0,0,1,0,0,1,0,0,66,100.0,0,0.0,0,0.0
12,13.0,25.0,13.0,14.0,2019-12-08,BUF,,BAL,"L, 17-24",*,17,39,43.6,146,1,0,3.7,4.26,62.6,6,41,2,9,0,4.5,0,0,0,0,2,1,0,0,0,0,73,100.0,0,0.0,0,0.0
13,14.0,26.0,14.0,15.0,2019-12-15,BUF,@,PIT,"W, 17-10",*,13,25,52.0,139,1,1,5.6,4.56,65.2,1,8,7,28,1,4.0,0,0,0,0,0,0,0,0,0,0,65,100.0,0,0.0,0,0.0
14,15.0,27.0,15.0,16.0,2019-12-21,BUF,@,NWE,"L, 17-24",*,13,26,50.0,208,2,0,8.0,9.54,102.7,4,32,7,43,0,6.1,0,0,0,0,0,0,0,0,0,0,54,100.0,0,0.0,0,0.0
15,16.0,28.0,16.0,17.0,2019-12-29,BUF,,NYJ,"L, 6-13",*,3,5,60.0,5,0,0,1.0,1.0,64.6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,7,10.9,0,0.0,0,0.0
16,,,,,,,,,10-6,,271,461,58.8,3089,20,9,6.7,6.69,85.3,38,237,109,510,9,4.7,0,0,0,0,14,4,0,4,-1,0,988,92.4,0,0.0,0,0.0
