,Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
0,2017,22,WAS,NFL,LDE,5,5,0,0,0,0,0,0,0,0,0,0,1.0,10,3,7,0,6,0,2,
1,2018,23,WAS,NFL,LDE,16,16,0,0,0,0,0,0,0,0,0,0,8.0,61,35,26,11,15,0,8,
2,2019,24,WAS,NFL,LDE,15,15,0,0,0,0,1,0,0,1,0,0,6.0,68,46,22,7,10,0,7,
3,2020,25,WAS,NFL,RDT,16,16,0,0,0,0,0,0,0,1,0,0,2.0,63,36,27,3,14,1,9,
4,2021,26,WAS,NFL,LDT,17,17,0,0,0,0,0,0,0,0,0,0,9.0,62,31,31,10,30,0,10,PB
5,2022,27,WAS,NFL,RDT,16,16,1,1,0,1,3,2,0,0,0,0,7.5,65,44,21,16,17,0,12,PB
6,2023,28,WAS,NFL,DT,16,16,0,0,0,0,1,0,0,0,0,0,5.5,53,30,23,10,19,0,6,
7,2024,29,WAS,NFL,DT,8,7,0,0,0,0,0,0,0,0,0,0,3.0,19,16,3,3,7,0,3,
8,8 Yrs,8 Yrs,8 Yrs,8 Yrs,,109,108,1,1,0,1,5,2,0,2,0,0,42.0,401,241,160,60,118,1,57,
9,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,17,0,0,0,1,1,0,0,0,0,0,6.6,63,38,25,9,18,0,9,
