,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Sk.1,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,62.0,1.0,1.0,2022-09-08,BUF,@,LAR,"W, 31-10",*,26,31,83.9,297,3,2,9.6,8.61,112.0,2,5,10,56,1,5.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,59,100.0,0,0.0,0,0.0
1,2.0,63.0,2.0,2.0,2022-09-19,BUF,,TEN,"W, 41-7",*,26,38,68.4,317,4,0,8.3,10.45,128.9,1,4,1,10,0,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,52,76.5,0,0.0,0,0.0
2,3.0,64.0,3.0,3.0,2022-09-25,BUF,@,MIA,"L, 19-21",*,42,63,66.7,400,2,0,6.3,6.98,94.7,4,18,8,47,0,5.9,0.0,0,0,0,0,0,0,3,1,0,1,-1,0,92,100.0,0,0.0,0,0.0
3,4.0,65.0,4.0,4.0,2022-10-02,BUF,@,BAL,"W, 23-20",*,19,36,52.8,213,1,1,5.9,5.22,68.4,1,12,11,70,1,6.4,0.0,0,0,0,0,0,0,1,0,0,1,0,0,64,100.0,0,0.0,0,0.0
4,5.0,66.0,5.0,5.0,2022-10-09,BUF,,PIT,"W, 38-3",*,20,31,64.5,424,4,1,13.7,14.81,134.1,0,0,5,42,0,8.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,48,85.7,0,0.0,0,0.0
5,6.0,67.0,6.0,6.0,2022-10-16,BUF,@,KAN,"W, 24-20",*,27,40,67.5,329,3,0,8.2,9.73,117.6,1,11,12,32,0,2.7,0.0,0,0,0,0,0,0,1,1,0,0,0,0,73,100.0,0,0.0,0,0.0
6,7.0,68.0,7.0,8.0,2022-10-30,BUF,,GNB,"W, 27-17",*,13,25,52.0,218,2,2,8.7,6.72,75.1,2,2,6,49,0,8.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,59,100.0,0,0.0,0,0.0
7,8.0,69.0,8.0,9.0,2022-11-06,BUF,@,NYJ,"L, 17-20",*,18,34,52.9,205,0,2,6.0,3.38,46.8,5,22,9,86,2,9.6,0.0,0,0,0,0,0,0,2,0,0,1,0,0,62,100.0,0,0.0,0,0.0
8,9.0,70.0,9.0,10.0,2022-11-13,BUF,,MIN,"L, 30-33 (OT)",*,29,43,67.4,330,1,2,7.7,6.05,78.6,2,19,6,84,0,14.0,0.0,2,2,0,0,0,0,1,1,0,0,-1,0,75,100.0,0,0.0,0,0.0
9,10.0,71.0,10.0,11.0,2022-11-20,BUF,,CLE,"W, 31-23",*,18,27,66.7,197,1,0,7.3,8.04,100.4,2,11,3,7,0,2.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,65,100.0,0,0.0,0,0.0
10,11.0,72.0,11.0,12.0,2022-11-24,BUF,@,DET,"W, 28-25",*,24,42,57.1,253,2,1,6.0,5.9,80.8,3,16,10,78,1,7.8,0.0,0,0,0,0,0,0,1,0,0,1,0,0,77,100.0,0,0.0,0,0.0
11,12.0,73.0,12.0,13.0,2022-12-01,BUF,@,NWE,"W, 24-10",*,22,33,66.7,223,2,0,6.8,7.97,106.0,2,0,8,20,0,2.5,0.0,1,1,0,0,0,0,1,1,0,0,0,0,75,100.0,0,0.0,0,0.0
12,13.0,74.0,13.0,14.0,2022-12-11,BUF,,NYJ,"W, 20-12",*,16,27,59.3,147,1,0,5.4,6.19,86.5,3,17,10,47,1,4.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,59,100.0,0,0.0,0,0.0
13,14.0,75.0,14.0,15.0,2022-12-17,BUF,,MIA,"W, 32-29",*,25,40,62.5,304,4,0,7.6,9.6,119.2,2,8,10,77,0,7.7,0.0,0,0,0,0,0,0,2,1,0,0,0,0,78,100.0,0,0.0,0,0.0
14,15.0,76.0,15.0,16.0,2022-12-24,BUF,@,CHI,"W, 35-13",*,15,26,57.7,172,2,2,6.6,4.69,71.3,1,0,6,41,1,6.8,0.0,0,0,0,0,0,0,1,0,0,1,0,0,64,100.0,0,0.0,0,0.0
15,16.0,77.0,16.0,18.0,2023-01-08,BUF,,NWE,"W, 35-23",*,19,31,61.3,254,3,1,8.2,8.68,106.1,2,17,9,16,0,1.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,59,100.0,0,0.0,0,0.0
16,,,,,,,,,13-3,,359,567,63.3,4283,35,14,7.6,7.68,96.6,33,162,124,762,7,6.1,0.0,3,3,0,0,0,0,13,5,0,5,-2,0,1061,97.8,0,0.0,0,0.0
