,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Cmp%,Yds.1,TD.1,Int,Y/A,AY/A,Rate,Sk,Yds.2,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,119.0,1.0,1.0,2020-09-13,BUF,,NYJ,"W, 27-17",*,7,4,58,14.5,0,57.1,8.3,0,0,,0,0,0,,,,0,0,55,63.2,0,0.0,1,3.8
1,2.0,120.0,2.0,2.0,2020-09-20,BUF,@,MIA,"W, 31-28",*,6,5,70,14.0,0,83.3,11.7,0,0,,0,0,0,,,,0,0,41,67.2,0,0.0,1,3.3
2,3.0,121.0,3.0,3.0,2020-09-27,BUF,,LAR,"W, 35-32",,7,6,100,16.7,0,85.7,14.3,0,0,,0,0,0,,,,0,0,38,61.3,0,0.0,0,0.0
3,4.0,122.0,4.0,4.0,2020-10-04,BUF,@,LVR,"W, 30-23",,4,3,32,10.7,1,75.0,8.0,0,0,,0,0,0,,,,0,0,18,29.5,0,0.0,1,3.7
4,5.0,123.0,5.0,5.0,2020-10-13,BUF,@,TEN,"L, 16-42",,6,6,53,8.8,0,100.0,8.8,0,0,,0,0,0,,,,0,0,44,61.1,0,0.0,0,0.0
5,6.0,124.0,6.0,6.0,2020-10-19,BUF,,KAN,"L, 17-26",*,7,4,45,11.3,1,57.1,6.4,0,0,,0,0,0,,,,0,0,34,64.2,0,0.0,0,0.0
6,7.0,125.0,7.0,7.0,2020-10-25,BUF,@,NYJ,"W, 18-10",*,12,11,112,10.2,0,91.7,9.3,0,0,,0,0,0,,,,0,0,61,82.4,0,0.0,0,0.0
7,8.0,126.0,8.0,8.0,2020-11-01,BUF,,NWE,"W, 24-21",,2,2,24,12.0,0,100.0,12.0,0,0,,0,0,0,,,,0,0,36,62.1,0,0.0,0,0.0
8,9.0,127.0,9.0,9.0,2020-11-08,BUF,,SEA,"W, 44-34",*,3,3,39,13.0,0,100.0,13.0,0,0,,0,0,0,,,,0,0,46,67.6,0,0.0,1,2.9
9,10.0,128.0,10.0,10.0,2020-11-15,BUF,@,ARI,"L, 30-32",*,13,11,109,9.9,1,84.6,8.4,0,0,,0,0,0,,,,0,0,58,79.5,0,0.0,1,2.9
10,11.0,129.0,11.0,12.0,2020-11-29,BUF,,LAC,"W, 27-17",*,4,2,25,12.5,0,50.0,6.3,1,1,100.0,20,1,0,20.0,40.00,158.3,0,0,53,85.5,0,0.0,0,0.0
11,12.0,130.0,12.0,13.0,2020-12-07,BUF,@,SFO,"W, 34-24",*,11,9,130,14.4,1,81.8,11.8,0,0,,0,0,0,,,,0,0,55,75.3,0,0.0,1,4.2
12,13.0,131.0,13.0,14.0,2020-12-13,BUF,,PIT,"W, 26-15",*,10,5,41,8.2,0,50.0,4.1,0,0,,0,0,0,,,,0,0,61,81.3,0,0.0,0,0.0
13,14.0,132.0,14.0,15.0,2020-12-19,BUF,@,DEN,"W, 48-19",*,10,8,112,14.0,0,80.0,11.2,0,0,,0,0,0,,,,0,0,45,61.6,0,0.0,1,3.1
14,15.0,133.0,15.0,16.0,2020-12-28,BUF,@,NWE,"W, 38-9",,5,3,17,5.7,0,60.0,3.4,0,0,,0,0,0,,,,0,0,35,48.6,0,0.0,0,0.0
15,15.0,,16.0,17.0,2021-01-03,BUF,,MIA,"W, 56-26",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,,,,,,,,,12-3,,107,82,967,11.8,4,76.6,9.0,1,1,100.0,20,1,0,20.0,40.00,158.3,0,0,680,66.4,0,0.0,7,1.7
