,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
0,2014,25,DAL,NFL,WR,2.0,0.0,11.0,7.0,101.0,14.4,0.0,4.0,54.5,19.0,3.5,50.5,63.6,9.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.4,101.0,0.0,0.0,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2016,27,DAL,NFL,WR,1.0,0.0,6.0,4.0,45.0,11.3,0.0,1.0,66.7,18.0,4.0,45.0,66.7,7.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.3,45.0,0.0,0.0,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2018,29,DAL,NFL,WR,2.0,0.0,5.0,4.0,43.0,10.8,0.0,3.0,80.0,15.0,2.0,21.5,80.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.8,43.0,0.0,0.0,
5,2019,30,BUF,NFL,WR,1.0,1.0,5.0,4.0,44.0,11.0,0.0,2.0,60.0,21.0,4.0,44.0,80.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,44.0,0.0,0.0,
6,2020,31,BUF,NFL,WR,3.0,2.0,18.0,14.0,145.0,10.4,0.0,6.0,61.1,23.0,4.7,48.3,77.8,8.1,0.0,0.0,0.0,0.0,0.0,0.0,14.0,10.4,145.0,0.0,0.0,
7,2021,32,BUF,NFL,WR,2.0,0.0,9.0,7.0,79.0,11.3,0.0,3.0,66.7,24.0,3.5,39.5,77.8,8.8,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.3,79.0,0.0,0.0,
8,2022,33,BUF,NFL,WR,2.0,0.0,9.0,5.0,68.0,13.6,1.0,5.0,55.6,29.0,2.5,34.0,55.6,7.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13.6,68.0,1.0,0.0,
9,7 Yrs,7 Yrs,7 Yrs,7 Yrs,,13.0,3.0,63.0,45.0,525.0,11.7,1.0,24.0,61.9,29.0,3.5,40.4,71.4,8.3,0.0,0.0,0.0,0.0,0.0,0.0,45.0,11.7,525.0,1.0,0.0,
10,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,4.0,82.0,59.0,687.0,11.7,1.0,31.0,61.9,29.0,3.5,40.4,71.4,8.3,0.0,0.0,0.0,0.0,0.0,0.0,59.0,11.7,687.0,1.0,0.0,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,BUF (4 Yrs),BUF (4 Yrs),BUF (4 Yrs),BUF (4 Yrs),,8.0,3.0,41.0,30.0,336.0,11.2,1.0,16.0,61.0,29.0,3.8,42.0,73.2,8.2,0.0,0.0,0.0,0.0,0.0,0.0,30.0,11.2,336.0,1.0,0.0,
13,DAL (3 Yrs),DAL (3 Yrs),DAL (3 Yrs),DAL (3 Yrs),,5.0,0.0,22.0,15.0,189.0,12.6,0.0,8.0,63.6,19.0,3.0,37.8,68.2,8.6,0.0,0.0,0.0,0.0,0.0,0.0,15.0,12.6,189.0,0.0,0.0,
