,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Cmp%,Yds.1,TD.1,Int,Y/A,AY/A,Rate,Sk,Yds.2,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,134.0,1.0,1.0,2021-09-12,BUF,,PIT,"L, 16-23",*,13,8,60,7.5,0,61.5,4.6,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,77,90.6,0,0.0,0,0.0
1,2.0,135.0,2.0,2.0,2021-09-19,BUF,@,MIA,"W, 35-0",*,4,4,36,9.0,0,100.0,9.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,39,60.0,0,0.0,0,0.0
2,3.0,136.0,3.0,3.0,2021-09-26,BUF,,WAS,"W, 43-21",,13,11,98,8.9,0,84.6,7.5,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,52,65.8,0,0.0,1,3.4
3,4.0,137.0,4.0,4.0,2021-10-03,BUF,,HOU,"W, 40-0",,2,2,16,8.0,0,100.0,8.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,36,50.0,0,0.0,0,0.0
4,5.0,138.0,5.0,5.0,2021-10-10,BUF,@,KAN,"W, 38-20",,2,1,5,5.0,0,50.0,2.5,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,22,38.6,0,0.0,0,0.0
5,6.0,139.0,6.0,6.0,2021-10-18,BUF,@,TEN,"L, 31-34",*,9,7,88,12.6,1,77.8,9.8,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,67,87.0,0,0.0,0,0.0
6,7.0,140.0,7.0,8.0,2021-10-31,BUF,,MIA,"W, 26-11",*,13,10,110,11.0,0,76.9,8.5,0,1,0.0,0,0,0,0.0,0.00,39.6,0,0,0,0,0,0,0,0,52,71.2,0,0.0,0,0.0
7,8.0,141.0,8.0,9.0,2021-11-07,BUF,@,JAX,"L, 6-9",*,11,8,33,4.1,0,72.7,3.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,45,67.2,0,0.0,0,0.0
8,9.0,142.0,9.0,10.0,2021-11-14,BUF,@,NYJ,"W, 45-17",,2,2,15,7.5,0,100.0,7.5,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,9,15.5,0,0.0,0,0.0
9,10.0,143.0,10.0,11.0,2021-11-21,BUF,,IND,"L, 15-41",,5,4,23,5.8,0,80.0,4.6,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,32,57.1,0,0.0,0,0.0
10,11.0,144.0,11.0,12.0,2021-11-25,BUF,@,NOR,"W, 31-6",,5,5,46,9.2,0,100.0,9.2,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,46,69.7,0,0.0,0,0.0
11,12.0,145.0,12.0,13.0,2021-12-06,BUF,,NWE,"L, 10-14",,3,1,11,11.0,0,33.3,3.7,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,40,69.0,0,0.0,0,0.0
12,13.0,146.0,13.0,14.0,2021-12-12,BUF,@,TAM,"L, 27-33 (OT)",*,11,9,64,7.1,0,81.8,5.8,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,63,80.8,0,0.0,0,0.0
13,14.0,147.0,14.0,15.0,2021-12-19,BUF,,CAR,"W, 31-14",*,8,4,35,8.8,0,50.0,4.4,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,32,45.7,0,0.0,0,0.0
14,14.0,,15.0,16.0,2021-12-26,BUF,@,NWE,"W, 33-21",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,15.0,148.0,16.0,17.0,2022-01-02,BUF,,ATL,"W, 29-15",*,6,2,22,11.0,0,33.3,3.7,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,37,48.7,0,0.0,0,0.0
16,16.0,149.0,17.0,18.0,2022-01-09,BUF,,NYJ,"W, 27-10",,5,4,31,7.8,0,80.0,6.2,0,0,,0,0,0,,,,0,0,1,0,0,0,0,0,42,51.2,0,0.0,0,0.0
17,,,,,,,,,10-6,,112,82,693,8.5,1,73.2,6.2,0,1,0.0,0,0,0,0.0,0.00,39.6,0,0,1,0,0,0,0,0,691,61.8,0,0.0,1,0.2
