,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,PRTD,Y/Ret,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,17.0,1.0,1.0,2024-09-08,LVR,@,LAC,"L, 10-22",*,3,2,22,11.0,0,66.7,7.3,0,0,0,,2,28,0,14.0,47,78.3,0,0.0,7,25.0
1,2.0,18.0,2.0,2.0,2024-09-15,LVR,@,BAL,"W, 26-23",*,2,2,13,6.5,0,100.0,6.5,0,0,0,,3,16,0,5.3,38,60.3,0,0.0,4,12.1
2,3.0,19.0,3.0,3.0,2024-09-22,LVR,,CAR,"L, 22-36",,9,7,96,13.7,1,77.8,10.7,0,0,0,,1,0,0,0.0,52,81.3,0,0.0,4,13.3
3,4.0,20.0,4.0,4.0,2024-09-29,LVR,,CLE,"W, 20-16",*,6,5,41,8.2,0,83.3,6.8,1,3,1,3.0,0,0,0,,50,84.7,0,0.0,3,11.5
4,5.0,21.0,5.0,5.0,2024-10-06,LVR,@,DEN,"L, 18-34",*,5,2,18,9.0,0,40.0,3.6,2,8,0,4.0,0,0,0,,59,84.3,0,0.0,0,0.0
5,6.0,22.0,6.0,6.0,2024-10-13,LVR,,PIT,"L, 13-32",*,2,0,0,,0,0.0,0.0,0,0,0,,0,0,0,,60,95.2,0,0.0,0,0.0
6,7.0,23.0,7.0,7.0,2024-10-20,LVR,@,LAR,"L, 15-20",*,8,3,36,12.0,0,37.5,4.5,1,11,0,11.0,0,0,0,,75,94.9,0,0.0,0,0.0
7,8.0,24.0,8.0,8.0,2024-10-27,LVR,,KAN,"L, 20-27",*,3,2,26,13.0,0,66.7,8.7,1,7,0,7.0,0,0,0,,53,91.4,0,0.0,0,0.0
8,9.0,25.0,9.0,9.0,2024-11-03,LVR,@,CIN,"L, 24-41",*,6,2,5,2.5,0,33.3,0.8,0,0,0,,0,0,0,,56,91.8,0,0.0,0,0.0
9,10.0,26.0,10.0,11.0,2024-11-17,LVR,@,MIA,"L, 19-34",*,4,3,28,9.3,0,75.0,7.0,1,7,0,7.0,0,0,0,,58,89.2,0,0.0,0,0.0
10,11.0,27.0,11.0,12.0,2024-11-24,LVR,,DEN,"L, 19-29",,8,7,82,11.7,0,87.5,10.3,0,0,0,,0,0,0,,69,89.6,0,0.0,0,0.0
11,12.0,28.0,12.0,13.0,2024-11-29,LVR,@,KAN,"L, 17-19",*,1,1,58,58.0,1,100.0,58.0,1,11,0,11.0,0,0,0,,66,97.1,0,0.0,0,0.0
12,13.0,29.0,13.0,14.0,2024-12-08,LVR,@,TAM,"L, 13-28",*,5,2,7,3.5,0,40.0,1.4,0,0,0,,0,0,0,,59,88.1,0,0.0,0,0.0
13,14.0,30.0,14.0,15.0,2024-12-16,LVR,,ATL,"L, 9-15",*,3,2,18,9.0,0,66.7,6.0,0,0,0,,0,0,0,,64,95.5,0,0.0,0,0.0
14,15.0,31.0,15.0,16.0,2024-12-22,LVR,,JAX,"W, 19-14",*,4,2,41,20.5,0,50.0,10.3,1,-8,0,-8.0,0,0,0,,68,91.9,0,0.0,0,0.0
15,16.0,32.0,16.0,17.0,2024-12-29,LVR,@,NOR,"W, 25-10",*,8,2,24,12.0,1,25.0,3.0,1,5,0,5.0,2,28,0,14.0,69,89.6,0,0.0,2,7.1
16,17.0,33.0,17.0,18.0,2025-01-05,LVR,,LAC,"L, 20-34",,4,3,24,8.0,0,75.0,6.0,0,0,0,,0,0,0,,41,80.4,0,0.0,2,6.9
17,,,,,,,,,4-13,,81,47,539,11.5,3,58.0,6.7,9,44,1,4.9,8,72,0,9.0,984,87.6,0,0.0,22,4.6
