,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,KRTD,Y/Ret,Ret.1,Yds.2,PRTD,Y/Ret.1,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,65.0,1.0,1.0,2020-09-10,KAN,,HOU,"W, 34-20",*,6,3,20,6.7,0,50.0,3.3,0,0,0,,0,0,0,,0,0,0,0,0,0,33,47.8,0,0.0,3,12.0
1,2.0,66.0,2.0,2.0,2020-09-20,KAN,@,LAC,"W, 23-20 (OT)",,4,3,28,9.3,0,75.0,7.0,0,0,0,,0,0,0,,0,0,0,0,0,0,48,62.3,0,0.0,8,28.6
2,3.0,67.0,3.0,3.0,2020-09-28,KAN,@,BAL,"W, 34-20",,1,0,0,,0,0.0,0.0,0,0,0,,0,0,0,,0,0,0,0,0,0,41,54.7,0,0.0,3,12.0
3,4.0,68.0,4.0,4.0,2020-10-05,KAN,,NWE,"W, 26-10",,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,0,0,0,23,41.1,0,0.0,0,0.0
4,5.0,69.0,5.0,5.0,2020-10-11,KAN,,LVR,"L, 32-40",,4,2,2,1.0,0,50.0,0.5,0,0,0,,0,0,0,,0,0,0,0,0,0,49,68.1,0,0.0,3,9.4
5,6.0,70.0,6.0,6.0,2020-10-19,KAN,@,BUF,"W, 26-17",*,6,5,69,13.8,0,83.3,11.5,0,0,0,,0,0,0,,0,0,0,0,0,0,69,94.5,0,0.0,5,20.0
6,7.0,71.0,7.0,7.0,2020-10-25,KAN,@,DEN,"W, 43-16",*,1,1,4,4.0,0,100.0,4.0,1,21,0,21.0,0,0,0,,0,0,0,0,0,0,34,66.7,0,0.0,4,13.3
7,8.0,72.0,8.0,8.0,2020-11-01,KAN,,NYJ,"W, 35-9",*,5,4,63,15.8,1,80.0,12.6,0,0,0,,0,0,0,,0,0,0,0,0,0,36,54.5,0,0.0,5,17.2
8,9.0,73.0,9.0,9.0,2020-11-08,KAN,,CAR,"W, 33-31",*,3,3,34,11.3,1,100.0,11.3,0,0,0,,0,0,0,,1,1,0,0,0,0,50,80.6,0,0.0,5,16.1
9,10.0,74.0,10.0,11.0,2020-11-22,KAN,@,LVR,"W, 35-31",*,8,6,44,7.3,0,75.0,5.5,0,0,0,,1,0,0,0.0,0,0,0,0,0,0,63,80.8,0,0.0,2,7.7
10,11.0,75.0,11.0,12.0,2020-11-29,KAN,@,TAM,"W, 27-24",*,6,5,36,7.2,0,83.3,6.0,0,0,0,,0,0,0,,0,0,0,0,0,0,57,72.2,0,0.0,1,3.4
11,12.0,76.0,12.0,13.0,2020-12-06,KAN,,DEN,"W, 22-16",*,2,2,39,19.5,0,100.0,19.5,0,0,0,,0,0,0,,0,0,0,0,0,0,37,57.8,0,0.0,0,0.0
12,13.0,77.0,13.0,14.0,2020-12-13,KAN,@,MIA,"W, 33-27",,1,1,13,13.0,0,100.0,13.0,1,0,0,0.0,0,0,0,,0,0,0,0,0,0,33,53.2,0,0.0,4,11.8
13,14.0,78.0,14.0,15.0,2020-12-20,KAN,@,NOR,"W, 32-29",,3,2,27,13.5,0,66.7,9.0,0,0,0,,1,-13,0,-13.0,1,0,0,0,0,0,50,51.0,0,0.0,2,5.9
14,15.0,79.0,15.0,16.0,2020-12-27,KAN,,ATL,"W, 17-14",,2,2,29,14.5,1,100.0,14.5,0,0,0,,0,0,0,,0,0,0,0,0,0,41,61.2,0,0.0,0,0.0
15,16.0,80.0,16.0,17.0,2021-01-03,KAN,,LAC,"L, 21-38",*,7,6,58,9.7,0,85.7,8.3,0,0,0,,0,0,0,,0,0,0,0,0,0,47,88.7,0,0.0,1,4.5
16,,,,,,,,,14-2,,59,45,466,10.4,3,76.3,7.9,2,21,0,10.5,2,-13,0,-6.5,2,1,0,0,0,0,711,64.5,0,0.0,46,10.4
