,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,PRTD,Y/Ret,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,17.0,1.0,1.0,2017-09-07,KAN,@,NWE,"W, 42-27",,0,0,0,,0,,,0,0,0,,5,7.4,0,0.0,9,23.7
1,2.0,18.0,2.0,2.0,2017-09-17,KAN,,PHI,"W, 27-20",,0,0,0,,0,,,0,0,0,,2,3.8,0,0.0,5,16.7
2,3.0,19.0,3.0,3.0,2017-09-24,KAN,@,LAC,"W, 24-10",,2,2,9,4.5,0,100.0,4.5,0,0,0,,9,17.0,0,0.0,4,15.4
3,4.0,20.0,4.0,4.0,2017-10-02,KAN,,WAS,"W, 29-20",,0,0,0,,0,,,0,0,0,,4,5.3,0,0.0,0,0.0
4,5.0,21.0,5.0,5.0,2017-10-08,KAN,@,HOU,"W, 42-34",,1,1,16,16.0,0,100.0,16.0,0,0,0,,12,15.6,0,0.0,16,50.0
5,6.0,22.0,6.0,6.0,2017-10-15,KAN,,PIT,"L, 13-19",*,5,1,16,16.0,0,20.0,3.2,0,0,0,,49,90.7,0,0.0,0,0.0
6,7.0,23.0,7.0,7.0,2017-10-19,KAN,@,OAK,"L, 30-31",*,8,5,69,13.8,0,62.5,8.6,0,0,0,,61,98.4,0,0.0,0,0.0
7,8.0,24.0,8.0,8.0,2017-10-30,KAN,,DEN,"W, 29-19",,1,1,5,5.0,0,100.0,5.0,0,0,0,,51,82.3,0,0.0,1,3.1
8,9.0,25.0,9.0,9.0,2017-11-05,KAN,@,DAL,"L, 17-28",*,2,2,18,9.0,0,100.0,9.0,0,0,0,,56,98.2,0,0.0,1,4.0
9,10.0,26.0,10.0,11.0,2017-11-19,KAN,@,NYG,"L, 9-12 (OT)",*,3,1,7,7.0,0,33.3,2.3,0,0,0,,72,96.0,0,0.0,0,0.0
10,11.0,27.0,11.0,12.0,2017-11-26,KAN,,BUF,"L, 10-16",*,4,2,24,12.0,0,50.0,6.0,0,0,0,,51,87.9,0,0.0,1,3.3
11,12.0,28.0,12.0,13.0,2017-12-03,KAN,@,NYJ,"L, 31-38",*,3,2,17,8.5,0,66.7,5.7,0,0,0,,29,63.0,0,0.0,0,0.0
12,13.0,29.0,13.0,14.0,2017-12-10,KAN,,OAK,"W, 26-15",,0,0,0,,0,,,0,0,0,,44,58.7,0,0.0,1,3.7
13,14.0,30.0,14.0,15.0,2017-12-16,KAN,,LAC,"W, 30-13",,0,0,0,,0,,,0,0,0,,37,56.1,0,0.0,0,0.0
14,15.0,31.0,15.0,16.0,2017-12-24,KAN,,MIA,"W, 29-13",*,0,0,0,,0,,,0,0,0,,42,53.2,0,0.0,0,0.0
15,16.0,32.0,16.0,17.0,2017-12-31,KAN,@,DEN,"W, 27-24",*,10,4,31,7.8,0,40.0,3.1,1,-4,0,-4.0,61,92.4,0,0.0,5,17.9
16,,,,,,,,,10-6,,39,21,212,10.1,0,53.8,5.4,1,-4,0,-4.0,585,57.0,0,0.0,43,9.3
